Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,449.75,449.75,449.75,449.75,400.0,-1.99
2021-01-05,445.0,445.0,445.0,445.0,110.0,-1.06
2021-01-06,437.0,437.0,437.0,437.0,4040.0,-1.8
2021-01-13,429.0,429.0,429.0,429.0,10.0,-1.83
2021-01-14,429.0,429.0,429.0,429.0,350.0,0.0
2021-01-19,430.0,430.0,430.0,430.0,10.0,0.23
2021-01-20,430.0,430.0,430.0,430.0,10.0,0.0
2021-01-28,447.15,447.15,447.15,447.15,0.0,3.99
2021-01-29,465.0,465.0,465.0,465.0,20.0,3.99
2021-02-09,470.0,465.0,470.0,465.0,2020.0,1.08
2021-02-23,460.0,460.0,460.0,460.0,300.0,-2.13
2021-03-08,451.0,451.0,451.0,451.0,10.0,-1.96
2021-03-11,451.0,451.0,451.0,451.0,20.0,0.0
2021-03-12,468.0,468.0,468.0,468.0,970.0,3.77
2021-03-19,451.0,451.0,451.0,451.0,600.0,-3.63
2021-03-22,458.0,458.0,458.0,458.0,10.0,1.55
2021-03-23,455.0,455.0,455.0,455.0,13000.0,-0.66
2021-03-26,450.0,450.0,450.0,450.0,1360.0,-1.1
2021-03-29,450.0,450.0,450.0,450.0,5000.0,0.0
2021-04-02,467.95,467.95,467.95,467.95,10.0,3.99
2021-04-08,450.0,450.0,450.0,450.0,0.0,-3.84
2021-04-09,467.0,450.0,467.0,450.0,30.0,3.78
2021-04-12,450.1,450.0,450.2,450.0,590.0,-3.62
2021-04-19,450.1,440.0,450.1,440.0,10.0,0.0
2021-04-23,450.0,450.0,450.0,450.0,210.0,-0.02
2021-04-29,449.0,432.1,449.0,432.1,860.0,-0.22
2021-04-30,449.0,435.0,449.0,435.0,10800.0,0.0
2021-05-04,457.0,457.0,457.0,457.0,30.0,1.78
2021-05-07,442.0,442.0,442.0,442.0,100.0,-3.28
2021-05-10,450.0,450.0,450.0,450.0,1000.0,1.81
2021-05-17,441.05,441.05,441.05,441.05,60.0,-1.99
2021-05-18,445.0,445.0,445.0,445.0,10.0,0.9
2021-05-20,427.25,427.25,427.25,427.25,10.0,-3.99
2021-05-21,444.3,435.7,444.3,435.7,110.0,3.99
2021-05-25,440.0,457.0,457.0,440.0,130.0,-0.97
2021-05-26,441.0,440.0,441.0,440.0,10210.0,0.23
2021-05-27,445.0,449.9,450.0,440.0,7200.0,0.91
2021-05-28,450.0,445.0,450.0,445.0,480.0,1.12
2021-05-31,454.9,454.9,454.9,454.9,270.0,1.09
2021-06-01,450.0,457.25,462.0,450.0,4740.0,-1.08
2021-06-02,450.0,450.0,458.95,450.0,40.0,0.0
2021-06-03,457.0,446.1,457.0,440.0,40.0,1.56
2021-06-04,451.0,451.0,451.0,450.0,130.0,-1.31
2021-06-08,441.5,445.0,445.0,441.5,50.0,-2.11
2021-06-09,442.0,442.0,442.0,442.0,110.0,0.11
2021-06-11,450.0,450.0,450.0,450.0,200.0,1.81
2021-06-14,441.5,441.5,441.5,441.5,160.0,-1.89
2021-06-17,441.5,441.5,441.5,441.5,10.0,0.0
2021-06-18,441.5,442.0,442.0,441.5,40.0,0.0
2021-06-21,455.0,455.0,455.0,455.0,0.0,3.06
2021-06-23,455.0,454.5,455.0,454.5,50.0,0.0
2021-06-25,454.9,445.0,454.9,444.95,1900.0,-0.02
2021-06-28,450.0,450.0,450.0,450.0,20.0,-1.08
2021-07-05,445.45,445.45,445.45,445.45,660.0,-1.01
2021-07-19,436.55,436.55,436.55,436.55,1340.0,-2.0
2021-07-23,440.0,440.0,440.0,440.0,10.0,0.79
2021-07-28,444.0,444.0,444.0,444.0,0.0,0.91
2021-08-02,450.0,450.0,450.0,450.0,2160.0,1.35
2021-08-03,450.0,450.0,450.0,450.0,200.0,0.0
2021-08-05,455.95,455.95,455.95,455.95,10.0,1.32
2021-08-06,450.0,450.0,450.0,450.0,1020.0,-1.3
2021-08-11,458.95,458.95,458.95,458.95,80.0,1.99
2021-08-16,468.0,468.0,468.0,468.0,140.0,1.97
2021-08-17,468.0,468.0,468.0,468.0,100.0,0.0
2021-08-18,470.0,470.0,470.0,470.0,20.0,0.43
2021-08-19,462.0,462.0,462.0,462.0,30.0,-1.7
2021-08-25,464.0,464.0,464.0,464.0,10.0,0.43
2021-08-26,473.25,473.25,473.25,473.25,200.0,1.99
2021-08-27,475.0,475.0,475.0,475.0,210.0,0.37
2021-08-31,480.0,480.0,480.0,480.0,270.0,1.05
2021-09-01,480.0,480.0,480.0,480.0,60.0,0.0
2021-09-02,489.0,489.0,489.0,489.0,0.0,1.88
2021-09-03,498.75,498.75,498.75,498.75,110.0,1.99
2021-09-06,498.0,498.0,498.0,498.0,20.0,-0.15
2021-09-08,498.0,498.0,498.0,498.0,0.0,0.0
2021-09-10,507.9,507.9,507.9,507.9,10100.0,1.99
2021-09-13,518.0,518.0,518.0,518.0,0.0,1.99
2021-09-14,519.0,519.0,519.0,519.0,10.0,0.19
2021-09-15,527.0,527.0,527.0,527.0,750.0,1.54
2021-09-20,520.0,520.0,520.0,520.0,4130.0,-1.33
2021-09-21,530.0,530.0,530.0,530.0,11920.0,1.92
2021-09-22,535.0,535.0,535.0,535.0,7000.0,0.94
2021-09-23,535.0,535.0,535.0,535.0,250.0,0.0
2021-09-30,538.0,538.0,538.0,538.0,70.0,0.56
2021-10-01,548.0,548.0,548.0,548.0,60.0,1.86
2021-10-04,558.9,558.9,558.9,558.9,320.0,1.99
2021-10-05,570.0,570.0,570.0,570.0,1990.0,1.99
2021-10-06,575.0,575.0,575.0,575.0,4880.0,0.88
2021-10-07,565.0,565.0,565.0,565.0,40.0,-1.74
2021-10-08,572.0,572.0,572.0,572.0,0.0,1.24
2021-10-11,580.0,580.0,580.0,580.0,0.0,1.4
2021-10-12,590.0,590.0,590.0,590.0,0.0,1.72
