Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2023-12-19,133.0,133.0,133.0,133.0,1070000.0,9.96
2023-12-20,146.25,146.25,146.25,146.25,1540000.0,9.96
2023-12-21,140.7,148.9,148.9,140.55,510480.0,-3.79
2023-12-22,141.0,140.0,143.9,138.0,215920.0,0.21
2023-12-25,139.5,142.0,142.55,139.5,132490.0,-1.06
2023-12-26,140.0,139.0,140.0,139.0,102940.0,0.36
2023-12-27,140.5,139.15,141.3,139.15,44300.0,0.36
2023-12-28,141.0,140.1,141.5,140.0,72930.0,0.36
2023-12-29,141.5,141.0,142.0,141.0,397670.0,0.35
2024-01-02,146.0,141.5,146.0,141.2,1270000.0,3.18
2024-01-03,148.05,144.55,148.45,144.55,276800.0,1.4
2024-01-04,149.5,148.1,149.5,148.1,126960.0,0.98
2024-01-05,156.25,149.7,156.25,149.15,197450.0,4.52
2024-01-08,157.0,156.5,159.0,156.0,77560.0,0.48
2024-01-09,153.1,157.0,157.0,151.0,65110.0,-2.48
2024-01-10,155.0,155.0,156.0,153.15,83690.0,1.24
2024-01-12,153.6,155.0,155.0,153.5,45640.0,-0.9
2024-01-15,152.3,153.65,153.9,152.05,17330.0,-0.85
2024-01-16,152.2,153.5,153.9,152.0,77630.0,-0.07
2024-01-17,152.0,151.9,152.2,151.1,55360.0,-0.13
2024-01-18,153.5,151.1,153.65,151.0,48570.0,0.99
2024-01-19,156.0,153.1,156.0,153.0,63300.0,1.63
2024-01-22,155.15,156.0,156.0,154.15,26950.0,-0.54
2024-01-23,155.0,154.2,155.5,154.0,11610.0,-0.1
2024-01-24,154.5,153.0,155.0,153.0,60030.0,-0.32
2024-01-25,153.0,153.2,154.0,153.0,4860.0,-0.97
2024-01-26,152.35,153.0,153.8,152.2,17250.0,-0.42
2024-01-29,152.05,152.9,152.9,152.0,14750.0,-0.2
2024-01-30,150.9,151.95,152.0,150.1,23350.0,-0.76
2024-01-31,149.6,150.25,150.3,148.5,25330.0,-0.86
2024-02-01,149.0,149.0,150.5,149.0,25740.0,-0.4
2024-02-02,149.9,149.0,150.0,148.5,7930.0,0.6
2024-02-05,149.0,150.0,150.0,148.65,7180.0,-0.6
2024-02-06,150.0,148.8,150.0,148.5,59520.0,0.67
2024-02-07,154.5,149.2,155.0,149.05,43240.0,3.0
2024-02-08,153.0,153.0,154.0,151.05,21600.0,-0.97
2024-02-09,153.45,152.1,153.45,151.5,29050.0,0.29
2024-02-12,153.0,152.15,153.85,151.1,23820.0,-0.29
2024-02-13,153.0,151.05,153.5,151.0,51560.0,0.0
2024-02-14,152.0,152.05,153.5,150.55,17170.0,-0.65
2024-02-15,154.85,151.7,155.0,151.7,73080.0,1.88
2024-02-16,156.0,153.45,156.0,153.45,40220.0,0.74
2024-02-19,154.4,154.05,155.0,153.9,13010.0,-1.03
2024-02-20,155.05,154.3,155.05,154.0,6880.0,0.42
2024-02-21,160.5,156.0,161.0,156.0,110530.0,3.51
2024-02-22,160.0,159.75,161.0,159.65,49620.0,-0.31
2024-02-23,161.5,160.0,161.5,160.0,26460.0,0.94
2024-02-26,161.6,160.55,161.6,160.05,19030.0,0.06
2024-02-27,162.0,161.35,162.0,161.15,7000.0,0.25
2024-02-28,163.0,162.6,164.95,162.0,64610.0,0.62
2024-02-29,160.25,163.0,163.0,160.25,13990.0,-1.69
2024-03-01,161.0,162.0,162.0,160.25,5940.0,0.47
2024-03-04,159.0,161.0,161.0,158.5,36250.0,-1.24
2024-03-05,157.2,159.95,159.95,157.0,11970.0,-1.13
2024-03-06,156.0,157.0,157.0,155.15,49360.0,-0.76
2024-03-07,155.0,156.6,156.6,155.0,4220.0,-0.64
2024-03-08,155.0,154.15,155.85,152.0,35600.0,0.0
2024-03-11,155.3,156.0,156.5,155.2,23100.0,0.19
2024-03-12,156.0,156.0,157.0,156.0,7010.0,0.45
2024-03-13,156.0,156.0,156.8,155.5,5020.0,0.0
2024-03-14,158.0,156.0,158.0,156.0,21170.0,1.28
2024-03-15,158.55,158.1,158.55,157.1,32340.000000000004,0.35
2024-03-18,157.0,157.9,158.0,155.5,2530.0,-0.98
2024-03-19,156.3,156.4,157.0,155.0,7950.0,-0.45
2024-03-20,155.0,155.15,156.0,154.1,4430.0,-0.83
2024-03-21,155.1,154.15,156.5,154.1,38370.0,0.06
2024-03-22,154.5,155.0,155.2,154.2,47690.0,-0.39
2024-03-25,154.65,154.2,156.0,154.2,4250.0,0.1
2024-03-26,155.0,154.25,155.0,154.25,25630.0,0.23
2024-03-27,156.5,154.25,156.5,154.25,30940.0,0.97
2024-03-28,155.5,156.0,156.0,154.7,2400.0,-0.64
2024-03-29,154.9,155.5,156.0,154.6,6640.0,-0.39
2024-04-01,154.0,154.5,155.0,154.0,23310.0,-0.58
2024-04-02,152.4,152.35,153.85,152.1,6750.0,-1.04
2024-04-03,152.0,152.4,153.5,152.0,17920.0,-0.26
2024-04-04,151.35,151.05,152.0,150.2,8280.0,-0.43
2024-04-05,151.35,151.3,151.35,150.5,4490.0,0.0
2024-04-08,152.0,151.35,153.0,150.5,15680.0,0.43
2024-04-09,155.0,152.0,155.0,150.5,40390.0,1.97
2024-04-15,153.0,151.5,154.95,150.6,12100.0,-1.29
2024-04-16,153.0,151.05,153.95,151.05,110280.0,0.0
2024-04-17,153.0,151.7,153.8,151.0,45250.0,0.0
2024-04-18,152.5,152.1,153.0,150.65,12040.0,-0.33
2024-04-19,152.5,152.0,155.0,152.0,23570.0,0.0
2024-04-22,152.0,153.0,153.0,150.5,28520.0,-0.33
2024-04-23,150.9,150.75,152.0,150.6,37830.0,-0.72
2024-04-24,152.0,150.8,152.0,150.2,49150.0,0.73
2024-04-25,152.0,151.0,152.0,150.4,11560.0,0.0
2024-04-26,151.0,150.7,152.0,150.1,4610.0,-0.66
2024-04-29,151.85,150.15,152.0,150.1,154380.0,0.56
2024-04-30,151.0,151.0,152.0,150.3,4250.0,-0.56
2024-05-02,151.0,150.1,151.9,150.1,7810.0,0.0
2024-05-03,154.85,150.2,155.0,150.2,36810.0,2.55
2024-05-06,152.55,154.8,154.8,150.35,11150.0,-1.49
2024-05-07,154.0,152.6,155.95,152.55,12100.0,0.95
2024-05-08,154.0,153.0,154.0,152.1,18700.0,0.0
2024-05-09,157.35,153.0,158.0,153.0,55410.0,2.18
2024-05-10,161.95,157.35,162.3,156.35,87760.0,2.92
2024-05-13,162.0,161.0,163.0,157.1,44740.0,0.03
2024-05-14,163.0,162.0,163.0,160.0,34930.0,0.62
2024-05-15,162.1,162.0,163.5,159.0,23260.0,-0.55
2024-05-16,166.0,164.0,170.0,164.0,121230.0,2.41
2024-05-17,164.9,163.1,166.0,163.0,7180.0,-0.66
2024-05-20,165.0,163.1,165.0,161.0,7200.0,0.06
2024-05-21,163.05,163.05,165.0,163.05,32200.000000000004,-1.18
2024-05-22,161.0,163.2,165.0,161.0,56560.0,-1.26
2024-05-23,161.0,160.15,165.0,160.15,3420.0,0.0
2024-05-24,160.5,160.8,161.9,160.1,3610.0,-0.31
2024-05-27,161.0,161.0,162.0,160.2,12190.0,0.31
2024-05-28,161.0,160.5,161.9,160.0,4200.0,0.0
2024-05-29,161.1,161.0,162.0,160.6,2400.0,0.06
2024-05-30,161.1,160.0,161.1,160.0,411560.0,0.0
