Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,255.0,254.0,255.0,254.0,5010.0,0.0
2021-01-06,256.0,255.0,260.0,255.0,14480.0,0.39
2021-01-07,255.5,255.25,255.55,255.25,300.0,-0.2
2021-01-08,256.0,260.0,260.0,256.0,300.0,0.2
2021-01-13,260.0,261.0,261.0,260.0,20.0,1.56
2021-01-14,258.1,259.95,263.0,258.1,3360.0,-0.73
2021-01-15,265.0,263.25,268.0,263.25,2200.0,2.67
2021-01-18,265.0,265.0,265.0,265.0,2210.0,0.0
2021-01-19,261.0,261.2,266.0,261.0,14580.0,-1.51
2021-01-20,265.9,261.2,265.9,261.1,30.0,1.88
2021-01-21,266.0,265.0,266.0,263.0,2370.0,0.04
2021-01-22,265.0,265.0,265.0,265.0,10000.0,-0.38
2021-01-25,266.0,265.0,266.0,265.0,2150.0,0.38
2021-01-26,270.0,265.0,270.0,262.0,22320.0,1.5
2021-01-27,270.0,270.0,270.0,270.0,5450.0,0.0
2021-01-29,262.0,274.0,274.0,262.0,4090.0,-2.96
2021-02-01,269.8,269.9,269.9,269.7,210.0,2.98
2021-02-03,269.7,269.7,269.7,269.7,10.0,-0.04
2021-02-05,268.0,268.0,268.0,268.0,710.0,-0.63
2021-02-08,267.0,267.0,267.0,267.0,4460.0,-0.37
2021-02-09,265.0,265.0,265.0,265.0,5280.0,-0.75
2021-02-10,265.0,265.0,265.0,265.0,1000.0,0.0
2021-02-11,265.0,268.0,268.0,265.0,20.0,0.0
2021-02-12,265.0,265.0,265.0,265.0,110.0,0.0
2021-02-17,258.0,258.0,258.0,258.0,1000.0,-2.64
2021-02-18,266.95,266.95,266.95,266.95,100.0,3.47
2021-02-19,265.0,266.0,266.0,265.0,380.0,-0.73
2021-02-22,265.0,265.0,265.0,265.0,200.0,0.0
2021-02-23,265.0,265.0,265.0,265.0,100.0,0.0
2021-02-24,254.45,261.0,261.0,254.45,14290.0,-3.98
2021-02-25,255.1,250.2,255.1,250.0,12590.0,0.26
2021-02-26,254.0,252.0,254.0,252.0,5810.0,-0.43
2021-03-02,257.0,257.0,257.0,257.0,5020.0,1.18
2021-03-04,256.5,258.0,258.0,256.5,14950.0,-0.19
2021-03-05,259.85,259.85,259.85,259.85,20.0,1.31
2021-03-08,260.0,260.0,260.0,260.0,4190.0,0.06
2021-03-09,260.0,257.0,260.05,257.0,14770.0,0.0
2021-03-10,255.0,255.15,255.15,255.0,440.0,-1.92
2021-03-11,257.05,260.0,260.0,257.05,2510.0,0.8
2021-03-12,262.95,261.0,262.95,260.0,8290.0,2.3
2021-03-15,260.0,257.5,260.0,255.1,670.0,-1.12
2021-03-16,262.9,256.5,262.9,256.5,10770.0,1.12
