Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,1612.0,1670.0,1670.0,1612.0,490.0,-3.99
2021-01-06,1605.0,1605.0,1605.0,1605.0,280.0,-0.43
2021-01-08,1610.0,1606.0,1610.0,1606.0,750.0,0.31
2021-01-12,1645.0,1645.0,1645.0,1645.0,30.0,2.17
2021-01-13,1625.0,1620.0,1625.0,1620.0,1150.0,-1.22
2021-01-14,1630.0,1614.0,1630.0,1613.0,3540.0,0.31
2021-01-15,1640.0,1639.0,1640.0,1635.0,1430.0,0.61
2021-01-18,1650.0,1648.0,1650.0,1648.0,4030.0000000000005,0.61
2021-01-19,1650.0,1650.0,1650.0,1650.0,6560.0,0.0
2021-01-20,1650.0,1650.0,1650.0,1650.0,1000.0,0.0
2021-01-21,1650.0,1650.0,1650.0,1650.0,3080.0,0.0
2021-01-22,1650.0,1660.0,1670.0,1650.0,2310.0,0.0
2021-01-26,1683.0,1675.0,1683.0,1675.0,970.0,2.0
2021-01-28,1683.0,1683.0,1683.0,1683.0,10.0,0.0
2021-01-29,1641.0,1683.0,1698.0,1641.0,1030.0,-2.5
2021-02-01,1670.0,1673.0,1698.0,1670.0,80.0,1.77
2021-02-02,1699.0,1699.0,1699.0,1699.0,10.0,1.74
2021-02-03,1699.0,1697.0,1700.0,1697.0,10.0,0.0
2021-02-04,1699.0,1700.0,1700.0,1671.0,10.0,0.0
2021-02-05,1699.0,1670.0,1699.0,1670.0,2460.0,0.0
2021-02-08,1699.0,1698.0,1700.0,1698.0,4350.0,0.0
2021-02-09,1680.0,1685.0,1685.0,1680.0,1000.0,-1.12
2021-02-10,1679.0,1680.0,1680.0,1659.0,110.0,-0.06
2021-02-11,1679.0,1679.0,1679.0,1679.0,10.0,0.0
2021-02-12,1661.0,1679.0,1679.0,1660.0,4090.0,-1.07
2021-02-15,1637.0,1635.0,1637.0,1635.0,310.0,-1.44
2021-02-16,1680.0,1660.0,1680.0,1660.0,70.0,2.63
2021-02-17,1670.0,1670.0,1670.0,1670.0,1530.0,-0.6
2021-02-19,1692.0,1692.0,1692.0,1692.0,100.0,1.32
2021-02-22,1655.0,1639.0,1670.0,1639.0,1070.0,-2.19
2021-02-23,1655.0,1655.0,1655.0,1655.0,1500.0,0.0
2021-02-24,1650.0,1638.0,1660.0,1638.0,90.0,-0.3
2021-02-25,1680.0,1680.0,1680.0,1680.0,200.0,1.82
2021-02-26,1660.0,1680.0,1680.0,1660.0,4440.0,-1.19
2021-03-02,1680.0,1680.0,1680.0,1680.0,10.0,1.2
2021-03-04,1692.0,1692.0,1692.0,1692.0,10.0,0.71
2021-03-05,1680.0,1670.0,1680.0,1670.0,1950.0,-0.71
2021-03-08,1670.0,1670.0,1670.0,1670.0,0.0,-0.6
2021-03-09,1685.0,1684.0,1685.0,1684.0,30.0,0.9
