Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-04-13,4895.0,4799.0,5300.0,4599.0,13690.0,0.2
2026-04-14,5181.0,5250.0,5345.0,5052.0,5760.0,5.84
2026-04-15,5000.0,5229.0,5280.0,4702.0,3050.0,-3.49
2026-04-16,4799.0,4994.0,4994.0,4799.0,1580.0,-4.02
2026-04-17,4900.0,4770.0,4989.0,4680.0,6830.0,2.1
2026-04-20,4890.0,4899.0,4899.0,4760.0,1120.0,-0.2
2026-04-21,4879.0,4820.0,4895.0,4763.0,470.0,-0.22
2026-04-22,4761.0,4810.0,4860.0,4761.0,1100.0,-2.42
2026-04-23,4801.0,4849.0,4851.0,4750.0,1170.0,0.84
2026-04-24,4900.0,4990.0,5280.0,4900.0,11910.0,2.06
2026-04-27,4990.0,5000.0,5000.0,4903.0,260.0,1.84
2026-04-28,4800.0,4900.0,4978.0,4800.0,820.0,-3.81
2026-04-29,4875.0,4900.0,4968.0,4801.0,200.0,1.56
2026-04-30,4899.0,4900.0,4950.0,4815.0,270.0,0.49
2026-05-04,4899.0,4855.0,4965.0,4855.0,130.0,0.0
2026-05-05,4890.0,4902.0,4998.0,4890.0,190.0,-0.18
2026-05-06,4900.0,4900.0,5049.0,4900.0,840.0,0.2
2026-05-07,4898.0,4995.0,4999.0,4865.0,830.0,-0.04
2026-05-08,4888.0,4871.0,4970.0,4870.0,500.0,-0.2
2026-05-11,5071.0,4900.0,5150.0,4850.0,4420.0,3.74
2026-05-12,4989.0,5124.0,5150.0,4950.0,3180.0,-1.62
2026-05-13,5449.0,5100.0,5480.0,5085.0,11530.0,9.22
