Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,35.63,35.63,35.63,35.63,110.0,-2.03
2021-01-05,36.37,36.37,36.37,36.37,20.0,2.08
2021-01-06,36.37,36.37,36.37,36.37,10.0,0.0
2021-01-07,36.3,36.3,36.3,36.3,10.0,-0.19
2021-01-13,36.37,36.37,36.37,36.37,70.0,0.19
2021-01-14,35.02,34.92,36.36,34.92,7200.0,-3.71
2021-01-15,34.51,34.12,35.25,34.12,103650.0,-1.46
2021-01-18,34.9,34.17,35.38,34.17,2300.0,1.13
2021-01-19,35.47,34.9,35.53,34.8,2160.0,1.63
2021-01-20,35.23,34.58,35.23,34.58,1310.0,-0.68
2021-01-21,35.42,34.78,35.42,34.76,1090.0,0.54
2021-01-22,35.25,35.38,35.38,35.25,40.0,-0.48
2021-01-25,35.25,34.91,35.25,34.91,30.0,0.0
2021-01-26,35.54,35.25,35.54,35.25,31290.0,0.82
2021-01-27,35.51,35.25,35.51,35.25,1210.0,-0.08
2021-01-28,35.55,35.03,35.55,35.02,1120.0,0.11
2021-01-29,34.2,35.55,35.62,34.2,9840.0,-3.8
2021-02-01,35.25,35.25,35.25,35.25,30.0,3.07
2021-02-02,35.17,35.17,35.17,35.17,30.0,-0.23
2021-02-03,34.88,35.24,35.25,34.88,570.0,-0.82
2021-02-04,35.14,34.88,35.14,34.88,460.0,0.75
2021-02-05,35.54,35.25,35.54,34.92,3210.0,1.14
2021-02-08,36.0,36.66,36.66,35.44,600.0,1.29
2021-02-09,35.92,36.0,36.0,35.4,270.0,-0.22
2021-02-10,35.91,35.48,35.91,35.33,1030.0,-0.03
2021-02-11,35.88,35.9,35.9,34.93,170.0,-0.08
2021-02-12,35.8,35.8,35.8,35.8,2000.0,-0.22
2021-02-15,36.38,36.41,36.41,36.38,850.0,1.62
2021-02-16,36.3,36.29,36.52,36.29,1580.0,-0.22
2021-02-18,35.29,35.26,35.29,35.26,120.0,-2.78
2021-02-19,36.05,35.29,36.05,35.25,1740.0,2.15
2021-02-22,35.25,35.25,35.25,35.25,410.0,-2.22
2021-02-23,35.9,35.9,35.9,35.9,10.0,1.84
2021-02-24,35.25,35.25,35.92,35.25,5410.0,-1.81
2021-02-25,35.84,35.3,35.84,35.29,20540.0,1.67
2021-02-26,36.75,36.75,36.75,36.75,8920.0,2.54
2021-03-01,36.76,36.75,36.76,36.75,560.0,0.03
2021-03-02,36.74,36.0,36.74,36.0,3900.0,-0.05
2021-03-03,36.0,36.0,36.0,36.0,200.0,-2.01
2021-03-04,36.74,36.74,36.74,36.74,10.0,2.06
2021-03-05,36.0,36.0,36.0,36.0,770.0,-2.01
2021-03-08,36.72,36.73,36.73,36.0,1520.0,2.0
2021-03-09,36.41,36.59,36.59,36.0,22350.0,-0.84
2021-03-11,36.41,36.41,36.41,36.41,130.0,0.0
2021-03-12,36.0,36.0,36.0,36.0,290.0,-1.13
2021-03-15,36.73,34.92,36.73,34.92,60.0,2.03
2021-03-19,38.19,38.19,38.19,38.19,2330.0,3.97
2021-03-22,39.71,39.71,39.71,39.71,1980.0,3.98
2021-03-23,41.3,41.3,41.3,41.3,3740.0,4.0
2021-03-24,42.75,42.95,42.95,42.75,17370.0,3.51
2021-03-25,42.08,42.16,42.67,42.0,1440.0,-1.57
2021-03-26,42.57,42.0,42.57,41.33,140.0,1.16
2021-03-29,42.38,41.78,42.6,41.78,250.0,-0.45
2021-03-30,42.75,41.81,42.75,41.77,19460.0,0.87
2021-03-31,42.75,42.99,43.5,42.41,9980.0,0.0
2021-04-01,43.42,42.75,43.42,42.75,50.0,1.57
2021-04-02,42.53,42.53,42.53,42.53,13510.0,-2.05
2021-04-05,42.0,42.0,42.0,42.0,1360.0,-1.25
2021-04-06,42.75,43.27,43.27,42.75,1350.0,1.79
2021-04-08,43.02,42.08,43.02,42.08,30.0,0.63
2021-04-09,43.09,43.09,43.09,43.09,0.0,0.16
2021-04-12,42.0,42.24,42.24,42.0,710.0,-2.53
2021-04-13,42.0,42.0,42.0,42.0,1450.0,0.0
2021-04-14,41.8,42.0,42.0,41.8,530.0,-0.48
2021-04-15,41.52,41.92,42.0,41.4,6380.0,-0.67
2021-04-16,41.62,42.0,42.0,41.62,100.0,0.24
2021-04-20,41.7,41.71,41.71,41.7,330.0,0.19
2021-04-21,41.77,41.59,41.77,41.25,1260.0,0.17
2021-04-22,41.48,41.36,41.62,41.36,680.0,-0.69
2021-04-23,42.38,41.77,42.38,41.77,8010.0,2.17
2021-04-26,42.38,41.55,42.38,41.55,17110.0,0.0
2021-04-27,42.38,42.38,42.38,42.38,1770.0,0.0
2021-04-28,43.5,42.54,43.5,42.52,15670.0,2.64
2021-04-29,43.27,42.75,43.27,42.75,3020.0,-0.53
2021-04-30,43.26,42.77,43.27,42.77,140.0,-0.02
2021-05-03,44.62,43.26,44.69,42.48,3670.0,3.14
2021-05-04,44.55,44.6,44.77,43.13,200.0,-0.16
2021-05-05,44.09,44.59,44.59,44.09,140.0,-1.03
2021-05-06,43.83,43.27,43.84,43.13,13360.0,-0.59
2021-05-07,45.58,44.02,45.58,43.5,2910.0,3.99
2021-05-10,47.17,46.42,47.38,45.79,11270.0,3.49
2021-05-11,47.58,47.26,47.92,47.24,5570.0,0.87
2021-05-12,47.27,47.55,47.55,46.54,12300.0,-0.65
2021-05-17,47.17,47.07,47.25,47.06,3360.0,-0.21
2021-05-18,44.25,45.3,45.3,44.25,1190.0,-6.19
2021-05-19,43.84,43.2,44.77,43.12,220.0,-0.93
2021-05-20,42.95,43.87,43.87,42.94,2780.0,-2.03
2021-05-21,43.56,43.5,43.58,42.83,3290.0,1.42
2021-05-24,43.49,42.75,43.49,42.75,2750.0,-0.16
2021-05-25,42.75,43.44,43.44,42.38,7690.0,-1.7
2021-05-26,43.42,42.38,43.42,42.0,1100.0,1.57
2021-05-28,43.12,42.75,43.42,42.08,3260.0,-0.69
2021-05-31,43.12,43.12,43.12,43.12,50.0,0.0
2021-06-01,42.75,42.75,42.75,42.75,60.0,-0.86
2021-06-02,42.11,42.75,42.75,42.11,6460.0,-1.5
2021-06-03,42.0,42.08,42.11,42.0,7320.0,-0.26
2021-06-04,42.0,41.92,42.38,41.71,7320.0,0.0
2021-06-07,42.75,41.66,42.75,41.66,240.0,1.79
2021-06-08,43.04,42.75,43.04,42.75,100.0,0.68
2021-06-09,43.38,42.75,43.38,42.75,1660.0,0.79
2021-06-10,43.88,43.88,43.88,43.88,150.0,1.15
2021-06-11,43.8,43.8,43.8,43.8,270.0,-0.18
2021-06-14,43.79,43.5,43.79,42.75,50.0,-0.02
2021-06-15,43.8,43.8,43.8,43.78,4880.0,0.02
2021-06-16,43.78,43.5,43.78,42.76,2320.0,-0.05
2021-06-17,43.75,43.78,43.78,43.75,40.0,-0.07
2021-06-18,42.75,42.38,43.76,42.38,2450.0,-2.29
2021-06-21,43.8,43.75,43.8,42.88,24420.0,2.46
2021-06-22,43.58,44.21,44.21,43.5,80.0,-0.5
2021-06-23,43.05,43.88,43.88,43.01,2740.0,-1.22
2021-06-24,43.5,42.9,43.5,42.9,26740.0,1.05
2021-06-25,43.88,43.27,43.88,43.27,15710.0,0.87
2021-06-28,43.5,44.14,44.14,43.5,10.0,-0.87
2021-06-29,44.14,44.14,44.14,44.14,0.0,1.47
2021-06-30,44.24,44.14,44.24,43.5,14440.0,0.23
2021-07-01,44.59,44.24,44.59,44.24,13540.0,0.79
2021-07-02,45.0,44.59,45.0,44.59,9540.0,0.92
2021-07-05,45.0,43.93,45.0,43.93,20.0,0.0
2021-07-06,44.37,44.33,44.37,44.33,2900.0,-1.4
2021-07-07,45.75,45.64,45.75,45.64,1130.0,3.11
2021-07-08,47.57,44.92,47.57,44.92,9960.0,3.98
2021-07-09,47.57,48.0,48.0,47.57,120.0,0.0
2021-07-12,47.44,45.75,47.54,45.75,820.0,-0.27
2021-07-13,47.36,47.36,47.36,47.36,100.0,-0.17
2021-07-14,47.13,47.13,47.13,47.13,1020.0,-0.49
2021-07-15,47.81,47.81,47.81,47.81,1330.0,1.44
2021-07-16,47.81,47.81,47.81,46.13,370.0,0.0
2021-07-19,47.91,47.91,47.91,47.91,210.0,0.21
2021-07-23,48.0,47.95,48.0,47.95,1830.0,0.19
2021-07-26,48.0,48.0,48.0,48.0,70.0,0.0
2021-07-27,48.2,48.0,48.21,47.85,190.0,0.42
2021-07-28,48.38,48.21,48.38,48.21,170.0,0.37
2021-07-29,48.34,48.34,48.34,48.34,30.0,-0.08
2021-08-02,48.75,48.75,48.75,48.75,10.0,0.85
2021-08-03,48.75,48.75,48.75,48.75,110.0,0.0
2021-08-04,49.12,49.12,49.12,49.12,30.0,0.76
2021-08-05,49.12,49.12,49.12,49.12,10.0,0.0
2021-08-06,49.04,49.12,49.12,48.75,16170.000000000002,-0.16
2021-08-09,49.5,49.04,49.5,48.08,11800.0,0.94
2021-08-11,49.5,49.5,49.5,49.5,510.0,0.0
2021-08-12,49.5,49.39,49.5,49.39,370.0,0.0
2021-08-16,47.53,49.49,49.5,47.53,6240.0,-3.98
2021-08-17,48.67,48.67,48.67,48.67,550.0,2.4
2021-08-18,48.52,47.53,48.52,47.53,290.0,-0.31
2021-08-19,48.49,47.55,48.49,47.55,20.0,-0.06
2021-08-23,48.67,48.67,48.67,48.67,8890.0,0.37
2021-08-24,48.75,48.0,48.75,48.0,70.0,0.16
2021-08-27,48.75,48.73,48.75,46.84,3800.0,0.0
2021-08-30,49.41,47.01,49.41,47.01,10.0,1.35
2021-08-31,49.34,49.27,49.34,48.75,500.0,-0.14
2021-09-02,49.34,47.48,49.34,47.48,20.0,0.0
2021-09-06,49.23,47.51,49.24,47.51,170.0,-0.22
2021-09-07,48.75,48.75,48.75,48.75,10.0,-0.98
2021-09-09,48.75,47.56,48.75,47.56,320.0,0.0
2021-09-10,49.12,47.64,49.22,47.64,280.0,0.76
2021-09-13,49.12,49.12,49.12,49.12,130.0,0.0
2021-09-14,49.12,48.75,49.12,48.75,190.0,0.0
2021-09-15,49.05,49.05,49.05,49.05,130.0,-0.14
2021-09-17,48.75,48.75,48.75,48.75,270.0,-0.61
2021-09-20,48.75,48.75,48.75,48.75,720.0,0.0
2021-09-21,48.75,48.75,48.75,48.75,40.0,0.0
2021-09-22,48.73,48.75,48.75,47.66,330.0,-0.04
2021-09-23,47.74,47.66,49.03,47.66,90.0,-2.03
2021-09-24,48.74,48.74,48.74,47.62,770.0,2.09
2021-09-27,47.62,48.75,48.75,47.62,850.0,-2.3
2021-09-28,48.65,48.64,48.65,47.62,170.0,2.16
2021-09-30,48.0,47.98,48.0,47.98,40.0,-1.34
2021-10-01,46.12,48.0,48.0,46.12,790.0,-3.92
2021-10-04,46.84,47.85,47.85,45.75,10890.0,1.56
2021-10-05,48.52,48.52,48.52,48.52,0.0,3.59
2021-10-06,48.44,48.44,48.44,48.44,10.0,-0.16
2021-10-07,48.44,48.44,48.44,48.44,110.0,0.0
2021-10-08,46.88,46.5,48.42,46.5,340.0,-3.22
