Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,29.93,29.93,29.93,29.93,190.0,0.0
2021-01-06,29.94,29.94,29.94,29.94,0.0,0.03
2021-01-12,28.8,28.8,28.8,28.8,10.0,-3.81
2021-01-13,29.37,29.37,29.37,29.37,0.0,1.98
2021-01-14,29.9,29.9,29.9,29.9,150.0,1.8
2021-01-15,29.9,29.9,29.9,29.9,100.0,0.0
2021-01-19,29.0,29.0,29.0,29.0,280.0,-3.01
2021-01-21,29.5,29.0,29.5,28.6,150.0,1.72
2021-01-22,29.5,29.5,29.5,29.5,100.0,0.0
2021-01-27,29.5,29.5,29.5,29.5,100.0,0.0
2021-01-29,29.5,29.5,29.5,29.5,0.0,0.0
2021-02-03,29.0,29.0,29.0,29.0,280.0,-1.69
2021-02-04,28.05,28.7,28.7,28.05,500.0,-3.28
2021-02-05,28.0,28.0,28.0,28.0,100.0,-0.18
2021-02-08,26.9,27.55,27.55,26.9,400.0,-3.93
2021-02-09,26.0,27.5,27.5,26.0,1500.0,-3.35
2021-02-12,26.07,26.1,26.1,26.07,70.0,0.27
2021-02-24,25.15,27.0,27.0,25.15,900.0,-3.53
2021-02-25,26.15,26.15,26.15,26.15,60.0,3.98
2021-02-26,27.19,26.8,27.19,26.8,110.0,3.98
2021-03-04,27.0,26.2,27.0,26.12,400.0,-0.7
2021-03-05,27.39,26.5,27.39,26.5,100.0,1.44
2021-03-08,27.38,26.3,27.38,26.3,140.0,-0.04
2021-03-09,27.37,27.37,27.37,27.37,10.0,-0.04
2021-03-10,27.37,27.37,27.37,27.37,0.0,0.0
2021-03-16,27.35,27.35,27.35,27.35,260.0,-0.07
2021-03-17,27.36,27.36,27.36,27.36,30.0,0.04
2021-03-18,27.0,27.0,27.0,27.0,100.0,-1.32
2021-03-22,26.99,26.5,26.99,26.5,50.0,-0.04
2021-03-24,28.0,28.0,28.0,28.0,100.0,3.74
2021-03-25,26.9,26.9,26.9,26.9,0.0,-3.93
2021-03-26,26.5,26.5,26.5,26.5,20.0,-1.49
2021-03-31,27.55,27.55,27.55,27.55,0.0,3.96
2021-04-01,27.55,27.55,27.55,27.55,0.0,0.0
2021-04-05,27.0,27.0,27.0,27.0,10.0,-2.0
2021-04-09,27.5,27.5,27.5,27.5,0.0,1.85
2021-04-15,27.0,27.0,27.0,27.0,240.0,-1.82
2021-04-19,27.0,27.5,27.5,27.0,10.0,0.0
2021-04-20,27.0,27.0,27.0,27.0,180.0,0.0
2021-04-21,27.0,27.0,27.0,27.0,40.0,0.0
2021-04-22,27.0,27.0,27.0,27.0,10.0,0.0
2021-04-26,27.0,27.0,27.0,27.0,10.0,0.0
2021-04-27,27.0,27.0,27.0,27.0,0.0,0.0
2021-04-28,27.5,26.53,27.5,26.53,250.0,1.85
2021-04-29,27.5,27.5,27.5,27.5,30.0,0.0
2021-05-05,27.5,27.5,27.5,27.5,30.0,0.0
2021-05-10,26.41,26.41,26.41,26.41,120.0,-3.96
2021-05-18,27.46,27.46,27.46,27.46,0.0,3.98
2021-05-19,28.2,28.2,28.2,28.2,70.0,2.69
2021-05-31,28.0,28.0,28.0,28.0,10.0,-0.71
2021-06-01,28.0,28.0,28.0,28.0,10.0,0.0
2021-06-02,27.2,27.2,27.2,27.2,60.0,-2.86
2021-06-03,26.66,27.22,27.22,26.66,100.0,-1.99
2021-06-07,27.72,27.72,27.72,27.72,0.0,3.98
2021-06-08,28.17,28.17,28.17,28.17,10.0,1.62
2021-06-09,28.2,28.17,28.2,28.17,150.0,0.11
2021-06-11,28.2,28.2,28.2,28.2,50.0,0.0
2021-06-17,28.0,28.1,28.1,28.0,60.0,-0.71
2021-06-18,27.0,27.45,27.45,27.0,1000.0,-3.57
2021-06-21,27.97,27.97,27.97,27.97,10.0,3.59
2021-06-22,27.98,27.97,27.98,27.97,150.0,0.04
2021-06-24,27.1,27.1,27.1,27.1,340.0,-3.15
2021-06-25,27.0,27.1,28.0,27.0,2320.0,-0.37
2021-06-28,27.0,27.0,27.0,27.0,50.0,0.0
2021-06-29,26.6,26.6,26.6,26.6,20.0,-1.48
2021-07-01,26.5,27.0,27.0,26.5,50.0,-0.38
2021-07-02,27.55,27.55,27.55,27.55,0.0,3.96
2021-07-05,27.5,26.45,27.5,26.45,10.0,-0.18
2021-07-06,27.5,27.5,27.5,27.5,10.0,0.0
2021-07-08,27.3,27.05,27.3,27.05,20.0,-0.73
2021-07-16,27.98,27.2,27.98,26.65,120.0,2.49
2021-07-19,27.89,27.89,27.89,27.89,0.0,-0.32
2021-07-20,27.0,26.9,27.0,26.9,10.0,-3.19
2021-07-23,27.1,27.1,27.1,27.1,40.0,0.37
2021-08-04,28.03,28.09,28.09,28.02,40.0,3.43
2021-08-05,28.03,27.5,28.03,27.5,110.0,0.0
2021-08-06,28.1,28.03,28.1,28.03,1080.0,0.25
2021-08-11,27.54,28.1,28.1,27.54,210.0,-1.99
2021-08-12,27.1,27.56,27.56,27.1,330.0,-1.6
2021-08-16,27.99,27.99,27.99,27.99,10.0,3.28
2021-08-18,27.99,27.99,27.99,27.99,0.0,0.0
2021-08-23,27.5,27.5,27.5,27.5,1000.0,-1.75
2021-08-24,28.0,27.5,28.0,27.5,2100.0,1.82
2021-08-25,28.0,28.0,28.0,28.0,220.0,0.0
2021-08-26,27.95,27.99,27.99,27.15,10.0,-0.18
2021-08-30,27.31,27.31,27.31,27.31,120.0,-2.29
2021-08-31,27.35,27.4,27.4,27.35,700.0,0.15
2021-09-01,27.8,27.89,27.89,27.8,120.0,1.65
2021-09-02,27.95,27.9,27.95,27.9,410.0,0.54
2021-09-06,27.95,27.95,27.95,27.95,20.0,0.0
2021-09-07,27.4,27.4,27.4,27.4,0.0,-1.97
2021-09-08,28.45,28.49,28.49,28.45,270.0,3.83
2021-09-09,28.0,28.0,28.0,27.35,1290.0,-1.58
2021-09-10,27.45,28.0,28.0,27.45,70.0,-1.96
2021-09-13,28.0,28.0,28.0,28.0,990.0,2.0
2021-09-14,28.0,28.0,28.0,28.0,20.0,0.0
2021-09-15,28.0,28.0,28.0,28.0,730.0,0.0
2021-09-16,26.89,28.0,28.0,26.89,1820.0,-3.96
2021-09-17,25.82,25.82,25.82,25.82,3680.0,-3.98
2021-09-20,26.85,24.82,26.85,24.82,7990.0,3.99
2021-09-22,27.92,27.92,27.92,27.92,30.0,3.99
2021-09-24,27.5,27.99,28.0,27.5,440.0,-1.5
2021-09-27,28.0,27.6,28.0,27.6,100.0,1.82
2021-09-28,28.0,28.0,28.0,27.5,1120.0,0.0
2021-09-29,28.0,28.0,28.0,27.5,2090.0,0.0
2021-10-01,26.9,27.04,27.04,26.9,1400.0,-3.93
2021-10-05,26.75,26.75,26.75,26.75,20.0,-0.56
2021-10-08,27.28,27.28,27.5,26.75,110.0,1.98
2021-10-11,27.49,27.28,27.49,27.28,190.0,0.77
2021-10-13,26.9,27.5,27.5,26.75,870.0,-2.15
2021-10-14,27.0,27.0,27.0,27.0,10.0,0.37
2021-10-18,27.5,27.5,27.5,27.5,10.0,1.85
2021-10-21,27.5,27.5,27.5,27.5,130.0,0.0
2021-10-22,27.49,27.49,27.49,27.49,140.0,-0.04
2021-10-25,27.3,27.48,27.49,27.3,240.0,-0.69
2021-10-26,27.3,27.5,27.75,27.3,820.0,0.0
2021-10-27,27.3,27.5,27.5,27.3,70.0,0.0
2021-10-29,27.0,27.31,27.31,27.0,1770.0,-1.1
2021-11-01,28.61,27.75,28.61,27.75,480.0,5.96
2021-11-02,30.32,30.32,30.32,30.32,900.0,5.98
2021-11-03,32.13,32.13,32.13,32.13,410.0,5.97
2021-11-04,34.05,34.05,34.05,34.05,450.0,5.98
2021-11-05,34.1,36.09,36.09,34.1,2510.0,0.15
2021-11-08,34.0,34.0,34.0,34.0,20.0,-0.29
2021-11-09,31.97,31.97,31.97,31.97,0.0,-5.97
2021-11-10,30.06,30.06,30.06,30.06,0.0,-5.97
2021-11-11,31.69,28.28,31.69,28.28,100.0,5.42
2021-11-12,29.8,29.79,29.8,29.79,2260.0,-5.96
2021-11-15,29.05,29.9,29.9,29.05,250.0,-2.52
2021-11-16,29.1,30.5,30.5,29.1,50.0,0.17
2021-11-17,29.6,29.6,29.6,29.6,1120.0,1.72
2021-11-19,29.6,29.6,29.6,29.6,200.0,0.0
2021-11-22,29.6,30.99,30.99,29.6,160.0,0.0
2021-11-23,28.73,28.72,28.73,28.72,250.0,-2.94
2021-11-24,30.0,29.59,30.42,29.59,450.0,4.42
2021-11-25,30.05,28.8,30.95,28.8,340.0,0.17
2021-11-26,30.5,30.93,30.93,30.5,2000.0,1.5
2021-11-29,30.04,30.04,30.04,30.04,250.0,-1.51
2021-11-30,29.0,28.79,29.0,28.79,200.0,-3.46
2021-12-01,29.9,29.0,29.9,29.0,400.0,3.1
2021-12-02,30.0,29.9,30.0,29.9,320.0,0.33
2021-12-03,31.65,30.0,31.69,30.0,1390.0,5.5
2021-12-06,31.5,31.99,31.99,30.56,280.0,-0.47
2021-12-07,31.5,31.5,31.5,31.5,400.0,0.0
2021-12-08,31.0,30.01,31.3,30.01,790.0,-1.59
2021-12-09,30.02,30.02,30.02,30.02,20.0,-3.16
2021-12-10,31.0,31.0,31.0,31.0,80.0,3.26
2021-12-13,30.08,31.0,31.0,30.08,320.0,-2.97
2021-12-14,30.09,30.09,30.09,30.09,40.0,0.03
2021-12-17,30.0,30.0,30.0,30.0,40.0,-0.3
2021-12-20,30.0,30.0,30.0,30.0,100.0,0.0
2021-12-21,28.51,30.0,30.0,28.51,900.0,-4.97
2021-12-22,30.16,29.5,30.16,29.5,300.0,5.79
2021-12-23,29.95,29.95,29.95,29.95,350.0,-0.7
2021-12-24,29.92,29.91,29.92,29.91,30.0,-0.1
2021-12-27,30.0,30.0,30.0,30.0,280.0,0.27
2021-12-28,30.0,30.0,30.0,30.0,110.0,0.0
2021-12-29,30.9,30.9,30.9,30.9,60.0,3.0
2021-12-30,30.99,31.0,31.0,30.99,110.0,0.29
2021-12-31,30.5,30.99,30.99,30.5,120.0,-1.58
2022-01-03,30.5,30.5,30.5,30.5,80.0,0.0
2022-01-04,30.5,30.5,30.5,30.5,100.0,0.0
2022-01-05,31.0,31.0,31.0,31.0,60.0,1.64
2022-01-07,30.01,30.01,30.01,30.01,30.0,-3.19
2022-01-10,30.5,31.47,31.8,30.5,950.0,1.63
2022-01-12,31.0,31.0,31.0,31.0,20.0,1.64
2022-01-13,30.5,31.0,31.0,30.5,1770.0,-1.61
2022-01-14,30.5,30.5,30.5,30.5,200.0,0.0
2022-01-17,31.0,31.0,31.0,31.0,50.0,1.64
2022-01-18,31.49,31.45,31.49,31.45,60.0,1.58
2022-01-19,31.49,31.0,31.49,31.0,800.0,0.0
2022-01-20,31.49,31.49,31.5,31.49,1850.0,0.0
2022-01-24,31.0,30.85,31.0,30.85,190.0,-1.56
2022-01-25,30.0,30.85,30.85,30.0,2100.0,-3.23
