Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,690.0,698.9,698.9,690.0,1510.0,0.55
2021-01-07,700.0,699.0,700.0,699.0,50.0,1.45
2021-01-08,700.0,702.0,702.0,700.0,50.0,0.0
2021-01-12,710.0,710.0,712.5,710.0,350.0,1.43
2021-01-13,702.0,702.0,710.0,702.0,220.0,-1.13
2021-01-14,702.0,702.0,702.0,702.0,0.0,0.0
2021-01-15,713.0,713.0,713.0,713.0,2620.0,1.57
2021-01-19,701.0,714.0,714.0,701.0,60.0,-1.68
2021-01-20,701.5,705.0,713.0,701.5,30.0,0.07
2021-01-21,714.0,702.1,714.0,700.1,60.0,1.78
2021-01-25,701.0,701.0,701.0,701.0,50.0,-1.82
2021-01-26,701.0,701.0,701.0,701.0,0.0,0.0
2021-01-27,727.9,727.9,727.9,727.9,20.0,3.84
2021-01-28,726.0,726.0,726.0,726.0,10.0,-0.26
2021-01-29,705.0,703.1,705.0,703.1,20.0,-2.89
2021-02-03,700.0,705.2,705.2,700.0,50.0,-0.71
2021-02-04,701.0,702.0,702.0,701.0,20.0,0.14
2021-02-08,701.0,701.0,701.0,700.1,40.0,0.0
2021-02-15,705.0,705.2,705.2,705.0,80.0,0.57
2021-02-17,705.0,706.1,706.1,705.0,60.0,0.0
2021-02-18,730.0,733.0,733.0,728.0,190.0,3.55
2021-02-19,707.1,720.0,720.0,707.1,20.0,-3.14
2021-02-22,720.0,707.3,720.0,706.0,40.0,1.82
2021-02-23,720.0,720.0,720.0,720.0,10.0,0.0
2021-02-24,705.0,705.8,705.8,705.0,50.0,-2.08
2021-03-04,708.2,708.2,708.2,708.2,10.0,0.45
2021-03-05,708.0,708.0,708.0,708.0,100.0,-0.03
2021-03-08,709.0,709.0,709.0,709.0,0.0,0.14
2021-03-09,708.0,710.0,710.0,708.0,10.0,-0.14
2021-03-10,710.0,710.0,710.0,710.0,10.0,0.28
2021-03-11,710.0,710.0,710.0,710.0,10.0,0.0
2021-03-16,708.0,708.0,708.0,708.0,90.0,-0.28
2021-03-18,715.0,715.0,715.0,715.0,10.0,0.99
2021-03-19,708.0,708.5,708.5,708.0,30.0,-0.98
2021-03-24,708.1,708.1,708.1,708.1,30.0,0.01
2021-03-26,708.0,708.0,735.0,708.0,2780.0,-0.01
2021-03-29,694.0,694.0,694.0,694.0,10.0,-1.98
2021-03-31,688.0,688.0,688.0,688.0,0.0,-0.86
2021-04-01,690.0,690.0,690.0,690.0,0.0,0.29
2021-04-02,700.0,698.0,700.0,698.0,0.0,1.45
2021-04-05,712.0,713.0,713.0,712.0,20.0,1.71
2021-04-09,700.0,700.0,700.0,700.0,10.0,-1.69
2021-04-12,688.0,690.0,690.0,688.0,50.0,-1.71
2021-04-13,710.0,710.0,710.0,710.0,0.0,3.2
2021-04-20,710.0,710.0,710.0,710.0,10.0,0.0
2021-04-21,689.0,700.0,700.0,689.0,20.0,-2.96
2021-04-22,689.0,689.0,689.0,689.0,20.0,0.0
2021-04-23,683.0,691.0,691.0,683.0,90.0,-0.87
2021-04-26,683.0,683.0,683.0,683.0,0.0,0.0
2021-04-27,680.0,684.0,684.0,680.0,30.0,-0.44
2021-04-28,680.0,680.0,680.0,680.0,10.0,0.0
2021-04-29,678.0,678.0,678.0,678.0,30.0,-0.29
2021-05-04,700.0,700.0,700.0,700.0,10.0,3.24
2021-05-06,720.0,720.0,720.0,720.0,30.0,2.86
2021-05-07,728.0,730.0,730.0,728.0,10.0,1.11
2021-05-10,720.0,720.0,720.0,720.0,10.0,-1.1
2021-05-11,718.5,718.5,718.5,718.5,0.0,-0.21
2021-05-12,715.0,715.0,715.0,715.0,10.0,-0.49
2021-05-17,715.0,715.0,715.0,710.0,190.0,0.0
2021-05-18,715.0,715.0,730.0,715.0,20.0,0.0
2021-05-19,729.9,729.9,729.9,729.9,0.0,2.08
2021-05-21,711.1,710.1,711.1,710.1,10.0,-2.58
2021-05-26,711.0,715.0,728.0,711.0,230.0,-0.01
2021-05-27,712.0,712.0,712.0,712.0,0.0,0.14
2021-05-28,712.0,711.0,712.0,711.0,10.0,0.0
2021-05-31,713.0,712.5,713.0,712.5,20.0,0.14
2021-06-02,712.0,712.0,712.0,712.0,10.0,-0.14
2021-06-03,720.0,715.0,720.0,715.0,3010.0,1.12
2021-06-04,734.0,720.0,734.0,720.0,50.0,1.94
2021-06-07,713.0,712.1,713.0,712.1,0.0,-2.86
2021-06-08,713.0,713.0,713.0,713.0,10.0,0.0
2021-06-09,714.0,714.0,714.0,714.0,10.0,0.14
2021-06-14,717.0,717.0,717.0,717.0,940.0,0.42
2021-06-15,729.0,729.7,733.0,725.0,460.0,1.67
2021-06-16,720.1,720.1,720.1,720.1,10.0,-1.22
2021-06-17,739.7,720.0,739.7,720.0,30.0,2.72
2021-06-18,743.0,744.0,744.0,739.0,30.0,0.45
2021-06-22,730.0,738.0,738.0,730.0,210.0,-1.75
2021-06-23,730.0,730.0,730.0,730.0,20.0,0.0
2021-06-24,723.1,723.0,723.2,723.0,30.0,-0.95
2021-06-28,722.0,725.0,725.0,722.0,50.0,-0.15
2021-06-29,724.9,722.0,724.9,722.0,20.0,0.4
2021-07-01,730.0,724.9,730.0,724.9,10.0,0.7
2021-07-02,720.0,728.0,728.0,720.0,50.0,-1.37
2021-07-06,730.0,725.0,730.0,720.2,20.0,1.39
2021-07-07,720.2,720.2,720.2,720.2,0.0,-1.34
2021-07-08,720.2,720.2,720.2,720.2,0.0,0.0
2021-07-09,720.1,720.2,720.2,720.1,10.0,-0.01
2021-07-13,700.0,711.2,711.2,700.0,20.0,-2.79
2021-07-15,700.0,701.0,701.0,700.0,50.0,0.0
2021-07-19,701.0,700.2,701.0,700.2,50.0,0.14
2021-07-26,702.3,702.5,702.5,702.3,20.0,0.19
2021-08-02,705.0,705.0,705.0,705.0,10.0,0.38
2021-08-03,702.0,705.0,705.0,702.0,10.0,-0.43
2021-08-04,724.9,705.0,724.9,705.0,10.0,3.26
2021-08-05,719.9,701.0,719.9,700.0,50.0,-0.69
2021-08-11,705.0,705.0,705.0,705.0,10.0,-2.07
2021-08-13,710.0,710.0,710.0,710.0,10.0,0.71
2021-08-17,710.0,710.0,710.0,710.0,0.0,0.0
2021-08-18,711.0,712.0,712.0,711.0,20.0,0.14
2021-08-19,712.0,715.0,719.0,712.0,40.0,0.14
2021-08-24,711.6,710.1,726.0,710.1,70.0,-0.06
2021-08-25,725.9,725.0,725.9,724.9,10.0,2.01
2021-08-26,725.0,711.6,725.0,711.6,0.0,-0.12
2021-08-30,712.5,725.0,725.0,712.5,20.0,-1.72
2021-08-31,729.5,725.0,729.5,725.0,210.0,2.39
2021-09-01,714.0,714.5,714.5,714.0,10.0,-2.12
2021-09-02,720.0,728.0,728.0,720.0,10.0,0.84
2021-09-03,715.0,720.0,720.0,715.0,110.0,-0.69
2021-09-06,716.1,729.0,729.0,716.1,10.0,0.15
2021-09-07,716.0,716.0,716.0,716.0,20.0,-0.01
2021-09-08,711.7,717.0,717.0,711.7,30.0,-0.6
2021-09-10,727.9,727.9,727.9,727.9,10.0,2.28
2021-09-13,727.0,727.0,727.0,727.0,0.0,-0.12
2021-09-16,710.0,712.0,712.0,710.0,30.0,-2.34
2021-09-17,715.0,715.0,715.0,715.0,10.0,0.7
2021-09-20,701.0,712.0,712.0,701.0,50.0,-1.96
2021-09-21,696.0,705.0,705.0,696.0,100.0,-0.71
2021-09-23,719.0,719.0,719.0,719.0,0.0,3.3
2021-09-28,705.0,719.0,719.0,705.0,10.0,-1.95
2021-09-29,703.0,716.9,717.0,703.0,30.0,-0.28
2021-10-01,674.9,674.9,674.9,674.9,470.0,-4.0
2021-10-04,701.8,701.8,701.8,701.8,10.0,3.99
2021-10-05,719.0,719.0,719.0,719.0,10.0,2.45
2021-10-11,710.0,703.0,710.0,703.0,10.0,-1.25
2021-10-13,690.0,691.0,693.0,690.0,80.0,-2.82
2021-10-15,691.1,691.1,691.1,691.1,10.0,0.16
2021-10-18,718.0,718.0,718.0,718.0,160.0,3.89
2021-10-21,710.0,710.0,710.0,710.0,0.0,-1.11
2021-10-22,710.1,718.0,718.0,710.1,130.0,0.01
2021-10-25,719.0,710.3,719.0,710.2,10.0,1.25
2021-10-26,719.0,719.0,719.0,719.0,0.0,0.0
2021-10-27,718.9,710.2,718.9,710.2,10.0,-0.01
