Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,34.7,34.5,34.7,34.5,30.0,-0.57
2021-01-05,33.5,33.5,34.0,33.32,311510.0,-3.46
2021-01-06,34.7,34.7,34.7,34.7,10.0,3.58
2021-01-07,33.51,34.6,34.6,33.51,1410.0,-3.43
2021-01-08,34.58,34.58,34.58,34.58,20.0,3.19
2021-01-13,33.95,34.0,34.0,33.23,1780.0,-1.82
2021-01-14,34.54,33.95,34.54,33.95,177970.0,1.74
2021-01-15,34.5,34.5,34.5,33.85,710.0,-0.12
2021-01-18,34.0,33.35,34.39,33.35,20120.0,-1.45
2021-01-19,34.54,34.54,34.54,34.54,10.0,1.59
2021-01-20,34.24,34.44,34.44,33.66,150.0,-0.87
2021-01-21,34.0,33.01,34.39,33.01,420.0,-0.7
2021-01-25,34.45,34.45,34.45,33.95,1270.0,1.32
2021-01-26,34.44,34.45,34.45,34.44,420.0,-0.03
2021-01-27,34.45,33.76,34.45,33.76,180.0,0.03
2021-01-28,34.0,34.45,34.45,34.0,700.0,-1.31
2021-01-29,35.0,34.4,35.2,34.4,5060.0,2.94
2021-02-01,34.47,34.18,34.8,34.0,113860.0,-1.51
2021-02-02,35.0,35.0,35.0,34.9,2590.0,1.54
2021-02-03,35.0,35.0,35.0,35.0,0.0,0.0
2021-02-04,35.17,35.19,35.19,34.06,50.0,0.49
2021-02-05,35.17,35.17,35.17,35.17,290.0,0.0
2021-02-08,34.99,35.16,35.16,34.01,290.0,-0.51
2021-02-09,33.77,33.77,33.77,33.77,15850.0,-3.49
2021-02-10,34.98,34.98,34.98,34.98,10.0,3.58
2021-02-15,34.94,34.5,34.94,34.5,30720.0,-0.11
2021-02-17,34.95,34.94,34.95,34.94,370.0,0.03
2021-02-19,34.95,34.5,34.95,34.5,40.0,0.0
2021-02-22,33.8,33.79,34.9,33.79,22500.0,-3.29
2021-02-23,34.5,34.5,34.5,34.5,110.0,2.07
2021-02-24,34.48,33.85,34.48,33.8,150.0,-0.06
2021-02-26,34.19,33.8,34.19,33.5,23460.0,-0.84
2021-03-09,33.99,33.99,33.99,33.99,0.0,-0.58
2021-03-11,33.99,32.66,33.99,32.66,70.0,0.0
2021-03-12,34.0,34.0,34.0,34.0,7390.0,0.03
2021-03-15,34.47,34.48,34.48,32.65,14020.0,1.38
2021-03-16,34.47,33.8,34.47,33.8,1520.0,0.0
2021-03-17,34.46,33.51,34.46,33.51,110.0,-0.03
2021-03-18,34.8,34.47,34.8,34.47,100.0,0.99
2021-03-22,34.45,33.41,34.45,33.41,210.0,-1.01
2021-03-23,34.45,34.45,34.45,34.45,0.0,0.0
2021-03-26,33.08,33.77,33.77,33.08,4200.0,-3.98
2021-03-29,33.0,34.2,34.2,33.0,9720.0,-0.24
2021-03-30,34.24,34.24,34.24,34.24,10.0,3.76
2021-03-31,33.0,34.0,34.0,33.0,170.0,-3.62
2021-04-01,33.96,34.17,34.17,31.69,1880.0,2.91
2021-04-02,34.2,34.2,34.2,34.2,10.0,0.71
2021-04-07,33.1,33.55,34.1,33.1,2110.0,-3.22
2021-04-08,32.0,33.98,33.99,31.79,2860.0,-3.32
2021-04-09,33.27,32.0,33.27,32.0,380.0,3.97
2021-04-12,34.0,34.0,34.0,34.0,10.0,2.19
2021-04-13,34.0,34.0,34.0,34.0,0.0,0.0
2021-04-15,33.99,33.99,33.99,33.99,0.0,-0.03
2021-04-16,33.6,33.0,33.6,33.0,110.0,-1.15
2021-04-21,33.6,32.31,33.6,32.31,180.0,0.0
2021-04-22,33.54,32.35,33.54,32.35,630.0,-0.18
2021-04-23,33.0,33.0,33.0,33.0,1270.0,-1.61
2021-04-26,33.6,33.6,33.6,33.06,40020.0,1.82
2021-04-27,33.0,33.0,33.87,33.0,18010.0,-1.79
2021-04-28,33.49,33.49,33.49,33.49,60.0,1.48
2021-04-29,33.49,33.49,33.49,33.49,20.0,0.0
2021-04-30,34.15,33.05,34.15,33.05,123780.0,1.97
2021-05-03,32.79,35.0,35.0,32.79,2910.0,-3.98
2021-05-04,33.4,34.1,34.1,33.0,62700.0,1.86
2021-05-05,34.72,33.97,34.72,33.45,50050.0,3.95
2021-05-06,34.42,34.7,34.7,33.75,50090.0,-0.86
2021-05-07,34.5,34.72,34.72,33.75,50160.0,0.23
2021-05-10,34.5,34.49,34.5,34.0,1620.0,0.0
2021-05-12,33.75,33.76,34.39,33.75,52720.0,-2.17
2021-05-17,34.0,34.0,34.0,34.0,150.0,0.74
2021-05-18,34.0,33.8,34.0,33.8,580.0,0.0
2021-05-19,33.99,32.85,33.99,32.85,14790.0,-0.03
2021-05-20,33.5,32.85,33.98,32.85,1310.0,-1.44
2021-05-21,33.5,33.97,33.97,33.5,1210.0,0.0
2021-05-24,33.97,33.01,33.97,33.01,1460.0,1.4
2021-05-26,33.0,33.9,33.9,33.0,500.0,-2.86
2021-05-27,33.95,32.85,33.95,32.85,450.0,2.88
2021-05-28,33.94,32.86,33.94,32.86,270.0,-0.03
2021-06-01,33.01,33.0,33.89,33.0,8680.0,-2.74
2021-06-02,33.1,33.1,33.9,33.1,8290.0,0.27
2021-06-03,33.5,33.79,33.79,32.85,110180.0,1.21
2021-06-04,33.89,33.89,33.89,33.89,10.0,1.16
2021-06-08,33.74,33.74,33.74,33.74,10.0,-0.44
2021-06-09,33.68,33.68,33.68,32.71,70.0,-0.18
2021-06-10,33.67,32.7,33.67,32.7,30.0,-0.03
2021-06-14,33.02,33.0,33.67,33.0,100.0,-1.93
2021-06-15,33.0,33.0,33.0,32.75,5030.0,-0.06
2021-06-16,33.0,33.0,33.5,33.0,5430.0,0.0
2021-06-17,33.0,33.0,33.5,33.0,10090.0,0.0
2021-06-18,33.39,33.0,33.39,33.0,10150.0,1.18
2021-06-21,33.0,33.08,33.39,33.0,4410.0,-1.17
2021-06-22,33.0,33.0,33.0,32.81,5990.0,0.0
