Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,35.99,33.63,35.99,33.63,60.0,2.74
2021-01-05,36.38,35.99,36.38,35.99,40.0,1.08
2021-01-06,37.83,36.37,37.83,36.37,2580.0,3.99
2021-01-07,38.8,38.98,39.3,38.8,740.0,2.56
2021-01-08,38.75,38.3,38.75,38.0,110.0,-0.13
2021-01-12,37.5,39.25,40.29,37.5,1640.0,-3.23
2021-01-13,38.99,38.99,38.99,38.99,90.0,3.97
2021-01-14,40.54,39.6,40.54,39.6,2180.0,3.98
2021-01-15,42.16,40.4,42.16,40.4,1020.0,4.0
2021-01-18,43.84,42.2,43.84,42.2,240.0,3.98
2021-01-19,45.59,44.0,45.59,44.0,860.0,3.99
2021-01-20,47.41,47.4,47.41,47.4,830.0,3.99
2021-01-21,49.3,49.3,49.3,49.3,1770.0,3.99
2021-01-22,51.26,51.24,51.27,51.14,3340.0,3.98
2021-01-25,49.5,51.0,51.0,49.5,780.0,-3.43
2021-01-26,50.39,47.53,51.0,47.53,10790.0,1.8
2021-01-27,51.0,50.38,51.0,50.38,710.0,1.21
2021-01-28,50.49,50.0,51.85,49.1,490.0,-1.0
2021-01-29,50.3,50.39,50.49,50.3,930.0,-0.38
2021-02-01,48.29,49.1,49.1,48.29,680.0,-4.0
2021-02-02,49.39,50.0,50.0,46.36,2490.0,2.28
2021-02-03,47.42,47.5,47.5,47.42,120.0,-3.99
2021-02-04,45.91,47.42,47.94,45.91,670.0,-3.18
2021-02-05,46.0,45.77,47.74,45.77,1790.0,0.2
2021-02-08,47.8,47.5,47.8,46.0,1740.0,3.91
2021-02-09,48.6,49.0,49.44,48.6,550.0,1.67
2021-02-10,48.9,49.0,49.0,47.0,190.0,0.62
2021-02-11,48.92,46.96,48.92,46.96,80.0,0.04
2021-02-17,48.89,48.89,48.89,48.89,20.0,-0.06
2021-02-19,48.3,47.92,48.3,47.92,200.0,-1.21
2021-02-22,46.4,46.37,46.4,46.37,460.0,-3.93
2021-02-23,46.5,46.5,46.5,46.5,20.0,0.22
2021-02-24,46.11,46.11,46.11,46.11,30.0,-0.84
2021-03-02,46.99,45.8,46.99,45.0,70.0,1.91
2021-03-08,45.5,45.5,45.5,45.5,140.0,-3.17
2021-03-09,45.0,45.13,45.13,45.0,160.0,-1.1
2021-03-10,45.0,45.0,45.0,45.0,110.0,0.0
2021-03-12,45.0,45.0,45.0,45.0,170.0,0.0
2021-03-15,45.38,44.5,45.38,44.5,90.0,0.84
2021-03-16,46.0,46.0,46.0,46.0,0.0,1.37
2021-03-17,44.17,44.17,44.17,44.17,10.0,-3.98
2021-03-18,44.0,44.0,44.0,44.0,360.0,-0.38
2021-03-30,44.5,42.25,44.5,42.25,100.0,1.14
2021-04-19,44.4,44.4,44.4,44.4,100.0,-0.22
2021-04-28,42.63,42.63,42.63,42.63,110.0,-3.99
2021-04-29,40.93,40.93,40.93,40.93,90.0,-3.99
2021-04-30,40.0,40.0,40.0,40.0,50.0,-2.27
2021-05-04,38.41,39.0,39.0,38.41,50.0,-3.98
2021-05-05,38.41,38.41,38.41,38.41,560.0,0.0
2021-05-06,36.88,36.88,36.88,36.88,90.0,-3.98
2021-05-07,36.89,36.88,36.89,36.88,2620.0,0.03
2021-05-10,36.88,36.88,36.88,36.88,130.0,-0.03
2021-05-11,36.88,36.88,36.88,36.88,530.0,0.0
2021-05-17,36.5,36.5,36.5,36.5,200.0,-1.03
2021-05-18,36.01,37.0,37.0,36.01,350.0,-1.34
2021-05-20,36.85,36.85,36.85,36.85,120.0,2.33
2021-05-21,36.84,36.82,36.85,36.82,110.0,-0.03
2021-05-24,36.84,36.84,36.84,36.84,10.0,0.0
2021-05-26,36.84,36.84,36.84,36.84,80.0,0.0
2021-05-27,36.84,36.84,36.85,35.41,310.0,0.0
2021-05-28,36.85,36.84,36.85,36.84,60.0,0.03
2021-05-31,38.32,36.21,38.32,36.21,230.0,3.99
2021-06-01,36.79,36.79,36.79,36.79,20.0,-3.99
2021-06-03,38.26,38.26,38.26,38.26,40.0,4.0
2021-06-04,39.25,38.32,39.25,38.32,180.0,2.59
2021-06-07,39.0,39.24,39.24,39.0,60.0,-0.64
2021-06-08,37.45,37.45,37.45,37.45,40.0,-3.97
2021-06-09,37.5,38.0,38.0,37.5,100.0,0.13
2021-06-10,38.0,38.0,38.0,38.0,50.0,1.33
2021-06-11,38.0,38.98,38.98,38.0,20.0,0.0
2021-06-14,39.0,38.96,39.25,38.96,190.0,2.63
2021-06-15,39.0,39.25,39.25,39.0,650.0,0.0
2021-06-16,39.0,39.0,39.0,39.0,0.0,0.0
2021-06-17,37.6,37.5,37.6,37.5,310.0,-3.59
2021-06-18,39.1,36.85,39.1,36.85,0.0,3.99
2021-06-21,38.01,38.01,38.01,38.01,20.0,-2.79
2021-06-22,39.09,39.09,39.09,39.09,20.0,2.84
2021-06-23,39.0,39.0,39.0,39.0,240.0,-0.23
2021-06-24,39.0,39.0,39.0,39.0,20.0,0.0
2021-06-25,37.51,38.95,38.95,37.51,10.0,-3.82
2021-06-30,37.0,38.94,38.94,37.0,210.0,-1.36
2021-07-01,37.0,37.0,37.0,37.0,60.0,0.0
2021-07-05,36.4,36.4,36.4,36.4,0.0,-1.62
2021-07-06,36.2,36.2,36.2,36.2,340.0,-0.55
2021-07-08,35.4,35.5,35.5,35.4,10.0,-2.21
2021-07-09,35.4,35.55,35.55,35.4,400.0,0.0
2021-07-14,36.0,36.0,36.0,36.0,20.0,1.69
2021-07-16,36.0,36.0,36.0,36.0,90.0,0.0
2021-07-19,36.0,36.0,36.0,36.0,510.0,0.0
2021-07-20,36.86,36.85,36.86,36.85,50.0,2.39
2021-07-23,36.9,36.9,36.9,36.9,80.0,0.11
2021-07-26,37.0,37.0,37.0,37.0,0.0,0.27
2021-07-28,36.0,36.0,36.0,36.0,10.0,-2.7
2021-07-29,34.57,35.5,35.5,34.57,100.0,-3.97
2021-08-02,35.95,35.95,35.95,35.95,180.0,3.99
2021-08-03,36.95,36.0,36.95,36.0,90.0,2.78
2021-08-04,36.95,36.95,36.95,36.95,10.0,0.0
2021-08-05,36.95,36.95,36.95,36.95,0.0,0.0
2021-08-06,38.3,38.42,38.42,38.3,250.0,3.65
2021-08-11,38.41,37.55,38.41,37.55,0.0,0.29
2021-08-12,37.01,37.5,38.41,37.0,660.0,-3.64
2021-08-13,38.39,38.39,38.39,38.39,30.0,3.73
2021-08-16,38.3,37.63,38.3,37.63,70.0,-0.23
2021-08-18,37.5,37.5,37.5,37.5,0.0,-2.09
2021-08-19,38.29,37.5,38.3,37.5,400.0,2.11
2021-08-24,38.29,38.29,38.29,38.29,100.0,0.0
2021-08-25,37.53,37.53,37.53,37.53,0.0,-1.98
2021-08-26,38.29,38.28,38.29,38.28,250.0,2.03
2021-08-27,38.99,36.76,38.99,36.76,1060.0,1.83
2021-08-30,38.49,37.5,38.49,37.5,10.0,-1.28
2021-08-31,37.55,38.0,38.0,37.25,150.0,-2.44
