Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-04-06,4699.0,4699.0,4699.0,4699.0,0.0,0.0
2021-04-12,4606.0,4606.0,4606.0,4606.0,10.0,-1.98
2021-04-23,4600.0,4600.0,4600.0,4600.0,80.0,-0.13
2021-05-17,4550.0,4550.0,4550.0,4550.0,0.0,-1.09
2021-05-19,4550.0,4550.0,4550.0,4550.0,560.0,0.0
2021-06-25,4620.0,4620.0,4620.0,4620.0,10.0,1.54
2021-07-09,4711.0,4711.0,4711.0,4711.0,120.0,1.97
2021-08-03,4501.0,4501.0,4501.0,4501.0,10.0,-4.46
2021-08-19,4412.0,4412.0,4412.0,4412.0,20.0,-1.98
2021-08-24,4324.0,4324.0,4324.0,4324.0,50.0,-1.99
2021-08-31,4410.0,4410.0,4410.0,4410.0,0.0,1.99
2021-09-06,4322.0,4322.0,4322.0,4322.0,20.0,-2.0
2021-09-07,4236.0,4236.0,4236.0,4236.0,20.0,-1.99
2021-09-08,4183.0,4183.0,4183.0,4183.0,30.0,-1.25
2021-09-09,4100.0,4100.0,4100.0,4100.0,2810.0,-1.98
2021-09-15,4019.0,4019.0,4019.0,4019.0,0.0,-1.98
2021-09-16,4019.0,4019.0,4019.0,4019.0,10.0,0.0
2021-09-21,4050.0,4050.0,4050.0,4050.0,3890.0,0.77
2021-10-06,4000.0,4000.0,4000.0,4000.0,140.0,-1.23
2021-10-07,4079.0,4079.0,4079.0,4079.0,10.0,1.98
2021-10-22,4169.0,4169.0,4169.0,4169.0,0.0,2.21
2021-10-26,4168.0,4168.0,4168.0,4168.0,140.0,-0.02
2021-10-27,4168.0,4168.0,4168.0,4168.0,0.0,0.0
2021-10-29,4168.0,4168.0,4168.0,4168.0,100.0,0.0
2021-11-01,4168.0,4168.0,4168.0,4168.0,10.0,0.0
2021-11-04,4168.0,4168.0,4168.0,4168.0,20.0,0.0
2021-11-12,4169.0,4169.0,4169.0,4169.0,0.0,0.02
2021-11-19,4100.0,4100.0,4100.0,4100.0,10.0,-1.66
2021-11-25,4100.0,4100.0,4100.0,4100.0,10.0,0.0
2021-11-29,4003.0,4003.0,4003.0,4003.0,0.0,-2.37
2021-11-30,4163.0,4163.0,4163.0,4163.0,20.0,4.0
2021-12-07,4328.0,4328.0,4328.0,4328.0,50.0,3.96
2021-12-16,4500.0,4500.0,4500.0,4500.0,20.0,3.97
2021-12-23,4675.0,4675.0,4675.0,4675.0,10.0,3.89
2021-12-24,4860.0,4860.0,4860.0,4860.0,0.0,3.96
2021-12-28,5050.0,5050.0,5050.0,5050.0,10.0,3.91
2021-12-30,5250.0,5250.0,5250.0,5250.0,10.0,3.96
2022-01-20,5250.0,5250.0,5250.0,5250.0,0.0,0.0
2022-02-15,5041.0,5041.0,5041.0,5041.0,10.0,-3.98
2022-04-12,5000.0,5000.0,5000.0,5000.0,10.0,-0.81
2022-05-16,5000.0,5000.0,5000.0,5000.0,0.0,0.0
2022-06-03,4999.0,4999.0,4999.0,4999.0,0.0,-0.02
2022-06-08,4800.0,4800.0,4800.0,4800.0,1000.0,-3.98
2022-06-17,4950.0,4950.0,4950.0,4950.0,10.0,3.13
2022-08-05,4675.0,4675.0,4675.0,4675.0,30.0,-5.56
2022-08-09,4650.0,4650.0,4650.0,4650.0,50.0,-0.53
2022-09-26,4465.0,4465.0,4465.0,4465.0,0.0,-3.98
2022-09-27,4540.0,4540.0,4540.0,4540.0,20.0,1.68
2022-10-03,4359.0,4359.0,4359.0,4359.0,0.0,-3.99
