Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,431.0,432.0,432.0,431.0,570.0,0.0
2021-01-05,427.05,431.0,431.0,427.05,430.0,-0.92
2021-01-06,436.0,431.0,440.0,431.0,1530.0,2.1
2021-01-07,441.0,436.0,447.0,436.0,2280.0,1.15
2021-01-08,450.95,446.0,453.0,440.0,2080.0,2.26
2021-01-12,451.5,445.1,456.0,445.1,18600.0,0.12
2021-01-13,451.65,454.95,464.5,451.65,4140.0,0.03
2021-01-14,454.1,452.0,459.0,452.0,1020.0,0.54
2021-01-15,452.0,459.5,459.5,452.0,1480.0,-0.46
2021-01-18,459.95,457.5,460.0,453.05,510.0,1.76
2021-01-19,459.0,460.0,460.0,455.0,390.0,-0.21
2021-01-20,456.3,456.1,459.0,456.1,480.0,-0.59
2021-01-21,468.8,456.0,468.8,455.55,6660.0,2.74
2021-01-22,472.1,468.5,482.0,468.0,3270.0,0.7
2021-01-25,480.0,472.0,480.0,472.0,1660.0,1.67
2021-01-26,490.0,488.0,490.0,482.0,580.0,2.08
2021-01-27,488.0,490.0,490.0,480.0,800.0,-0.41
2021-01-28,478.0,480.0,480.0,472.0,440.0,-2.05
2021-01-29,480.0,484.0,484.0,480.0,100.0,0.42
2021-02-01,490.0,474.1,497.9,474.0,7070.0,2.08
2021-02-02,499.0,499.0,500.0,490.0,1530.0,1.84
2021-02-03,498.9,499.0,499.0,495.0,130.0,-0.02
2021-02-04,490.0,497.0,497.0,490.0,310.0,-1.78
2021-02-05,495.0,484.0,496.0,483.0,770.0,1.02
2021-02-08,500.0,496.5,504.0,492.0,4300.0,1.01
2021-02-09,490.0,495.0,499.95,490.0,1470.0,-2.0
2021-02-10,484.0,494.0,494.0,484.0,270.0,-1.22
2021-02-11,491.0,494.4,494.4,490.0,320.0,1.45
2021-02-12,495.0,494.3,495.0,494.3,460.0,0.81
2021-02-15,495.0,499.0,499.0,490.0,6350.0,0.0
2021-02-16,491.1,490.0,495.0,490.0,1190.0,-0.79
2021-02-17,500.0,492.0,501.0,490.0,1100.0,1.81
2021-02-18,487.0,495.0,495.0,483.0,300.0,-2.6
2021-02-19,475.05,494.95,494.95,475.05,1710.0,-2.45
2021-02-22,476.0,475.05,482.0,470.0,450.0,0.2
2021-02-23,470.1,478.0,478.0,470.1,90.0,-1.24
2021-02-24,452.0,471.0,471.0,452.0,1720.0,-3.85
2021-02-25,455.0,452.0,456.0,452.0,570.0,0.66
2021-02-26,461.65,468.9,468.9,460.0,3140.0,1.46
2021-03-01,462.1,469.0,469.0,462.1,20.0,0.1
2021-03-02,474.0,465.0,474.0,465.0,800.0,2.58
2021-03-03,474.0,474.0,475.0,474.0,110.0,0.0
2021-03-04,483.0,477.0,483.0,477.0,1080.0,1.9
2021-03-05,502.3,502.3,502.3,502.3,240.0,4.0
2021-03-08,522.3,522.3,522.3,522.3,250.0,3.98
2021-03-09,538.0,543.1,543.1,536.0,12030.0,3.01
2021-03-10,546.5,543.0,549.0,539.0,3240.0,1.58
2021-03-11,540.0,546.0,546.0,534.0,5800.0,-1.19
2021-03-12,540.0,540.0,540.0,536.0,5280.0,0.0
2021-03-15,550.0,541.0,552.0,541.0,1100.0,1.85
2021-03-16,550.0,548.0,554.0,548.0,3420.0,0.0
2021-03-17,550.0,546.0,550.2,546.0,1770.0,0.0
2021-03-18,562.9,554.0,562.9,551.0,760.0,2.35
2021-03-19,580.0,565.9,581.0,565.9,8600.0,3.04
2021-03-22,594.0,594.9,601.8,592.0,1480.0,2.41
2021-03-23,580.0,596.1,599.0,580.0,8820.0,-2.36
2021-03-24,580.0,588.0,588.0,580.0,180.0,0.0
2021-03-25,588.0,583.1,588.0,580.0,1110.0,1.38
2021-03-26,588.0,583.0,588.0,581.1,360.0,0.0
2021-03-29,594.9,590.0,594.9,584.0,510.0,1.17
2021-03-30,594.0,594.0,596.9,594.0,890.0,-0.15
2021-03-31,591.0,594.0,597.5,590.0,680.0,-0.51
2021-04-01,590.0,591.0,591.0,590.0,130.0,-0.17
2021-04-02,580.0,589.0,589.9,580.0,3010.0,-1.69
2021-04-05,576.0,580.0,580.0,576.0,990.0,-0.69
2021-04-06,580.0,574.5,580.0,574.2,90.0,0.69
2021-04-07,580.0,572.0,580.0,572.0,630.0,0.0
2021-04-08,580.0,579.0,580.0,578.0,1290.0,0.0
2021-04-09,576.0,576.0,576.0,576.0,20.0,-0.69
2021-04-12,580.0,574.0,580.0,574.0,680.0,0.69
2021-04-13,577.0,577.0,580.0,576.2,3700.0,-0.52
2021-04-14,580.0,577.0,580.0,577.0,180.0,0.52
2021-04-15,584.0,582.0,584.0,577.0,3360.0,0.69
2021-04-16,583.9,581.0,583.9,579.0,2180.0,-0.02
2021-04-19,587.0,585.0,587.0,582.0,300.0,0.53
2021-04-20,587.0,588.0,588.0,585.0,710.0,0.0
2021-04-21,590.0,588.0,590.0,587.0,590.0,0.51
2021-04-22,590.0,588.6,590.0,588.0,620.0,0.0
2021-04-23,589.5,587.0,592.0,587.0,1200.0,-0.08
2021-04-26,585.0,590.0,590.0,585.0,250.0,-0.76
2021-04-27,580.0,587.9,587.9,580.0,630.0,-0.85
2021-04-28,590.0,585.0,590.0,580.0,510.0,1.72
2021-04-29,589.0,590.0,590.0,589.0,20.0,-0.17
2021-04-30,590.0,587.0,590.1,580.0,970.0,0.17
2021-05-03,582.0,587.0,587.0,579.0,570.0,-1.36
2021-05-04,580.0,582.0,582.0,575.0,920.0,-0.34
2021-05-05,575.5,582.0,582.0,575.3,250.0,-0.78
2021-05-06,586.0,575.5,587.0,575.5,2350.0,1.82
2021-05-07,580.0,585.0,585.0,575.7,4000.0,-1.02
2021-05-10,575.0,576.0,578.0,575.0,3020.0,-0.86
2021-05-11,570.0,575.0,575.0,565.0,6610.0,-0.87
2021-05-12,568.0,570.0,570.0,565.0,3780.0,-0.35
2021-05-17,562.0,566.0,568.0,559.0,13630.0,-1.06
2021-05-18,560.0,561.0,562.0,557.0,10010.0,-0.36
2021-05-19,560.0,561.0,561.0,558.0,9360.0,0.0
2021-05-20,550.0,560.0,560.0,550.0,2230.0,-1.79
2021-05-21,545.0,551.0,551.0,541.3,3350.0,-0.91
2021-05-24,539.9,535.0,540.0,535.0,1410.0,-0.94
2021-05-25,545.0,540.0,550.0,540.0,3170.0,0.94
2021-05-26,555.5,551.9,558.0,543.5,12790.0,1.93
2021-05-27,570.0,561.0,577.0,560.0,1840.0,2.61
2021-05-28,570.0,570.0,575.0,566.0,2960.0,0.0
2021-05-31,570.0,570.0,574.9,563.0,870.0,0.0
2021-06-01,567.1,570.0,574.9,567.0,400.0,-0.51
2021-06-02,570.0,567.1,570.0,566.5,7690.0,0.51
2021-06-03,577.0,569.9,577.0,567.2,5400.0,1.23
2021-06-04,575.0,575.0,578.0,575.0,3710.0,-0.35
2021-06-07,565.1,575.0,575.0,565.0,390.0,-1.72
