Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2022-07-21,257.0,255.65,257.0,235.1,9380.0,0.53
2022-07-22,240.0,248.0,250.0,240.0,6920.0,-6.61
2022-07-25,221.0,231.0,233.0,216.05,29100.0,-7.92
2022-07-26,221.0,213.0,221.0,207.75,6390.0,0.0
2022-07-27,228.0,223.0,233.0,222.0,8320.0,3.17
2022-07-28,227.0,229.45,229.85,222.05,6240.0,-0.44
2022-07-29,232.0,225.05,232.0,225.05,730.0,2.2
2022-08-01,235.0,230.1,235.0,230.0,3910.0,1.29
2022-08-02,239.5,235.0,239.5,235.0,360.0,1.91
2022-08-03,236.0,239.95,239.95,236.0,260.0,-1.46
2022-08-04,236.0,235.4,236.0,233.0,1180.0,0.0
2022-08-05,235.0,232.5,235.0,230.5,1370.0,-0.42
2022-08-08,236.1,236.0,240.0,233.2,800.0,0.47
2022-08-09,240.0,237.1,241.45,236.3,1210.0,1.65
2022-08-10,238.05,240.0,240.0,238.05,840.0,-0.81
2022-08-11,244.0,239.0,244.0,238.0,5210.0,2.5
2022-08-12,245.0,243.0,245.0,243.0,200.0,0.41
2022-08-15,250.0,245.0,250.0,245.0,890.0,2.04
2022-08-16,247.5,249.45,249.45,247.2,150.0,-1.0
2022-08-17,254.9,249.4,255.0,249.4,2130.0,2.99
2022-08-18,253.0,251.7,253.2,251.7,960.0,-0.75
2022-08-19,251.1,253.5,254.9,251.0,620.0,-0.75
2022-08-22,251.0,251.1,254.95,251.0,700.0,-0.04
2022-08-23,254.7,252.8,254.9,252.0,200.0,1.47
2022-08-24,252.05,253.0,253.0,252.0,710.0,-1.04
2022-08-25,252.1,252.0,252.1,252.0,190.0,0.02
2022-08-26,255.0,254.9,259.9,253.0,1720.0,1.15
2022-08-29,253.0,255.0,255.0,253.0,330.0,-0.78
2022-08-30,255.0,255.0,259.0,254.95,1520.0,0.79
2022-08-31,258.0,257.0,258.0,257.0,760.0,1.18
2022-09-01,259.95,259.8,263.0,255.65,2920.0,0.76
2022-09-02,260.0,260.0,262.5,257.55,140.0,0.02
2022-09-05,260.0,258.0,261.0,258.0,370.0,0.0
2022-09-06,259.85,260.0,260.0,258.25,1190.0,-0.06
2022-09-07,258.7,260.0,261.95,258.7,2590.0,-0.44
2022-09-08,261.0,260.0,262.0,259.55,1260.0,0.89
2022-09-09,260.0,260.0,260.0,259.3,3400.0,-0.38
2022-09-12,258.0,260.0,260.0,258.0,3160.0,-0.77
2022-09-13,243.05,247.0,248.3,243.05,720.0,-5.79
2022-09-14,240.5,245.15,245.5,240.0,520.0,-1.05
2022-09-15,237.9,237.95,238.0,232.0,710.0,-1.08
2022-09-16,234.2,233.2,237.0,230.9,950.0,-1.56
2022-09-19,236.5,234.95,239.0,234.95,400.0,0.98
2022-09-20,237.0,236.1,237.0,236.1,300.0,0.21
2022-09-21,238.0,238.95,239.95,238.0,650.0,0.42
2022-09-22,243.0,241.0,245.0,240.0,5250.0,2.1
2022-09-23,235.0,247.0,247.0,235.0,5940.0,-3.29
2022-09-26,233.0,236.0,239.55,232.0,1730.0,-0.85
2022-09-27,231.0,234.0,234.0,231.0,900.0,-0.86
2022-09-28,229.8,231.0,231.0,227.0,640.0,-0.52
2022-09-29,216.05,227.0,227.0,216.05,10800.0,-5.98
2022-09-30,203.1,219.95,219.95,203.1,8140.000000000001,-5.99
2022-10-03,190.95,204.0,208.5,190.95,9590.0,-5.98
2022-10-04,188.15,191.0,196.0,187.0,2330.0,-1.47
2022-10-05,194.9,190.0,194.95,190.0,320.0,3.59
2022-10-06,194.0,195.0,195.0,192.0,1140.0,-0.46
2022-10-07,195.0,194.0,195.0,194.0,1150.0,0.52
2022-10-11,195.95,195.0,195.95,195.0,90.0,0.49
2022-10-12,198.6,198.6,198.6,198.6,30.0,1.35
2022-10-13,197.0,199.0,200.0,197.0,630.0,-0.81
2022-10-14,191.0,197.0,197.0,191.0,1600.0,-3.05
2022-10-17,188.5,190.0,191.0,188.5,1640.0,-1.31
2022-10-18,193.0,189.05,193.0,189.0,100.0,2.39
2022-10-19,190.0,194.9,194.95,190.0,360.0,-1.55
2022-10-20,187.5,190.15,190.15,187.5,170.0,-1.32
2022-10-21,191.0,190.0,191.0,190.0,210.0,1.87
2022-10-24,188.0,189.0,189.0,188.0,80.0,-1.57
2022-10-25,193.5,193.5,193.5,193.5,0.0,2.93
2022-10-26,190.0,187.0,190.0,185.1,540.0,-1.81
2022-10-27,185.6,189.0,189.0,185.6,320.0,-2.32
2022-10-28,186.0,185.15,186.0,185.0,350.0,0.22
2022-10-31,188.2,183.0,188.2,182.7,340.0,1.18
2022-11-01,188.0,188.2,188.2,188.0,60.0,-0.11
2022-11-02,190.0,189.95,190.0,189.95,20.0,1.06
2022-11-03,184.35,184.5,184.5,184.35,20.0,-2.97
2022-11-04,183.2,189.0,189.0,183.2,160.0,-0.62
2022-11-07,183.25,183.3,183.4,182.6,530.0,0.03
2022-11-08,183.5,185.95,186.0,183.5,200.0,0.14
2022-11-09,180.05,183.35,183.35,180.05,190.0,-1.88
2022-11-10,179.95,184.0,184.0,177.0,1120.0,-0.06
2022-11-11,179.7,179.95,180.05,173.0,620.0,-0.14
2022-11-14,174.05,179.35,179.4,174.05,250.0,-3.14
2022-11-15,178.5,175.05,178.85,175.0,860.0,2.56
2022-11-16,182.0,178.8,182.0,175.0,460.0,1.96
2022-11-17,189.0,182.0,189.0,182.0,280.0,3.85
2022-11-23,182.15,182.15,182.15,182.15,190.0,-3.62
2022-11-24,186.0,182.15,186.0,182.15,40.0,2.11
2022-11-25,186.0,186.0,186.0,186.0,60.0,0.0
2022-11-28,185.0,183.1,185.0,183.0,200.0,-0.54
2022-11-29,180.0,182.0,182.0,180.0,570.0,-2.7
2022-11-30,182.0,180.0,182.0,180.0,470.0,1.11
2022-12-01,182.0,180.0,182.0,180.0,120.0,0.0
2022-12-02,181.0,178.0,181.0,177.45,340.0,-0.55
2022-12-05,182.0,180.0,182.0,180.0,330.0,0.55
2022-12-06,183.0,180.05,183.0,180.05,480.0,0.55
2022-12-07,184.0,184.85,184.85,184.0,20.0,0.55
2022-12-08,187.9,184.75,188.0,182.0,540.0,2.12
2022-12-09,186.95,183.75,186.95,183.5,310.0,-0.51
