Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,40.1,40.1,40.1,40.1,100.0,0.0
2021-01-06,40.1,40.1,40.1,40.1,330.0,0.0
2021-01-07,40.5,40.5,40.5,40.5,110.0,1.0
2021-01-13,40.55,40.55,40.55,40.55,200.0,0.12
2021-01-14,40.71,40.71,40.71,40.71,150.0,0.39
2021-01-19,41.5,41.5,41.5,41.5,30.0,1.94
2021-01-20,41.5,41.5,41.5,41.5,90.0,0.0
2021-01-21,43.15,41.52,43.15,41.1,490.0,3.98
2021-01-22,44.87,44.87,44.87,44.87,110.0,3.99
2021-01-25,46.66,46.66,46.66,46.66,40.0,3.99
2021-01-26,48.52,48.52,48.52,48.52,720.0,3.99
2021-01-27,50.46,50.46,50.46,50.46,910.0,4.0
2021-01-28,51.0,52.3,52.41,51.0,1010.0,1.07
2021-01-29,50.0,50.0,50.0,50.0,20.0,-1.96
2021-02-02,49.8,49.8,50.0,49.01,140.0,-0.4
2021-02-03,49.7,48.9,49.7,48.9,110.0,-0.2
2021-02-04,51.0,51.0,51.0,51.0,150.0,2.62
2021-02-09,48.98,49.11,49.11,48.97,1130.0,-3.96
2021-02-10,48.8,49.99,49.99,48.8,50.0,-0.37
2021-02-12,48.0,48.0,48.0,48.0,40.0,-1.64
2021-02-16,49.45,47.0,49.45,47.0,330.0,3.02
2021-02-17,48.99,48.99,48.99,48.99,10.0,-0.93
2021-02-19,47.04,47.04,47.04,47.04,100.0,-3.98
2021-02-22,47.04,47.04,47.04,47.04,10.0,0.0
2021-02-23,47.0,47.04,47.04,47.0,150.0,-0.09
2021-02-25,47.0,47.0,47.0,47.0,10.0,0.0
2021-03-02,47.9,47.0,47.9,47.0,80.0,1.91
2021-03-03,47.0,47.0,47.0,47.0,60.0,-1.88
2021-03-09,47.0,47.0,47.0,47.0,110.0,0.0
2021-03-10,47.0,47.0,47.0,47.0,100.0,0.0
2021-03-11,47.93,47.0,47.93,47.0,20.0,1.98
2021-03-15,46.2,46.21,46.21,46.2,100.0,-3.61
2021-03-17,47.12,45.3,47.12,45.3,10.0,1.99
2021-03-23,47.0,47.0,47.0,47.0,10.0,-0.25
2021-03-30,46.99,46.0,47.0,46.0,1150.0,-0.02
