Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-03-18,3900.0,3900.0,3900.0,3850.0,170.0,0.0
2026-03-19,3900.0,3900.0,3910.0,3900.0,30.0,0.0
2026-03-24,3805.0,3900.0,3900.0,3805.0,200.0,-2.44
2026-03-25,3879.0,3810.0,3879.0,3810.0,50.0,1.94
2026-03-26,3800.0,3881.0,3881.0,3800.0,230.0,-2.04
2026-03-27,3700.0,3806.0,3806.0,3700.0,1010.0,-2.63
2026-03-30,3750.0,3800.0,3800.0,3750.0,10.0,1.35
2026-03-31,3777.0,3750.0,3895.0,3750.0,3900.0,0.72
2026-04-01,3750.0,3800.0,3800.0,3750.0,120.0,-0.71
2026-04-02,3720.0,3750.0,3750.0,3720.0,20.0,-0.8
2026-04-03,3700.0,3750.0,3750.0,3700.0,520.0,-0.54
2026-04-06,3700.0,3700.0,3700.0,3651.0,200.0,0.0
2026-04-07,3790.0,3700.0,3790.0,3700.0,20.0,2.43
2026-04-08,3750.0,3870.0,3870.0,3750.0,320.0,-1.06
2026-04-09,3750.0,3750.0,3750.0,3714.0,320.0,0.0
2026-04-10,3744.0,3750.0,3750.0,3700.0,210.0,-0.16
2026-04-13,3725.0,3744.0,3750.0,3725.0,150.0,-0.51
2026-04-14,3750.0,3750.0,3859.0,3720.0,190.0,0.67
2026-04-15,3721.0,3750.0,3830.0,3700.0,440.0,-0.77
2026-04-16,3750.0,3750.0,3750.0,3721.0,40.0,0.78
2026-04-17,3817.0,3738.0,3822.0,3738.0,260.0,1.79
