Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,660.0,649.0,660.0,649.0,4640.0,1.69
2021-01-05,655.0,655.5,656.0,655.0,700.0,-0.76
2021-01-06,652.0,650.1,652.0,650.0,290.0,-0.46
2021-01-07,652.0,652.0,652.0,652.0,20.0,0.0
2021-01-08,668.5,668.8,669.0,668.0,1770.0,2.53
2021-01-12,670.0,670.0,670.0,670.0,30.0,0.22
2021-01-13,660.0,660.0,660.0,660.0,150.0,-1.49
2021-01-14,652.5,652.5,652.5,652.5,8290.0,-1.14
2021-01-15,659.5,659.8,659.9,658.2,850.0,1.07
2021-01-18,659.9,659.8,659.9,649.6,370.0,0.06
2021-01-19,660.0,659.5,660.0,659.5,26060.0,0.02
2021-01-20,646.9,649.8,649.8,646.9,60.0,-1.98
2021-01-21,660.0,659.0,660.0,659.0,580.0,2.03
2021-01-22,659.8,648.0,659.8,648.0,5650.0,-0.03
2021-01-26,659.0,650.0,659.0,650.0,1550.0,-0.12
2021-01-27,640.0,650.0,650.0,640.0,7010.0,-2.88
2021-01-28,631.0,641.1,641.1,631.0,1400.0,-1.41
2021-01-29,650.0,641.0,650.0,641.0,12630.0,3.01
2021-02-01,660.0,650.0,660.0,650.0,660.0,1.54
2021-02-02,660.0,660.0,660.0,660.0,900.0,0.0
2021-02-03,660.0,660.0,666.0,660.0,1580.0,0.0
2021-02-04,653.0,660.0,670.0,653.0,10870.0,-1.06
2021-02-05,660.0,660.0,660.0,660.0,3400.0,1.07
2021-02-10,673.0,686.3,686.3,673.0,13140.0,1.97
2021-02-11,673.0,675.0,679.9,673.0,1320.0,0.0
2021-02-12,678.0,685.0,685.0,678.0,33180.0,0.74
2021-02-15,688.0,678.0,688.0,678.0,410.0,1.47
2021-02-18,673.0,678.0,678.0,673.0,6480.0,-2.18
2021-02-19,660.0,660.6,660.6,660.0,90.0,-1.93
2021-02-22,673.9,670.0,673.9,670.0,390.0,2.11
2021-02-24,673.9,661.0,673.9,661.0,3760.0,0.0
2021-02-25,665.0,673.0,673.0,665.0,1520.0,-1.32
2021-02-26,670.0,665.1,670.0,665.0,2370.0,0.75
2021-03-01,665.0,665.0,665.0,665.0,3350.0,-0.75
2021-03-02,665.0,665.0,665.0,665.0,170.0,0.0
2021-03-03,678.0,678.0,678.0,678.0,20.0,1.95
2021-03-04,660.0,660.1,660.1,660.0,2520.0,-2.65
2021-03-05,659.9,660.0,660.0,659.9,1420.0,-0.02
2021-03-08,660.0,660.0,660.0,660.0,10.0,0.02
2021-03-09,659.5,660.0,660.0,659.5,3060.0,-0.08
2021-03-12,650.0,650.0,650.0,650.0,3390.0,-1.44
2021-03-15,650.0,650.5,650.6,650.0,3920.0,0.0
2021-03-16,645.0,645.0,645.0,645.0,70.0,-0.77
2021-03-17,634.1,644.2,644.2,634.1,110.0,-1.69
2021-03-18,640.0,640.0,640.0,640.0,7080.0,0.93
2021-03-19,630.0,630.0,630.0,630.0,150.0,-1.56
2021-03-22,623.0,623.0,623.0,623.0,120.0,-1.11
2021-03-23,623.0,623.0,623.0,623.0,20.0,0.0
2021-03-24,603.1,615.0,615.0,603.0,43720.0,-3.19
2021-03-25,603.0,603.0,603.0,603.0,3280.0,-0.02
2021-03-29,600.0,603.5,603.5,600.0,7220.0,-0.5
2021-03-30,580.0,598.0,598.0,580.0,10870.0,-3.33
2021-03-31,580.0,580.0,580.0,580.0,2520.0,0.0
2021-04-01,579.9,580.0,585.0,579.9,1160.0,-0.02
2021-04-02,580.0,580.0,580.0,580.0,30.0,0.02
2021-04-05,580.0,570.0,580.0,570.0,1240.0,0.0
2021-04-06,579.2,591.0,591.0,579.2,5090.0,-0.14
2021-04-07,580.0,580.0,580.0,580.0,20.0,0.14
2021-04-08,590.0,588.0,590.0,588.0,30.0,1.72
2021-04-09,580.0,580.0,580.0,580.0,15020.0,-1.69
2021-04-13,580.0,580.0,580.0,580.0,15040.0,0.0
2021-04-14,580.0,580.0,580.0,580.0,19990.0,0.0
2021-04-15,580.0,580.0,580.0,580.0,90.0,0.0
2021-04-16,600.0,585.0,600.0,580.0,1730.0,3.45
2021-04-19,600.0,600.0,600.0,600.0,340.0,0.0
2021-04-20,590.0,600.1,600.1,590.0,21180.0,-1.67
2021-04-22,590.0,590.0,590.0,590.0,2029.9999999999998,0.0
2021-04-23,590.0,595.0,595.0,590.0,5810.0,0.0
2021-04-26,590.0,590.0,590.0,590.0,5000.0,0.0
2021-04-27,599.9,599.9,599.9,599.9,90.0,1.68
2021-04-29,599.9,599.9,599.9,599.9,50.0,0.0
