Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-03-17,92.99,92.68,93.0,92.5,109670.0,0.96
2026-03-18,95.9,93.1,95.99,93.1,161410.0,3.13
2026-03-19,94.3,95.0,95.0,94.0,62310.0,-1.67
2026-03-24,93.8,95.0,95.0,92.85,200790.0,-0.53
2026-03-25,94.99,93.99,95.0,93.85,1870000.0,1.27
2026-03-26,94.59,95.6,96.2,94.59,184750.0,-0.42
2026-03-27,95.0,96.0,96.4,95.0,216450.0,0.43
2026-03-30,95.2,95.85,95.85,94.5,28570.0,0.21
2026-03-31,93.88,95.0,95.49,93.88,73010.0,-1.39
2026-04-01,95.5,95.5,95.8,95.0,178350.0,1.73
2026-04-02,95.0,95.02,95.5,92.1,158700.0,-0.52
2026-04-03,92.1,95.4,95.4,92.1,233060.0,-3.05
2026-04-06,93.0,93.0,93.85,92.9,13800.0,0.98
2026-04-07,92.5,93.0,93.4,92.5,16750.0,-0.54
2026-04-08,96.99,94.25,97.0,94.25,361100.0,4.85
2026-04-09,95.4,96.99,96.99,95.03,62170.0,-1.64
2026-04-10,96.0,96.0,96.0,95.3,188590.0,0.63
2026-04-13,96.0,95.99,96.0,94.51,95320.0,0.0
2026-04-14,95.4,96.0,96.0,95.1,125360.0,-0.62
2026-04-15,96.85,95.99,97.29,95.99,253850.0,1.52
2026-04-16,96.7,96.18,97.0,96.18,57250.0,-0.15
2026-04-17,99.0,96.8,101.0,96.25,235970.0,2.38
