Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,92.0,92.01,92.01,92.0,1560.0,-2.13
2021-01-05,93.99,93.82,93.99,93.82,610.0,2.16
2021-01-06,93.98,93.99,93.99,93.98,0.0,-0.01
2021-01-07,93.95,93.95,93.95,93.95,0.0,-0.03
2021-01-08,92.31,93.0,93.75,92.31,170.0,-1.75
2021-01-12,93.0,92.52,93.0,92.31,2570.0,0.75
2021-01-13,94.0,93.99,94.0,92.55,6250.0,1.08
2021-01-14,92.61,92.7,92.7,92.61,1220.0,-1.48
2021-01-15,92.0,93.0,93.0,92.0,7700.0,-0.66
2021-01-18,92.0,92.1,92.1,92.0,150.0,0.0
2021-01-19,93.48,92.8,93.48,92.8,110.0,1.61
2021-01-20,93.33,93.49,93.49,92.0,6970.0,-0.16
2021-01-21,92.6,93.9,93.9,92.6,40.0,-0.78
2021-01-22,93.11,92.2,93.11,92.2,54910.0,0.55
2021-01-25,93.5,93.37,93.5,92.15,7210.0,0.42
2021-01-26,92.64,93.97,94.0,92.63,4590.0,-0.92
2021-01-27,93.0,92.62,93.0,92.6,1760.0,0.39
2021-01-28,92.99,92.99,92.99,92.99,0.0,-0.01
2021-01-29,93.44,93.0,93.5,92.62,6610.0,0.48
2021-02-01,92.63,92.63,93.4,92.63,1070.0,-0.87
2021-02-02,93.97,93.45,93.98,93.45,120.0,1.45
2021-02-03,93.95,93.95,93.95,93.95,70.0,-0.02
2021-02-04,93.0,93.85,93.85,93.0,2970.0,-1.01
2021-02-05,93.78,93.5,93.8,92.0,11650.0,0.84
2021-02-08,93.78,93.78,93.78,93.78,30.0,0.0
2021-02-09,92.5,92.01,92.5,92.0,4980.0,-1.36
2021-02-10,92.7,92.5,92.7,92.5,30.0,0.22
2021-02-11,91.79,92.01,92.01,90.0,3830.0,-0.98
2021-02-15,92.0,91.04,92.0,90.6,5210.0,0.23
2021-02-16,91.35,91.01,91.95,91.01,50.0,-0.71
2021-02-17,91.0,91.0,91.0,91.0,240.0,-0.38
2021-02-18,92.2,91.25,92.2,90.45,300.0,1.32
2021-02-19,92.0,92.0,92.0,92.0,120.0,-0.22
2021-02-22,92.01,92.0,92.01,92.0,10090.0,0.01
2021-02-23,92.0,92.0,92.0,92.0,70.0,-0.01
2021-02-24,92.0,92.0,92.25,92.0,470.0,0.0
2021-02-25,93.69,92.25,93.69,92.25,270.0,1.84
2021-02-26,92.6,93.0,93.0,92.6,60.0,-1.16
2021-03-01,93.74,93.74,93.74,93.74,10.0,1.23
2021-03-04,92.05,92.07,92.07,92.05,200.0,-1.8
2021-03-05,92.1,92.1,92.1,92.1,40.0,0.05
2021-03-08,93.63,93.1,93.64,93.1,110.0,1.66
2021-03-09,93.11,93.69,93.69,92.11,3770.0,-0.56
2021-03-10,92.5,93.0,93.0,92.5,770.0,-0.66
2021-03-11,92.1,92.5,93.35,92.0,1600.0,-0.43
2021-03-12,92.4,92.4,92.4,92.4,90.0,0.33
2021-03-15,92.11,92.11,92.11,92.0,580.0,-0.31
2021-03-16,93.0,93.4,93.4,92.0,550.0,0.97
2021-03-17,92.6,92.3,92.6,92.3,120.0,-0.43
2021-03-18,92.42,92.4,92.43,92.4,290.0,-0.19
2021-03-19,92.4,92.43,92.45,92.4,1070.0,-0.02
2021-03-22,92.3,92.3,92.3,92.3,110.0,-0.11
2021-03-23,93.3,92.3,93.3,92.01,1860.0,1.08
2021-03-24,93.23,92.1,93.3,92.1,4830.0,-0.08
2021-03-25,93.01,93.2,93.2,93.0,130.0,-0.24
2021-03-26,92.52,92.51,92.53,92.5,4130.0,-0.53
2021-03-29,93.0,93.0,93.0,92.12,520.0,0.52
2021-03-30,92.25,93.0,93.0,92.25,50.0,-0.81
2021-03-31,92.25,93.0,93.0,92.25,800.0,0.0
2021-04-01,92.5,92.3,92.5,92.26,820.0,0.27
2021-04-02,93.0,92.51,93.0,92.51,2420.0,0.54
2021-04-05,92.65,93.0,93.1,92.65,1960.0,-0.38
2021-04-06,93.0,93.0,93.0,93.0,20.0,0.38
2021-04-07,93.0,93.0,93.01,93.0,4170.0,0.0
2021-04-08,93.3,93.0,93.3,93.0,340.0,0.32
2021-04-09,93.9,93.45,93.9,93.45,11560.0,0.64
2021-04-13,97.0,95.0,97.2,95.0,1800.0,3.3
2021-04-14,94.2,94.2,94.2,94.2,500.0,-2.89
2021-04-15,96.99,96.85,97.05,96.85,343700.0,2.96
2021-04-16,96.98,95.3,96.98,95.15,40.0,-0.01
2021-04-19,95.12,95.12,95.15,95.12,220.0,-1.92
2021-04-20,94.15,94.15,94.15,94.15,990.0,-1.02
2021-04-22,95.2,95.1,95.2,95.0,1080.0,1.12
2021-04-23,95.0,95.3,95.3,95.0,20050.0,-0.21
2021-04-27,96.5,95.85,96.5,95.1,14610.0,1.58
2021-04-28,98.0,96.78,98.0,96.78,8740.0,1.55
2021-05-04,98.0,98.0,98.0,98.0,20.0,0.0
2021-05-05,97.5,97.5,97.5,96.05,250.0,-0.51
2021-05-06,96.11,97.0,97.0,96.05,5210.0,-1.43
2021-05-07,97.5,97.5,97.5,97.5,960.0,1.45
2021-05-10,97.0,96.99,97.0,96.99,1860.0,-0.51
2021-05-11,96.2,96.2,96.2,96.2,110.0,-0.82
2021-05-12,96.5,96.5,96.5,96.5,0.0,0.31
2021-05-17,96.7,97.5,97.5,96.7,210.0,0.21
2021-05-18,97.0,96.7,97.0,96.7,5400.0,0.31
2021-05-19,97.0,96.7,97.0,96.7,4880.0,0.0
2021-05-20,96.2,96.23,96.23,96.2,810.0,-0.82
2021-05-21,96.0,96.06,96.06,96.0,7630.0,-0.21
2021-05-24,96.0,96.0,96.0,95.51,3040.0,0.0
2021-05-25,97.0,96.95,97.0,96.95,1720.0,1.04
2021-05-26,96.99,96.99,96.99,96.99,50.0,-0.01
2021-05-27,96.0,96.0,96.0,95.51,1310.0,-1.02
2021-05-31,96.0,96.0,96.1,96.0,330.0,0.0
2021-06-01,97.0,96.5,97.0,96.5,4460.0,1.04
2021-06-02,96.0,97.0,97.0,96.0,10730.0,-1.03
2021-06-03,95.52,95.56,95.56,95.52,100.0,-0.5
2021-06-04,96.0,96.0,96.0,95.52,1450.0,0.5
2021-06-07,96.0,96.0,96.0,95.52,1400.0,0.0
2021-06-08,95.99,96.0,96.0,95.99,22150.0,-0.01
2021-06-09,95.5,96.0,96.0,95.5,1510.0,-0.51
2021-06-10,95.5,95.99,95.99,95.5,3980.0,0.0
2021-06-11,95.5,95.55,95.6,95.5,3590.0,0.0
2021-06-14,95.07,95.95,95.95,95.07,140.0,-0.45
2021-06-15,94.99,95.5,95.5,94.0,23700.0,-0.08
2021-06-16,94.18,94.15,94.95,94.12,26130.0,-0.85
2021-06-17,95.9,95.0,95.9,95.0,50.0,1.83
2021-06-18,94.2,94.16,94.2,94.16,5040.0,-1.77
2021-06-21,94.5,94.5,94.5,94.5,7430.0,0.32
2021-06-22,94.51,95.8,95.8,94.5,5500.0,0.01
2021-06-23,95.5,95.5,95.9,95.0,6050.0,1.05
2021-06-24,97.0,95.51,97.0,95.5,5290.0,1.57
2021-06-25,97.0,96.5,97.0,96.5,1050.0,0.0
2021-06-28,97.0,96.8,97.0,96.8,5200.0,0.0
2021-06-29,97.0,97.0,97.0,96.5,4690.0,0.0
2021-06-30,97.75,97.0,97.75,97.0,8700.0,0.77
2021-07-01,97.05,97.04,97.95,97.04,3780.0,-0.72
2021-07-02,97.05,97.05,97.5,97.0,11230.0,0.0
2021-07-05,97.05,97.9,97.9,97.05,1950.0,0.0
2021-07-06,97.0,97.0,97.0,95.5,10950.0,-0.05
2021-07-07,96.2,96.85,96.85,96.2,90.0,-0.82
2021-07-08,96.25,96.25,96.25,96.25,10.0,0.05
2021-07-09,96.9,96.85,96.9,96.85,1140.0,0.68
2021-07-12,96.2,96.25,96.25,96.2,500.0,-0.72
2021-07-13,96.2,96.2,96.2,96.2,100.0,0.0
2021-07-14,96.9,96.89,96.9,96.89,20.0,0.73
2021-07-15,98.5,96.9,98.5,96.9,35600.0,1.65
2021-07-16,98.0,96.54,98.0,96.54,100.0,-0.51
2021-07-19,97.9,96.54,97.95,96.54,30.0,-0.1
2021-07-20,96.54,97.9,98.0,96.54,101200.0,-1.39
2021-07-23,96.54,96.54,96.54,96.54,200.0,0.0
2021-07-26,98.0,97.0,98.01,97.0,86650.0,1.51
2021-07-27,97.99,97.99,98.0,97.99,40.0,-0.01
2021-07-28,98.87,97.99,98.88,97.99,1050.0,0.9
2021-07-29,98.88,98.5,98.88,98.5,630.0,0.01
2021-08-02,97.0,97.0,97.0,97.0,5060.0,-1.9
2021-08-03,96.9,97.0,97.0,96.9,100.0,-0.1
2021-08-04,97.9,97.9,97.9,97.9,0.0,1.03
2021-08-05,98.0,97.0,98.0,97.0,68190.0,0.1
2021-08-06,98.8,98.0,98.8,98.0,30820.0,0.82
2021-08-11,98.6,98.6,98.6,98.6,60.0,-0.2
2021-08-12,98.6,98.6,98.6,98.6,10.0,0.0
2021-08-13,98.25,98.25,98.25,98.25,950.0,-0.35
2021-08-17,96.5,98.0,98.0,96.5,500.0,-1.78
2021-08-18,97.0,98.2,98.2,97.0,300.0,0.52
2021-08-23,97.3,97.3,97.3,97.3,600.0,0.31
2021-08-24,97.35,97.35,97.35,97.35,90.0,0.05
2021-08-25,97.3,98.8,98.8,97.3,250.0,-0.05
2021-08-26,98.7,98.5,98.7,98.5,250.0,1.44
2021-08-27,97.0,97.3,98.75,97.0,2020.0,-1.72
2021-08-30,98.75,97.3,98.75,97.3,110.0,1.8
2021-08-31,98.75,97.45,98.75,97.45,70.0,0.0
2021-09-01,98.69,98.69,98.69,98.69,0.0,-0.06
2021-09-02,98.0,98.0,98.1,97.99,60380.0,-0.7
2021-09-06,98.0,98.0,98.0,98.0,10.0,0.0
2021-09-09,98.39,98.39,98.39,98.39,200.0,0.4
2021-09-10,98.0,98.39,98.39,98.0,2080.0,-0.4
2021-09-13,97.05,98.0,98.0,97.05,2160.0,-0.97
2021-09-15,98.39,97.51,98.39,97.51,2600.0,1.38
2021-09-16,96.61,97.51,97.51,96.5,5000.0,-1.81
2021-09-17,98.0,98.0,98.0,98.0,10.0,1.44
2021-09-20,98.0,98.0,98.0,98.0,2400.0,0.0
2021-09-21,98.0,97.6,98.0,97.6,20310.0,0.0
2021-09-22,98.0,98.0,98.0,98.0,10650.0,0.0
2021-09-23,96.1,98.2,98.2,96.1,140.0,-1.94
2021-09-24,98.0,98.0,98.0,98.0,15290.0,1.98
2021-09-27,96.61,98.05,98.05,96.5,2500.0,-1.42
2021-09-28,96.64,96.64,96.64,96.64,20.0,0.03
2021-09-29,98.0,96.65,98.0,96.65,80.0,1.41
2021-09-30,96.5,98.0,98.0,96.5,1650.0,-1.53
2021-10-01,96.52,98.0,98.0,96.52,2270.0,0.02
2021-10-05,98.05,97.01,98.05,97.01,50.0,1.59
2021-10-06,97.21,98.05,98.05,97.21,30.0,-0.86
2021-10-07,96.5,98.0,98.0,96.5,2740.0,-0.73
2021-10-08,96.61,98.0,98.0,96.57,660.0,0.11
2021-10-11,98.05,97.9,98.05,96.51,26300.0,1.49
2021-10-12,98.0,98.0,98.0,98.0,11690.0,-0.05
