Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,119.05,119.05,119.05,119.05,0.0,0.98
2021-01-07,117.0,115.05,118.85,115.0,310.0,-1.72
2021-01-08,117.15,119.05,119.9,116.7,210.0,0.13
2021-01-12,117.0,119.0,119.0,115.0,680.0,-0.13
2021-01-13,117.95,118.45,118.45,116.0,20.0,0.81
2021-01-14,119.95,119.95,119.95,119.95,0.0,1.7
2021-01-15,117.75,118.9,118.9,117.0,390.0,-1.83
2021-01-18,118.9,119.9,119.9,114.1,50.0,0.98
2021-01-20,118.45,114.2,118.45,114.2,100.0,-0.38
2021-01-21,118.95,116.0,118.95,116.0,60.0,0.42
2021-01-22,118.65,116.8,118.75,115.0,610.0,-0.25
2021-01-26,118.0,117.95,118.0,117.95,40.0,-0.55
2021-01-27,118.0,118.0,118.0,118.0,0.0,0.0
2021-01-28,118.5,118.95,118.95,115.2,260.0,0.42
2021-01-29,117.0,117.0,117.0,117.0,40.0,-1.27
2021-02-01,117.0,118.0,118.0,117.0,80.0,0.0
2021-02-02,117.0,117.0,117.0,117.0,20.0,0.0
2021-02-03,113.0,113.05,115.0,112.4,3390.0,-3.42
2021-02-04,113.0,113.05,115.0,113.0,200.0,0.0
2021-02-05,116.0,112.65,116.0,112.6,90.0,2.65
2021-02-08,116.0,116.4,116.4,116.0,20.0,0.0
2021-02-10,112.0,112.6,112.6,112.0,300.0,-3.45
2021-02-11,114.85,112.0,115.45,112.0,210.0,2.54
2021-02-12,112.6,112.6,112.6,112.6,150.0,-1.96
2021-02-15,114.5,114.5,114.5,114.5,0.0,1.69
2021-02-16,112.0,112.0,112.0,110.1,50.0,-2.18
2021-02-17,112.0,112.0,112.0,112.0,0.0,0.0
2021-02-18,112.0,112.0,112.0,112.0,0.0,0.0
2021-02-19,114.3,112.0,114.3,112.0,20.0,2.05
2021-02-23,113.65,113.95,113.95,109.75,610.0,-0.57
2021-02-24,112.0,112.0,112.0,112.0,90.0,-1.45
2021-02-25,111.45,108.0,111.45,108.0,50.0,-0.49
2021-02-26,108.1,111.5,111.5,108.0,690.0,-3.01
2021-03-02,109.0,109.1,109.5,109.0,780.0,0.83
2021-03-05,111.3,109.0,111.3,109.0,1210.0,2.11
2021-03-08,111.0,111.0,111.0,109.05,160.0,-0.27
2021-03-09,109.15,111.0,111.0,108.05,350.0,-1.67
2021-03-10,107.6,108.0,108.0,107.1,30.0,-1.42
2021-03-11,111.35,108.0,111.35,107.5,250.0,3.49
2021-03-15,111.3,108.0,111.3,107.0,500.0,-0.04
2021-03-16,106.9,107.0,107.0,106.9,460.0,-3.95
2021-03-17,109.95,109.0,111.0,102.65,990.0,2.85
2021-03-18,105.6,105.6,106.0,105.6,1160.0,-3.96
2021-03-19,109.0,109.0,109.0,109.0,0.0,3.22
2021-03-22,107.8,107.8,107.8,105.0,20.0,-1.1
2021-03-24,105.0,107.75,107.75,105.0,370.0,-2.6
2021-03-26,104.3,104.5,104.5,104.3,10.0,-0.67
2021-03-29,107.0,107.0,107.0,107.0,20.0,2.59
2021-03-31,105.0,105.0,105.0,104.5,160.0,-1.87
2021-04-01,106.9,106.85,106.9,106.85,10.0,1.81
2021-04-02,107.8,105.95,107.8,105.1,290.0,0.84
2021-04-06,111.15,104.2,111.15,104.2,10.0,3.11
2021-04-07,108.0,106.75,108.0,106.75,20.0,-2.83
2021-04-08,108.45,108.45,108.45,108.45,20.0,0.42
2021-04-12,104.2,104.5,104.65,104.2,500.0,-3.92
2021-04-13,106.0,106.0,106.0,106.0,,1.73
2021-04-15,107.65,103.6,107.65,103.6,10.0,1.56
2021-04-16,103.4,103.7,104.0,103.35,680.0,-3.95
2021-04-19,107.4,107.4,107.4,107.4,10.0,3.87
2021-04-20,106.75,106.75,106.75,106.75,10.0,-0.61
2021-04-23,106.4,106.3,106.4,106.3,20.0,-0.33
2021-04-26,104.0,102.2,104.0,102.2,70.0,-2.26
2021-04-27,105.0,105.0,105.0,105.0,0.0,0.96
2021-04-28,106.8,105.0,106.8,105.0,10.0,1.71
2021-04-29,107.5,106.8,107.5,106.8,100.0,0.66
2021-05-06,106.4,103.6,106.4,103.6,30.0,-1.02
2021-05-07,105.0,105.0,105.0,105.0,50.0,-1.32
2021-05-10,105.0,105.0,105.0,105.0,20.0,0.0
2021-05-11,105.0,104.1,105.0,104.1,0.0,0.0
2021-05-12,105.0,105.0,105.0,105.0,20.0,0.0
2021-05-17,105.0,105.0,105.0,105.0,30.0,0.0
2021-05-18,105.9,105.0,105.9,104.0,100.0,0.86
2021-05-19,107.45,103.5,107.5,101.75,420.0,1.46
2021-05-20,109.0,108.0,109.95,108.0,1290.0,1.44
2021-05-21,106.1,109.0,109.0,106.1,150.0,-2.66
2021-05-25,106.5,104.5,106.5,104.5,30.0,0.38
2021-05-26,110.0,107.0,110.0,107.0,480.0,3.29
