Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,3200.0,3200.0,3200.0,3200.0,700.0,0.0
2021-01-05,3200.0,3200.0,3200.0,3200.0,10.0,0.0
2021-01-06,3180.0,3180.0,3180.0,3180.0,1400.0,-0.63
2021-01-07,3118.0,3182.0,3182.0,3118.0,210.0,-1.95
2021-01-08,3180.0,3180.0,3180.0,3180.0,60.0,1.99
2021-01-12,3180.0,3180.0,3180.0,3101.0,1280.0,0.0
2021-01-13,3180.0,3111.0,3180.0,3111.0,100.0,0.0
2021-01-14,3160.0,3180.0,3180.0,3160.0,1200.0,-0.63
2021-01-15,3150.0,3180.0,3180.0,3150.0,1490.0,-0.32
2021-01-18,3150.0,3150.0,3150.0,3150.0,750.0,0.0
2021-01-19,3150.0,3150.0,3150.0,3150.0,2950.0,0.0
2021-01-21,3130.0,3130.0,3130.0,3130.0,2720.0,-0.63
2021-01-22,3149.0,3130.0,3150.0,3130.0,3970.0,0.61
2021-01-25,3194.0,3194.0,3194.0,3194.0,0.0,1.43
2021-01-26,3150.0,3150.0,3151.0,3150.0,770.0,-1.38
2021-01-27,3150.0,3160.0,3160.0,3150.0,2530.0,0.0
2021-01-28,3197.0,3151.0,3197.0,3150.0,10.0,1.49
2021-01-29,3175.0,3197.0,3242.0,3175.0,980.0,-0.69
2021-02-01,3200.0,3181.0,3240.0,3181.0,480.0,0.79
2021-02-02,3200.0,3199.0,3200.0,3199.0,700.0,0.0
2021-02-03,3180.0,3180.0,3180.0,3180.0,10.0,-0.63
2021-02-04,3169.0,3180.0,3180.0,3169.0,2860.0,-0.35
2021-02-05,3200.0,3170.0,3200.0,3170.0,320.0,0.98
2021-02-08,3170.0,3170.0,3170.0,3170.0,5710.0,-0.94
2021-02-09,3180.0,3180.0,3180.0,3180.0,740.0,0.32
2021-02-11,3170.0,3199.0,3200.0,3170.0,130.0,-0.31
2021-02-12,3170.0,3170.0,3170.0,3170.0,200.0,0.0
