Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,165.0,164.9,165.0,164.9,1010.0,1.85
2021-01-06,159.0,160.0,160.0,159.0,60.0,-3.64
2021-01-12,165.35,165.35,165.35,165.35,80.0,3.99
2021-01-13,171.8,171.0,171.9,165.35,2720.0,3.9
2021-01-14,170.3,171.8,171.8,166.75,190.0,-0.87
2021-01-15,170.0,170.0,170.1,168.0,1210.0,-0.18
2021-01-19,169.5,168.0,169.5,167.55,150.0,-0.29
2021-01-20,168.0,168.0,168.0,168.0,0.0,-0.88
2021-01-21,168.5,167.3,172.0,167.0,500.0,0.3
2021-01-22,168.0,168.0,168.0,168.0,290.0,-0.3
2021-01-25,168.0,168.0,168.0,168.0,0.0,0.0
2021-01-26,167.0,171.95,171.95,167.0,430.0,-0.6
2021-01-27,169.7,169.7,169.7,169.7,10.0,1.62
2021-01-28,167.0,167.0,167.0,167.0,140.0,-1.59
2021-01-29,169.65,167.5,169.65,167.5,180.0,1.59
2021-02-01,169.65,169.65,169.65,169.65,10.0,0.0
2021-02-02,171.5,169.65,171.5,169.65,50.0,1.09
2021-02-03,172.0,170.0,172.0,170.0,1450.0,0.29
2021-02-04,178.0,172.0,178.85,172.0,10480.0,3.49
2021-02-08,175.0,178.0,178.0,175.0,20.0,-1.69
2021-02-09,175.0,175.0,175.0,175.0,0.0,0.0
2021-02-10,170.0,172.0,172.0,170.0,130.0,-2.86
2021-02-11,174.95,169.0,174.95,169.0,10.0,2.91
2021-02-12,170.0,170.0,170.0,170.0,10.0,-2.83
2021-02-17,174.95,174.9,174.95,174.9,30.0,2.91
2021-02-19,171.0,171.0,174.85,171.0,120.0,-2.26
2021-02-22,167.7,171.0,171.0,167.15,150.0,-1.93
2021-02-23,171.0,170.5,171.0,170.5,140.0,1.97
2021-02-24,167.0,173.8,173.8,167.0,240.0,-2.34
2021-02-25,167.0,167.0,167.0,167.0,600.0,0.0
2021-02-26,167.0,167.1,167.1,167.0,40.0,0.0
2021-03-01,167.0,167.05,167.05,167.0,50.0,0.0
2021-03-04,165.0,165.05,165.05,165.0,100.0,-1.2
2021-03-05,171.55,171.55,171.55,171.55,0.0,3.97
2021-03-11,168.0,168.0,168.0,168.0,30.0,-2.07
2021-03-12,171.55,171.55,171.55,171.5,730.0,2.11
2021-03-15,171.0,171.0,171.0,171.0,100.0,-0.32
2021-03-17,170.0,170.0,170.0,170.0,110.0,-0.58
2021-03-22,168.05,168.05,168.05,168.05,10.0,-1.15
2021-03-23,168.05,168.05,168.05,168.05,30.0,0.0
2021-03-24,171.0,172.0,172.0,168.0,150.0,1.76
2021-03-25,170.0,170.0,170.0,170.0,500.0,-0.58
2021-03-26,170.0,170.0,170.0,170.0,100.0,0.0
2021-03-29,172.5,172.5,172.5,172.5,0.0,1.47
2021-03-30,170.0,170.0,170.0,170.0,10.0,-1.45
2021-03-31,172.0,172.0,172.0,172.0,640.0,1.18
2021-04-01,170.0,173.5,174.0,170.0,220.0,-1.16
2021-04-02,174.0,171.0,174.0,171.0,50.0,2.35
2021-04-05,172.0,172.0,172.0,172.0,340.0,-1.15
2021-04-06,172.0,172.0,172.0,172.0,40.0,0.0
2021-04-07,174.0,174.0,174.0,174.0,0.0,1.16
2021-04-08,171.1,172.0,172.0,171.1,180.0,-1.67
2021-04-09,172.2,174.0,174.0,172.2,10.0,0.64
2021-04-12,171.5,172.2,172.2,171.5,250.0,-0.41
2021-04-13,172.0,172.1,172.1,172.0,160.0,0.29
2021-04-14,172.3,172.3,172.3,172.3,200.0,0.17
2021-04-15,172.5,172.5,172.5,172.5,220.0,0.12
2021-04-16,176.5,171.5,177.0,171.5,23550.0,2.32
2021-04-19,176.0,174.05,176.0,174.05,3550.0,-0.28
2021-04-20,176.1,176.1,176.1,176.1,360.0,0.06
2021-04-21,177.8,176.15,177.8,176.15,5060.0,0.97
2021-04-22,179.5,177.0,179.5,177.0,10.0,0.96
2021-04-23,177.15,177.15,177.15,177.15,240.0,-1.31
2021-04-26,177.15,177.15,177.15,177.15,0.0,0.0
2021-04-27,179.8,179.5,179.8,179.5,150.0,1.5
