Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,685.0,679.9,685.0,679.9,160.0,0.74
2021-01-06,693.0,685.0,693.0,685.0,10.0,1.17
2021-01-07,701.0,690.0,709.0,690.0,1470.0,1.15
2021-01-08,729.0,709.0,729.0,709.0,190.0,3.99
2021-01-12,758.0,745.1,758.0,745.1,40.0,3.98
2021-01-13,788.0,760.0,788.0,760.0,260.0,3.96
2021-01-14,819.5,819.5,819.5,819.0,30.0,4.0
2021-01-15,834.0,822.0,840.0,822.0,50.0,1.77
2021-01-18,849.0,835.0,849.0,835.0,20.0,1.8
2021-01-19,843.0,859.0,860.0,843.0,120.0,-0.71
2021-01-21,811.3,843.0,843.0,811.1,40.0,-3.76
2021-01-22,836.6,812.0,836.6,812.0,1900.0,3.12
2021-01-26,870.0,843.0,870.0,843.0,80.0,3.99
2021-01-27,875.0,875.0,875.0,875.0,430.0,0.57
2021-01-28,875.0,892.0,892.0,875.0,10.0,0.0
2021-02-01,909.9,892.0,909.9,892.0,360.0,3.99
2021-02-02,901.0,919.0,919.0,901.0,10.0,-0.98
2021-02-03,910.0,917.0,936.0,910.0,110.0,1.0
2021-02-04,900.0,910.5,910.5,900.0,0.0,-1.1
2021-02-05,893.1,900.0,900.0,893.1,0.0,-0.77
2021-02-08,892.1,928.0,928.0,892.1,10.0,-0.11
2021-02-10,905.0,875.0,905.0,875.0,30.0,1.45
2021-02-11,941.0,941.0,941.0,905.1,150.0,3.98
2021-02-15,920.0,911.0,920.0,911.0,10.0,-2.23
2021-02-16,950.0,950.0,950.0,950.0,20.0,3.26
2021-02-17,950.0,950.0,950.0,950.0,0.0,0.0
2021-02-18,925.5,938.0,938.0,925.5,30.0,-2.58
2021-02-19,940.0,945.0,945.0,940.0,0.0,1.57
2021-02-22,905.0,915.1,915.1,905.0,50.0,-3.72
2021-02-23,905.0,905.0,905.0,905.0,10.0,0.0
2021-02-24,905.0,887.0,905.0,887.0,20.0,0.0
2021-02-25,871.6,868.9,873.0,868.9,250.0,-3.69
2021-02-26,888.8,888.8,888.8,888.8,10.0,1.97
2021-03-01,870.2,870.0,870.2,870.0,20.0,-2.09
2021-03-02,882.0,898.0,898.0,882.0,80.0,1.36
2021-03-04,871.0,882.0,882.0,871.0,470.0,-1.25
2021-03-05,905.0,905.0,905.0,905.0,50.0,3.9
2021-03-08,905.0,905.0,905.0,905.0,40.0,0.0
2021-03-09,940.0,928.0,940.0,928.0,1310.0,3.87
2021-03-10,922.0,922.0,922.0,922.0,20.0,-1.91
2021-03-11,904.0,905.0,905.0,904.0,20.0,-1.95
2021-03-12,940.0,904.0,940.0,904.0,80.0,3.98
2021-03-16,956.0,955.0,956.0,955.0,20.0,1.7
2021-03-17,956.0,937.0,956.0,937.0,10.0,0.0
2021-03-22,918.0,939.0,939.0,918.0,50.0,-3.97
2021-03-23,881.3,900.0,900.0,881.3,470.0,-4.0
2021-03-24,876.5,878.0,878.0,876.5,10.0,-0.54
2021-03-30,890.0,894.0,894.0,890.0,0.0,1.54
2021-03-31,899.0,899.0,899.0,899.0,0.0,1.01
2021-04-01,864.2,863.1,865.0,863.1,10.0,-3.87
2021-04-13,872.0,840.0,872.0,840.0,10.0,0.9
2021-04-15,914.0,914.0,914.0,914.0,0.0,4.82
2021-04-16,920.0,900.0,920.0,900.0,110.0,0.66
2021-04-23,935.0,935.0,935.0,935.0,0.0,1.63
2021-04-26,919.3,937.0,938.0,919.3,30.0,-1.68
2021-04-27,920.0,883.0,920.0,883.0,10.0,0.08
2021-04-29,923.0,923.0,923.0,923.0,0.0,0.33
2021-04-30,887.0,887.0,887.0,887.0,0.0,-3.9
2021-05-03,919.9,919.9,919.9,919.9,0.0,3.71
2021-05-05,918.0,918.0,918.0,918.0,100.0,-0.21
2021-05-10,920.0,905.0,920.0,905.0,20.0,0.22
2021-05-11,920.0,920.0,920.0,919.0,460.0,0.0
2021-05-12,929.0,920.0,929.0,920.0,290.0,0.98
2021-05-17,928.9,891.9,928.9,891.9,0.0,-0.01
2021-05-19,930.0,920.0,930.0,920.0,390.0,0.12
2021-05-21,941.0,920.0,949.0,920.0,580.0,1.18
2021-05-24,940.0,920.0,940.0,903.4,110.0,-0.11
2021-05-25,923.0,950.0,950.0,905.0,60.0,-1.81
2021-05-27,940.0,940.0,940.0,940.0,0.0,1.84
2021-05-28,940.0,938.0,940.0,938.0,870.0,0.0
2021-05-31,905.0,905.0,905.0,905.0,40.0,-3.72
2021-06-01,940.0,940.0,940.0,940.0,0.0,3.87
2021-06-02,977.0,977.5,977.5,977.0,570.0,3.94
2021-06-03,961.0,977.0,980.0,961.0,140.0,-1.64
2021-06-04,941.8,990.0,990.0,941.8,60.0,-2.0
2021-06-07,923.0,924.1,924.1,923.0,90.0,-2.0
2021-06-08,905.0,907.3,907.3,905.0,20.0,-1.95
2021-06-09,905.0,939.7,939.7,905.0,50.0,0.0
2021-06-10,868.9,920.0,920.0,868.9,250.0,-3.99
2021-06-11,860.0,902.9,903.0,860.0,1020.0,-1.02
2021-06-14,843.0,893.0,893.0,843.0,20.0,-1.98
2021-06-15,875.0,876.0,876.0,859.0,1950.0,3.8
2021-06-16,875.0,874.5,909.9,874.5,690.0,0.0
2021-06-17,900.0,900.0,900.0,900.0,310.0,2.86
2021-06-18,929.9,930.0,930.0,929.9,0.0,3.32
2021-06-22,911.5,911.5,911.5,911.5,250.0,-1.98
2021-06-23,875.2,875.2,875.2,875.2,20.0,-3.98
2021-06-24,870.0,875.3,875.4,840.2,150.0,-0.59
2021-06-25,840.0,840.0,840.0,840.0,20.0,-3.45
2021-06-28,840.0,840.0,840.0,840.0,0.0,0.0
2021-06-29,840.0,850.0,850.0,840.0,10.0,0.0
2021-06-30,840.0,841.0,841.0,840.0,40.0,0.0
2021-07-01,835.0,835.0,835.0,835.0,10.0,-0.6
2021-07-02,830.0,830.0,830.0,830.0,20.0,-0.6
2021-07-05,840.0,835.0,840.0,835.0,60.0,1.2
2021-07-07,850.0,850.0,850.0,850.0,30.0,1.19
2021-07-12,883.0,883.0,883.0,883.0,100.0,3.88
2021-07-13,894.0,883.0,894.0,883.0,220.0,1.25
2021-07-14,858.3,858.3,858.3,858.3,0.0,-3.99
2021-07-15,824.0,824.0,824.0,824.0,10.0,-4.0
2021-07-19,823.0,823.0,823.0,823.0,0.0,-0.12
2021-08-02,819.0,810.0,819.0,810.0,130.0,-0.49
2021-08-03,788.0,788.0,788.0,788.0,30.0,-3.79
2021-08-04,756.5,788.0,788.0,756.5,160.0,-4.0
2021-08-05,727.0,727.5,727.5,727.0,110.0,-3.9
2021-08-06,698.0,730.0,730.0,698.0,620.0,-3.99
2021-08-09,670.1,697.0,697.0,670.1,250.0,-4.0
2021-08-11,643.3,670.0,670.0,643.3,320.0,-4.0
2021-08-12,621.0,617.7,643.0,617.7,2300.0,-3.47
2021-08-13,645.7,645.7,645.7,645.7,0.0,3.98
2021-08-16,671.5,660.0,671.5,660.0,30.0,4.0
2021-08-17,698.3,698.3,698.3,698.3,30.0,3.99
2021-08-18,726.2,726.2,726.2,726.2,180.0,4.0
2021-08-19,755.0,750.0,755.2,732.0,550.0,3.97
2021-08-23,756.0,756.0,756.0,756.0,10.0,0.13
2021-08-24,785.0,785.0,786.0,785.0,150.0,3.84
2021-08-25,800.0,800.0,800.0,790.0,130.0,1.91
2021-08-26,815.0,800.0,815.0,800.0,420.0,1.88
2021-08-27,816.9,800.0,816.9,782.5,2310.0,0.23
2021-08-31,800.6,800.6,800.6,800.6,0.0,-2.0
2021-09-01,830.0,830.0,830.0,830.0,570.0,3.67
2021-09-13,800.0,800.0,800.0,800.0,10.0,-3.61
2021-09-16,790.0,798.0,798.0,790.0,10.0,-1.25
2021-09-17,790.0,790.0,790.0,790.0,10.0,0.0
2021-09-21,790.0,790.0,790.0,790.0,0.0,0.0
2021-09-22,792.0,792.0,792.0,792.0,10.0,0.25
2021-09-24,790.0,792.0,792.0,790.0,340.0,-0.25
2021-09-28,790.1,790.1,790.1,790.1,10.0,0.01
2021-09-30,758.6,758.5,758.6,758.5,150.0,-3.99
2021-10-01,760.0,760.0,760.0,760.0,390.0,0.18
2021-10-05,729.7,729.7,729.7,729.7,60.0,-3.99
2021-10-08,725.0,725.0,725.0,725.0,0.0,-0.64
2021-10-12,725.1,725.1,725.1,725.1,0.0,0.01
2021-10-13,768.6,750.0,768.6,741.1,1010.0,6.0
2021-10-14,780.0,780.0,780.0,780.0,10.0,1.48
2021-10-15,826.6,826.6,826.6,826.6,50.0,5.97
2021-10-18,830.0,830.0,830.0,830.0,150.0,0.41
2021-10-21,850.0,830.0,850.0,830.0,280.0,2.41
2021-10-26,850.0,850.0,850.0,850.0,1170.0,0.0
2021-10-27,800.0,799.1,800.1,799.1,10.0,-5.88
2021-10-28,847.9,845.8,847.9,845.8,120.0,5.99
2021-11-03,804.0,804.0,804.0,804.0,0.0,-5.18
2021-11-04,850.0,807.0,850.0,807.0,50.0,5.72
2021-11-11,850.0,845.0,850.0,845.0,20.0,0.0
2021-11-15,808.1,808.1,808.1,808.1,0.0,-4.93
2021-11-23,810.5,809.0,810.5,809.0,10.0,0.3
2021-12-07,765.0,766.0,767.0,765.0,20.0,-5.61
2021-12-08,750.0,750.0,750.0,750.0,20.0,-1.96
2021-12-10,715.0,715.0,715.0,715.0,10.0,-4.67
2021-12-13,695.0,715.0,715.0,695.0,40.0,-2.8
2021-12-14,672.1,672.5,672.5,672.1,10.0,-3.29
2021-12-15,672.1,672.1,672.1,672.1,0.0,0.0
2021-12-17,712.4,699.9,712.4,699.9,100.0,6.0
2021-12-20,712.3,712.3,712.3,712.3,0.0,-0.01
2021-12-22,675.0,699.0,699.0,675.0,130.0,-5.24
2021-12-23,655.0,676.5,676.5,655.0,150.0,-2.96
2021-12-28,653.0,654.0,654.0,653.0,120.0,-0.31
2021-12-30,653.0,654.0,654.0,653.0,5730.0,0.0
2021-12-31,653.0,652.5,653.0,652.5,20.0,0.0
2022-01-03,650.0,653.0,653.0,650.0,50.0,-0.46
2022-01-05,639.0,639.0,639.0,639.0,0.0,-1.69
2022-01-10,634.2,634.2,634.2,634.2,0.0,-0.75
2022-01-12,660.0,672.2,672.2,637.0,1730.0,4.07
2022-01-13,685.0,659.0,685.0,659.0,100.0,3.79
2022-01-14,726.0,700.0,726.0,700.0,40.0,5.99
2022-01-17,755.0,755.0,755.0,755.0,0.0,3.99
2022-01-18,760.0,760.0,760.0,760.0,120.0,0.66
2022-01-20,790.0,790.0,790.0,790.0,130.0,3.95
2022-01-21,820.0,820.0,820.0,820.0,50.0,3.8
2022-01-24,820.0,820.0,820.0,820.0,0.0,0.0
2022-01-26,820.0,820.0,820.0,820.0,500.0,0.0
2022-01-27,820.0,820.0,820.0,820.0,490.0,0.0
2022-01-28,820.0,820.0,820.0,820.0,500.0,0.0
2022-01-31,820.0,820.0,820.0,820.0,1390.0,0.0
2022-02-01,825.0,825.0,825.0,825.0,0.0,0.61
2022-02-02,820.0,820.0,820.0,820.0,2490.0,-0.61
2022-02-03,820.0,820.0,820.0,820.0,30.0,0.0
2022-02-04,837.0,837.0,837.0,837.0,40.0,2.07
2022-02-07,836.0,836.0,836.0,836.0,30.0,-0.12
2022-02-09,804.5,804.5,804.5,804.5,400.0,-3.77
2022-02-10,816.5,816.5,816.5,816.5,200.0,1.49
2022-02-11,802.0,802.0,802.0,802.0,20.0,-1.78
2022-02-22,790.0,790.0,790.0,790.0,20.0,-1.5
2022-02-23,800.0,800.0,800.0,800.0,290.0,1.27
2022-02-24,800.0,800.0,800.0,800.0,10.0,0.0
2022-03-04,800.0,800.0,800.0,800.0,30.0,0.0
2022-03-09,795.0,795.0,795.0,795.0,50.0,-0.63
2022-03-15,763.3,763.3,763.3,763.3,0.0,-3.99
2022-03-18,750.0,750.0,750.0,750.0,20.0,-1.74
2022-03-23,745.0,745.0,745.0,745.0,0.0,-0.67
2022-03-29,715.3,715.3,715.3,715.3,0.0,-3.99
2022-04-05,743.9,743.9,743.9,743.9,0.0,4.0
2022-04-06,773.6,773.6,773.6,773.6,10.0,3.99
2022-04-07,804.5,804.5,804.5,804.5,30.0,3.99
2022-04-08,836.6,836.6,836.6,836.6,180.0,3.99
2022-04-11,836.6,836.6,836.6,836.6,60.0,0.0
2022-04-12,850.0,850.0,850.0,850.0,10.0,1.6
2022-04-13,845.0,845.0,845.0,845.0,10.0,-0.59
2022-04-15,845.0,845.0,845.0,845.0,0.0,0.0
2022-04-18,845.0,845.0,845.0,845.0,500.0,0.0
2022-04-20,811.3,811.3,811.3,811.3,40.0,-3.99
2022-04-21,811.3,811.3,811.3,811.3,10.0,0.0
2022-04-25,840.0,840.0,840.0,840.0,20.0,3.54
2022-04-28,840.0,840.0,840.0,840.0,20.0,0.0
2022-04-29,840.0,840.0,840.0,840.0,0.0,0.0
2022-05-10,840.0,840.0,840.0,840.0,610.0,0.0
2022-05-17,850.0,850.0,850.0,850.0,0.0,1.19
2022-05-20,870.0,870.0,870.0,870.0,50.0,2.35
2022-05-26,865.0,865.0,865.0,865.0,0.0,-0.57
2022-06-01,860.0,860.0,860.0,860.0,0.0,-0.58
2022-06-15,850.0,850.0,850.0,850.0,0.0,-1.16
2022-06-22,845.0,845.0,845.0,845.0,10.0,-0.59
2022-07-07,811.3,811.3,811.3,811.3,0.0,-3.99
2022-07-15,778.9,778.9,778.9,778.9,0.0,-3.99
2022-07-25,747.8,747.8,747.8,747.8,0.0,-3.99
2022-07-26,717.9,717.9,717.9,717.9,0.0,-4.0
2022-07-29,700.0,700.0,700.0,700.0,30.0,-2.49
2022-08-01,672.2,672.2,672.2,672.2,0.0,-3.97
2022-08-03,699.0,699.0,699.0,699.0,90.0,3.99
2022-08-08,726.9,726.9,726.9,726.9,0.0,3.99
2022-08-10,755.9,755.9,755.9,755.9,30.0,3.99
2022-08-11,786.0,786.0,786.0,786.0,540.0,3.98
2022-08-12,790.0,790.0,790.0,790.0,120.0,0.51
2022-08-24,810.0,810.0,810.0,810.0,30.0,2.53
2022-09-01,810.0,810.0,810.0,810.0,60.0,0.0
2022-09-06,812.0,812.0,812.0,812.0,70.0,0.25
