Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-26,873.0,873.0,873.0,873.0,20.0,0.0
2021-01-27,873.0,873.0,873.0,873.0,3760.0,0.0
2021-02-03,874.0,874.0,874.0,874.0,500.0,0.11
2021-02-04,874.0,874.0,874.0,874.0,50.0,0.0
2021-02-05,874.0,874.0,874.0,874.0,0.0,0.0
2021-02-08,856.6,856.6,856.6,856.6,360.0,-1.99
2021-02-23,856.0,856.0,856.0,856.0,20.0,-0.07
2021-03-03,873.0,873.0,873.0,873.0,10.0,1.99
2021-03-05,873.0,873.0,873.0,873.0,0.0,0.0
2021-03-12,889.0,889.0,889.0,889.0,190.0,1.83
2021-06-04,888.0,888.0,888.0,888.0,500.0,-0.11
2021-06-11,871.0,871.0,871.0,871.0,70.0,-1.91
2021-06-14,860.0,860.0,860.0,860.0,35750.0,-1.26
2021-06-15,854.0,854.0,854.0,854.0,1150.0,-0.7
2021-06-16,850.0,850.0,850.0,850.0,20.0,-0.47
2021-06-17,850.0,850.0,850.0,850.0,10.0,0.0
2021-06-21,833.1,833.1,833.1,833.1,0.0,-1.99
2021-06-22,820.0,820.0,820.0,820.0,50.0,-1.57
2021-06-24,804.0,804.0,804.0,804.0,0.0,-1.95
2021-06-30,820.0,820.0,820.0,820.0,10.0,1.99
2021-07-06,805.7,805.7,805.7,805.7,70.0,-1.74
2021-07-14,804.0,804.0,804.0,804.0,10.0,-0.21
2021-07-16,804.0,804.0,804.0,804.0,10.0,0.0
2021-07-26,800.0,800.0,800.0,800.0,0.0,-0.5
2021-07-27,792.0,792.0,792.0,792.0,10.0,-1.0
2021-07-29,790.0,790.0,790.0,790.0,30.0,-0.25
2021-08-06,790.0,790.0,790.0,790.0,0.0,0.0
2021-08-09,790.0,790.0,790.0,790.0,20.0,0.0
2021-08-13,780.0,780.0,780.0,780.0,50.0,-1.27
2021-08-17,780.0,780.0,780.0,780.0,10.0,0.0
2021-08-19,770.0,770.0,770.0,770.0,190.0,-1.28
2021-08-23,770.0,770.0,770.0,770.0,60.0,0.0
2021-08-26,770.0,770.0,770.0,770.0,10.0,0.0
2021-08-27,755.0,755.0,755.0,755.0,90.0,-1.95
2021-08-31,762.0,762.0,762.0,762.0,10.0,0.93
2021-09-02,765.0,765.0,765.0,765.0,0.0,0.39
2021-09-03,756.0,756.0,756.0,756.0,200.0,-1.18
