Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,14.16,14.16,14.16,14.16,0.0,3.81
2021-01-05,14.45,13.62,14.45,13.62,50.0,2.05
2021-01-06,14.61,14.61,14.61,14.61,10.0,1.11
2021-01-07,14.6,14.59,14.6,14.59,340.0,-0.07
2021-01-08,14.1,14.02,14.1,14.02,1350.0,-3.42
2021-01-12,14.02,14.02,14.02,14.02,200.0,-0.57
2021-01-13,13.73,13.73,13.73,13.73,20.0,-2.07
2021-01-14,13.7,13.71,13.97,13.7,1090.0,-0.22
2021-01-15,14.17,13.75,14.17,13.52,150.0,3.43
2021-01-18,13.89,13.89,13.89,13.89,50.0,-1.98
2021-01-19,13.8,13.89,13.89,13.71,1380.0,-0.65
2021-01-20,13.75,13.89,13.9,13.75,580.0,-0.36
2021-01-21,13.53,13.76,13.76,13.53,2660.0,-1.6
2021-01-22,14.05,13.6,14.05,13.55,2050.0,3.84
2021-01-25,13.74,13.68,13.76,13.68,150.0,-2.21
2021-01-26,13.8,13.78,13.83,13.78,1920.0,0.44
2021-01-27,14.15,14.22,14.22,14.15,2400.0,2.54
2021-01-28,14.18,13.82,14.18,13.82,500.0,0.21
2021-01-29,13.88,14.0,14.17,13.62,4400.0,-2.12
2021-02-01,13.98,13.98,13.98,13.98,70.0,0.72
2021-02-02,13.6,13.64,13.65,13.6,990.0,-2.72
2021-02-03,13.99,13.87,14.0,13.87,530.0,2.87
2021-02-04,13.99,13.99,13.99,13.74,210.0,0.0
2021-02-05,13.96,13.96,13.96,13.71,80.0,-0.21
2021-02-08,13.62,13.97,13.97,13.62,150.0,-2.44
2021-02-09,13.52,13.94,13.94,13.52,250.0,-0.73
2021-02-10,13.5,13.5,13.5,13.5,140.0,-0.15
2021-02-11,13.7,13.7,13.7,13.7,60.0,1.48
2021-02-12,13.7,13.88,13.88,13.7,350.0,0.0
2021-02-15,13.7,13.7,13.7,13.7,10.0,0.0
2021-02-16,13.67,13.67,13.67,13.67,110.0,-0.22
2021-02-17,13.7,13.7,13.7,13.7,90.0,0.22
2021-02-18,13.5,13.62,13.62,13.5,590.0,-1.46
2021-02-19,13.69,13.5,13.69,13.3,50.0,1.41
2021-02-22,13.68,13.69,13.69,13.68,100.0,-0.07
2021-02-23,13.79,13.5,13.79,13.5,440.0,0.8
2021-02-24,13.4,13.4,13.4,13.4,1100.0,-2.83
2021-02-25,13.16,13.16,13.16,13.16,180.0,-1.79
2021-02-26,13.0,13.17,13.17,13.0,500.0,-1.22
2021-03-02,13.01,13.4,13.4,13.0,270.0,0.08
2021-03-04,13.53,13.53,13.53,13.53,80.0,4.0
2021-03-05,13.1,13.1,13.1,13.1,900.0,-3.18
2021-03-08,13.52,13.06,13.52,13.0,3990.0,3.21
2021-03-09,13.75,13.25,13.75,13.25,2250.0,1.7
2021-03-10,13.32,13.74,13.74,13.32,400.0,-3.13
2021-03-11,13.08,13.5,13.5,13.08,180.0,-1.8
2021-03-12,13.6,13.5,13.6,13.5,3750.0,3.98
2021-03-15,13.75,13.75,13.75,13.75,110.0,1.1
2021-03-16,14.1,14.01,14.1,14.01,10.0,2.55
2021-03-17,13.99,13.99,13.99,13.99,0.0,-0.78
2021-03-18,13.44,13.75,13.75,13.44,70.0,-3.93
2021-03-19,13.31,13.4,13.4,13.05,650.0,-0.97
2021-03-22,13.4,13.4,13.4,13.4,0.0,0.68
2021-03-23,13.66,13.41,13.66,13.41,440.0,1.94
2021-03-26,13.26,13.26,13.26,13.26,200.0,-2.93
2021-03-29,13.5,13.47,13.73,13.47,380.0,1.81
2021-03-30,13.4,13.45,13.6,13.4,540.0,-0.74
2021-04-02,13.7,13.7,13.7,13.7,20.0,2.24
2021-04-06,13.16,13.5,13.5,13.16,390.0,-3.94
2021-04-07,12.64,12.64,12.64,12.64,4890.0,-3.95
2021-04-08,12.98,12.16,13.09,12.16,990.0,2.69
2021-04-09,13.39,13.43,13.43,13.39,0.0,3.16
2021-04-13,12.91,12.91,12.91,12.91,130.0,-3.58
2021-04-14,13.1,12.9,13.1,12.9,90.0,1.47
2021-04-19,13.0,12.99,13.0,12.99,310.0,-0.76
2021-04-20,13.23,13.0,13.23,12.8,1600.0,1.77
2021-04-23,13.0,13.0,13.34,13.0,530.0,-1.74
2021-04-26,13.2,13.2,13.2,13.0,870.0,1.54
2021-04-27,12.71,12.81,12.81,12.71,110.0,-3.71
2021-04-28,13.1,12.81,13.1,12.22,1370.0,3.07
2021-04-29,13.09,12.75,13.09,12.75,500.0,-0.08
2021-04-30,13.11,12.6,13.11,12.6,300.0,0.15
2021-05-03,13.29,12.62,13.29,12.62,240.0,1.37
2021-05-05,13.0,13.0,13.0,13.0,600.0,-2.18
2021-05-06,13.0,13.0,13.0,13.0,660.0,0.0
2021-05-07,13.0,13.18,13.2,13.0,1360.0,0.0
2021-05-10,13.4,13.4,13.4,13.4,2250.0,3.08
2021-05-11,13.4,13.4,13.4,13.4,420.0,0.0
2021-05-12,13.4,13.4,13.49,13.4,940.0,0.0
2021-05-17,13.14,13.14,13.14,13.14,740.0,-1.94
2021-05-18,13.0,13.05,13.2,13.0,190.0,-1.07
2021-05-19,13.0,13.05,13.05,13.0,80.0,0.0
2021-05-20,13.0,13.0,13.25,13.0,1160.0,0.0
2021-05-21,13.0,13.02,13.02,13.0,1890.0,0.0
2021-05-24,12.99,12.99,12.99,12.99,800.0,-0.08
2021-05-25,13.0,13.0,13.0,13.0,120.0,0.08
2021-05-26,13.0,13.0,13.0,13.0,440.0,0.0
2021-05-27,13.0,13.0,13.0,13.0,540.0,0.0
2021-05-28,13.0,13.0,13.0,13.0,100.0,0.0
2021-05-31,12.81,12.81,12.81,12.81,50.0,-1.46
2021-06-01,13.0,12.99,13.25,12.99,1380.0,1.48
2021-06-02,13.0,13.0,13.0,13.0,50.0,0.0
2021-06-03,13.23,13.0,13.23,13.0,1620.0,1.77
2021-06-04,13.0,13.23,13.23,12.75,6890.0,-1.74
2021-06-07,13.25,13.2,13.25,13.2,4930.0,1.92
2021-06-08,13.3,12.8,13.3,12.8,2920.0,0.38
2021-06-09,13.8,13.3,13.83,13.3,3630.0,3.76
2021-06-10,14.1,13.81,14.15,13.8,2660.0,2.17
2021-06-11,14.66,14.1,14.66,13.88,4990.0,3.97
2021-06-14,15.24,14.9,15.24,14.9,5200.0,3.96
2021-06-15,15.84,15.84,15.84,15.84,620.0,3.94
2021-06-16,15.21,16.47,16.47,15.21,5840.0,-3.98
2021-06-17,15.38,15.7,15.7,14.62,2190.0,1.12
2021-06-18,15.0,15.1,15.2,15.0,3320.0,-2.47
2021-06-21,15.59,15.0,15.59,15.0,8750.0,3.93
2021-06-22,15.77,15.01,15.98,15.0,4860.0,1.15
2021-06-23,16.2,15.4,16.2,15.4,7190.0,2.73
2021-06-24,16.33,16.4,16.4,16.0,3160.0,0.8
2021-06-25,16.4,16.33,16.5,16.0,2020.0,0.43
2021-06-29,16.0,16.3,16.3,15.75,400.0,-2.44
2021-06-30,15.61,15.61,15.61,15.61,110.0,-2.44
2021-07-01,15.6,15.6,15.6,15.6,10.0,-0.06
2021-07-05,14.98,15.6,15.6,14.98,10.0,-3.97
2021-07-06,14.39,14.39,14.39,14.39,90.0,-3.94
2021-07-07,14.96,14.39,14.96,14.39,3140.0,3.96
2021-07-08,15.55,15.55,15.55,15.55,1100.0,3.94
2021-07-09,15.87,15.95,16.0,15.87,900.0,2.06
2021-07-12,15.89,15.25,15.89,15.25,2880.0,0.13
2021-07-14,15.26,15.26,15.26,15.26,170.0,-3.96
2021-07-15,15.59,15.19,15.59,15.19,2050.0,2.16
2021-07-16,15.5,15.5,15.5,15.5,0.0,-0.58
2021-07-19,15.49,15.49,15.49,15.49,300.0,-0.06
2021-07-20,15.35,15.2,15.35,15.06,1560.0,-0.9
2021-07-23,15.0,15.49,15.49,15.0,1280.0,-2.28
2021-07-26,14.8,15.0,15.0,14.8,160.0,-1.33
2021-07-28,14.31,14.3,14.34,14.3,1440.0,-3.31
2021-07-29,14.21,14.55,14.55,14.21,1970.0,-0.7
2021-08-02,14.75,13.65,14.75,13.65,10380.0,3.8
2021-08-03,14.98,14.99,14.99,14.95,760.0,1.56
2021-08-04,14.7,14.99,14.99,14.7,230.0,-1.87
2021-08-05,14.9,14.7,15.27,14.7,4220.0,1.36
2021-08-06,14.7,14.35,14.7,14.35,130.0,-1.34
2021-08-09,14.7,14.7,14.7,14.7,90.0,0.0
2021-08-11,15.25,14.9,15.25,14.8,1020.0,3.74
2021-08-13,14.9,14.9,14.9,14.9,430.0,-2.3
2021-08-16,15.2,14.31,15.2,14.31,1310.0,2.01
2021-08-17,14.6,14.6,14.6,14.6,1000.0,-3.95
2021-08-19,14.99,14.54,14.99,14.5,830.0,2.67
2021-08-23,14.99,14.99,14.99,14.99,50.0,0.0
2021-08-25,14.8,14.7,14.8,14.4,27400.0,-1.27
2021-08-26,15.39,15.09,15.39,15.09,4010.0,3.99
2021-08-27,16.0,16.0,16.0,15.46,9650.0,3.96
2021-08-30,16.63,16.63,16.63,16.63,8880.0,3.94
2021-08-31,17.29,17.29,17.29,17.29,10130.0,3.97
2021-09-01,17.98,17.98,17.98,17.98,14280.0,3.99
2021-09-02,18.68,17.27,18.69,17.27,23040.0,3.89
2021-09-03,19.42,18.8,19.42,18.8,9000.0,3.96
2021-09-06,20.19,19.99,20.19,19.99,9360.0,3.96
2021-09-07,20.99,20.99,20.99,20.99,1010.0,3.96
2021-09-08,21.82,21.82,21.82,21.82,2330.0,3.95
2021-09-09,22.69,22.69,22.69,22.69,43840.0,3.99
2021-09-10,23.59,23.46,23.59,22.8,8170.0,3.97
2021-09-13,24.53,24.53,24.53,24.53,8580.0,3.98
