Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-29,433.9,433.9,433.9,433.9,10660.0,0.0
2021-03-15,425.25,425.25,425.25,425.25,20.0,-1.99
2021-03-18,433.75,433.75,433.75,433.75,20.0,2.0
2021-03-24,440.0,440.0,440.0,440.0,90.0,1.44
2021-04-28,440.0,440.0,440.0,440.0,0.0,0.0
2021-06-01,431.25,431.25,431.25,431.25,10.0,-1.99
2021-06-17,423.0,423.0,423.0,423.0,20.0,-1.91
2021-06-18,415.0,415.0,415.0,415.0,30.0,-1.89
2021-06-21,414.0,414.0,414.0,414.0,40.0,-0.24
2021-06-22,405.75,405.75,405.75,405.75,40.0,-1.99
2021-06-24,398.1,398.1,398.1,398.1,10.0,-1.89
2021-06-25,390.2,390.2,390.2,390.2,20.0,-1.98
2021-07-01,382.4,382.4,382.4,382.4,20.0,-2.0
2021-07-05,374.8,374.8,374.8,374.8,180.0,-1.99
2021-07-07,367.35,367.35,367.35,367.35,0.0,-1.99
2021-07-09,374.0,374.0,374.0,374.0,110.0,1.81
2021-07-12,374.0,374.0,374.0,374.0,40.0,0.0
2021-07-19,375.0,375.0,375.0,375.0,10.0,0.27
2021-07-26,375.0,375.0,375.0,375.0,10.0,0.0
2021-08-19,380.0,380.0,380.0,380.0,20.0,1.33
2021-08-23,380.0,380.0,380.0,380.0,110.0,0.0
2021-08-24,387.55,387.55,387.55,387.55,10.0,1.99
2021-08-25,395.3,395.3,395.3,395.3,10.0,2.0
2021-08-26,398.0,398.0,398.0,398.0,20.0,0.68
2021-09-09,400.0,400.0,400.0,400.0,10.0,0.5
2021-10-12,376.0,376.0,376.0,376.0,100.0,-6.0
2021-10-25,366.0,366.0,366.0,366.0,0.0,-2.66
2021-10-28,380.0,380.0,380.0,380.0,20.0,3.83
2021-11-05,380.0,380.0,380.0,380.0,10.0,0.0
2021-11-19,390.0,390.0,390.0,390.0,10.0,2.63
2021-12-02,400.0,400.0,400.0,400.0,10.0,2.56
2022-01-17,385.0,385.0,385.0,385.0,20.0,-3.75
2022-01-18,390.0,390.0,390.0,390.0,10.0,1.3
2022-01-20,376.0,376.0,376.0,376.0,150.0,-3.59
2022-01-21,378.1,378.1,378.1,378.1,30.0,0.56
2022-02-08,389.1,389.1,389.1,389.1,10.0,2.91
2022-02-18,389.1,389.1,389.1,389.1,10.0,0.0
2022-02-21,374.15,374.15,374.15,374.15,0.0,-3.84
2022-02-22,388.9,388.9,388.9,388.9,0.0,3.94
2022-03-02,400.0,400.0,400.0,400.0,0.0,2.85
2022-03-15,385.0,385.0,385.0,385.0,10.0,-3.75
2022-03-16,385.0,385.0,385.0,385.0,20.0,0.0
2022-03-17,385.0,385.0,385.0,385.0,70.0,0.0
2022-03-18,385.1,385.1,385.1,385.1,0.0,0.03
2022-03-28,370.1,370.1,370.1,370.1,50.0,-3.9
2022-03-30,364.0,364.0,364.0,364.0,70.0,-1.65
2022-04-08,364.0,364.0,364.0,364.0,320.0,0.0
2022-04-12,378.55,378.55,378.55,378.55,0.0,4.0
2022-04-13,376.2,376.2,376.2,376.2,70.0,-0.62
2022-04-18,391.2,391.2,391.2,391.2,0.0,3.99
2022-04-20,398.8,398.8,398.8,398.8,0.0,1.94
2022-04-21,398.8,398.8,398.8,398.8,0.0,0.0
2022-04-22,390.0,390.0,390.0,390.0,50.0,-2.21
2022-04-28,398.9,398.9,398.9,398.9,0.0,2.28
2022-06-01,395.0,395.0,395.0,395.0,10.0,-0.98
2022-07-13,395.0,395.0,395.0,395.0,0.0,0.0
2022-07-28,380.1,380.1,380.1,380.1,10.0,-3.77
2022-08-03,380.0,380.0,380.0,380.0,10.0,-0.03
2022-08-12,395.15,395.15,395.15,395.15,20.0,3.99
2022-08-24,384.0,384.0,384.0,384.0,0.0,-2.82
2022-09-16,396.9,396.9,396.9,396.9,10.0,3.36
2022-09-19,396.9,396.9,396.9,396.9,10.0,0.0
2022-09-20,367.6,367.6,367.6,367.6,70.0,-7.38
2022-10-05,366.0,366.0,366.0,366.0,0.0,-0.44
2022-11-03,366.0,366.0,366.0,366.0,10.0,0.0
2022-11-04,366.0,366.0,366.0,366.0,40.0,0.0
2022-11-07,366.0,366.0,366.0,366.0,20.0,0.0
2022-11-23,355.1,355.1,355.1,355.1,10.0,-2.98
2022-11-25,355.0,355.0,355.0,355.0,0.0,-0.03
2022-12-27,353.0,353.0,353.0,353.0,20.0,-0.56
2022-12-29,353.0,353.0,353.0,353.0,10.0,0.0
2023-01-05,353.0,353.0,353.0,353.0,10.0,0.0
2023-01-06,352.0,352.0,352.0,352.0,20.0,-0.28
2023-01-19,338.0,338.0,338.0,338.0,10.0,-3.98
2023-02-03,350.0,350.0,350.0,350.0,0.0,3.55
2023-02-06,362.85,362.85,362.85,362.85,0.0,3.67
2023-02-07,370.0,370.0,370.0,370.0,10.0,1.97
2023-02-28,360.0,360.0,360.0,360.0,0.0,-2.7
2023-04-11,365.0,365.0,365.0,365.0,20.0,1.39
2023-04-12,360.0,360.0,360.0,360.0,30.0,-1.37
2023-04-28,360.0,360.0,360.0,360.0,10.0,0.0
2023-05-12,351.0,351.0,351.0,351.0,10.0,-2.5
2023-05-15,337.0,337.0,337.0,337.0,10.0,-3.99
2023-05-16,340.0,340.0,340.0,340.0,0.0,0.89
2023-05-31,353.55,353.55,353.55,353.55,10.0,3.99
2023-06-09,356.0,356.0,356.0,356.0,0.0,0.69
2023-07-06,370.0,370.0,370.0,370.0,10.0,3.93
2023-08-01,370.0,370.0,370.0,370.0,10.0,0.0
2023-08-02,370.0,370.0,370.0,370.0,10.0,0.0
2023-08-03,370.0,370.0,370.0,370.0,10.0,0.0
2023-08-04,370.0,370.0,370.0,370.0,30.0,0.0
2023-08-07,384.75,384.75,384.75,384.75,10.0,3.99
2023-08-08,384.75,384.75,384.75,384.75,0.0,0.0
2023-08-22,371.5,371.5,371.5,371.5,0.0,-3.44
2023-08-23,371.5,371.5,371.5,371.5,220.0,0.0
2023-08-30,371.5,371.5,371.5,371.5,20.0,0.0
2023-09-06,385.0,385.0,385.0,385.0,0.0,3.63
2023-09-26,379.0,379.0,379.0,379.0,0.0,-1.56
2023-10-06,378.0,378.0,378.0,378.0,0.0,-0.26
2023-10-18,378.0,378.0,378.0,378.0,50.0,0.0
2023-10-24,378.0,378.0,378.0,378.0,0.0,0.0
2023-11-16,355.4,355.4,355.4,355.4,0.0,-5.98
2023-11-21,370.0,370.0,370.0,370.0,0.0,4.11
2023-12-04,351.0,351.0,351.0,351.0,10.0,-5.14
2023-12-05,350.0,350.0,350.0,350.0,10.0,-0.28
2023-12-11,350.0,350.0,350.0,350.0,10.0,0.0
2023-12-12,351.0,351.0,351.0,351.0,0.0,0.29
2023-12-15,351.0,351.0,351.0,351.0,0.0,0.0
2023-12-22,350.0,350.0,350.0,350.0,230.0,-0.28
2023-12-25,356.0,356.0,356.0,356.0,10.0,1.71
2023-12-26,356.0,356.0,356.0,356.0,0.0,0.0
2023-12-29,360.0,360.0,360.0,360.0,40.0,1.12
2024-01-08,381.55,381.55,381.55,381.55,80.0,5.99
2024-01-22,380.0,380.0,380.0,380.0,0.0,-0.41
2024-01-25,357.25,357.25,357.25,357.25,0.0,-5.99
2024-02-02,357.25,357.25,357.25,357.25,150.0,0.0
2024-02-05,378.65,378.65,378.65,378.65,0.0,5.99
2024-02-09,355.95,355.95,355.95,355.95,0.0,-5.99
2024-02-12,357.0,357.0,357.0,357.0,0.0,0.29
2024-02-13,378.4,378.4,378.4,378.4,10.0,5.99
2024-02-14,378.4,378.4,378.4,378.4,0.0,0.0
2024-02-22,361.05,361.05,361.05,361.05,0.0,-4.59
2024-02-26,363.0,363.0,363.0,363.0,10.0,0.54
2024-03-05,369.95,369.95,369.95,369.95,20.0,1.91
2024-03-06,369.95,369.95,369.95,369.95,0.0,0.0
2024-03-11,369.95,369.95,369.95,369.95,10.0,0.0
2024-03-14,363.25,363.25,363.25,363.25,20.0,-1.81
2024-03-26,385.0,385.0,385.0,385.0,10.0,5.99
2024-04-08,386.9,386.9,386.9,386.9,10.0,0.49
2024-04-09,386.9,386.9,386.9,386.9,10.0,0.0
2024-04-15,386.95,386.95,386.95,386.95,10.0,0.01
2024-05-10,365.0,365.0,365.0,365.0,990.0,-5.67
2024-05-13,386.85,386.85,386.85,386.85,10.0,5.99
2024-05-14,367.0,367.0,367.0,367.0,0.0,-5.13
2024-05-21,365.0,365.0,365.0,365.0,0.0,-0.54
2024-05-28,369.0,369.0,369.0,369.0,80.0,1.1
2024-05-29,369.0,369.0,369.0,369.0,120.0,0.0
2024-05-31,391.0,391.0,391.0,391.0,0.0,5.96
2024-06-05,414.45,414.45,414.45,414.45,70.0,6.0
2024-06-12,414.45,414.45,414.45,414.45,50.0,0.0
2024-06-13,414.45,414.45,414.45,414.45,120.0,0.0
2024-06-19,414.45,414.45,414.45,414.45,120.0,0.0
2024-08-15,415.0,415.0,415.0,415.0,20.0,0.13
2024-08-28,420.0,420.0,420.0,420.0,10.0,1.2
2024-09-04,400.0,400.0,400.0,400.0,20.0,-4.76
2024-09-05,376.05,376.05,376.05,376.05,0.0,-5.99
2024-09-09,381.0,381.0,381.0,381.0,300.0,1.32
2024-09-10,387.0,387.0,387.0,387.0,100.0,1.57
2024-09-11,400.0,400.0,400.0,400.0,10.0,3.36
2024-09-12,387.0,387.0,387.0,387.0,30.0,-3.25
2024-09-13,381.0,381.0,381.0,381.0,70.0,-1.55
2024-09-18,370.0,370.0,370.0,370.0,180.0,-2.89
2024-09-19,364.0,364.0,364.0,364.0,20.0,-1.62
2024-09-20,385.0,385.0,385.0,385.0,50.0,5.77
2024-09-24,370.0,370.0,370.0,370.0,70.0,-3.9
2024-09-27,370.0,370.0,370.0,370.0,20.0,0.0
2024-10-02,370.0,370.0,370.0,370.0,0.0,0.0
