Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,190.0,190.0,190.0,190.0,20.0,0.0
2021-01-06,190.0,190.0,190.0,190.0,10.0,0.0
2021-01-20,190.0,190.0,190.0,190.0,10.0,0.0
2021-02-09,189.0,189.0,189.0,189.0,10.0,-0.53
2021-02-16,189.0,189.0,189.0,189.0,10.0,0.0
2021-03-03,192.75,192.75,192.75,192.75,540.0,1.98
2021-03-08,196.0,196.0,196.0,196.0,20.0,1.69
2021-03-25,196.0,196.0,196.0,196.0,400.0,0.0
2021-03-26,192.3,192.3,192.3,192.3,20.0,-1.89
2021-03-31,192.3,192.3,192.3,192.3,10.0,0.0
2021-04-06,192.0,192.0,192.0,192.0,10.0,-0.16
2021-05-03,191.7,191.7,191.7,191.7,10.0,-0.16
2021-06-01,192.0,192.0,192.0,192.0,20.0,0.16
2021-06-02,188.3,188.3,188.3,188.3,20.0,-1.93
2021-06-08,192.0,192.0,192.0,192.0,240.0,1.96
2021-06-09,192.0,192.0,192.0,192.0,20.0,0.0
2021-06-10,192.0,192.0,192.0,192.0,240.0,0.0
2021-06-11,190.0,190.0,190.0,190.0,500.0,-1.04
2021-06-14,190.05,190.05,190.05,190.05,60.0,0.03
2021-06-15,190.05,190.05,190.05,190.05,310.0,0.0
2021-06-16,192.05,192.05,192.05,192.05,10.0,1.05
2021-06-18,192.05,192.05,192.05,192.05,600.0,0.0
2021-06-24,193.05,193.05,193.05,193.05,10.0,0.52
2021-06-28,193.55,193.55,193.55,193.55,10.0,0.26
2021-06-29,192.1,192.1,192.1,192.1,10.0,-0.75
2021-06-30,192.15,192.15,192.15,192.15,0.0,0.03
2021-07-02,192.15,192.15,192.15,192.15,0.0,0.0
2021-07-07,190.25,190.25,190.25,190.25,40.0,-0.99
2021-07-09,192.0,192.0,192.0,192.0,50.0,0.92
2021-07-13,190.2,190.2,190.2,190.2,220.0,-0.94
2021-08-05,190.2,190.2,190.2,190.2,10.0,0.0
2021-08-16,194.0,194.0,194.0,194.0,1010.0,2.0
2021-08-23,197.5,197.5,197.5,197.5,0.0,1.8
2021-08-24,200.0,200.0,200.0,200.0,30.0,1.27
2021-09-03,203.95,203.95,203.95,203.95,0.0,1.97
2021-09-07,208.0,208.0,208.0,208.0,10.0,1.99
2021-09-08,212.15,212.15,212.15,212.15,10.0,2.0
2021-09-20,216.35,216.35,216.35,216.35,0.0,1.98
2021-09-21,220.65,220.65,220.65,220.65,0.0,1.99
2021-09-22,225.05,225.05,225.05,225.05,0.0,1.99
2021-09-23,229.55,229.55,229.55,229.55,0.0,2.0
2021-09-27,234.1,234.1,234.1,234.1,10.0,1.98
2021-09-28,238.75,238.75,238.75,238.75,0.0,1.99
2021-09-29,243.5,243.5,243.5,243.5,0.0,1.99
2021-10-01,248.35,248.35,248.35,248.35,0.0,1.99
2021-10-05,253.3,253.3,253.3,253.3,10.0,1.99
2021-10-08,258.35,258.35,258.35,258.35,10.0,1.99
2021-10-13,268.65,268.65,268.65,268.65,10.0,3.99
2021-10-14,279.35,279.35,279.35,279.35,10.0,3.98
2021-10-15,290.5,290.5,290.5,290.5,0.0,3.99
2021-10-18,302.1,302.1,302.1,302.1,30.0,3.99
2021-10-21,314.15,314.15,314.15,314.15,90.0,3.99
2021-10-22,326.7,326.7,326.7,326.7,150.0,3.99
2021-10-25,339.75,339.75,339.75,339.75,80.0,3.99
2021-10-26,353.0,353.0,353.0,353.0,110.0,3.9
2021-10-27,366.95,366.95,366.95,366.95,10.0,3.95
2021-10-28,381.6,381.6,381.6,381.6,160.0,3.99
2021-10-29,396.85,396.85,396.85,396.85,100.0,4.0
2021-11-01,412.0,412.0,412.0,412.0,150.0,3.82
2021-11-02,395.55,395.55,395.55,395.55,850.0,-3.99
2021-11-03,411.25,411.25,411.25,411.25,210.0,3.97
2021-11-04,395.1,395.1,395.1,395.1,30.0,-3.93
2021-11-05,410.8,410.8,410.8,410.8,0.0,3.97
2021-11-10,394.4,394.4,394.4,394.4,10.0,-3.99
2021-11-11,378.65,378.65,378.65,378.65,30.0,-3.99
2021-11-12,363.55,363.55,363.55,363.55,30.0,-3.99
2021-11-15,378.05,378.05,378.05,378.05,0.0,3.99
2021-11-16,362.95,362.95,362.95,362.95,30.0,-3.99
2021-11-17,377.45,377.45,377.45,377.45,0.0,4.0
2021-11-19,362.4,362.4,362.4,362.4,20.0,-3.99
2021-11-22,376.85,376.85,376.85,376.85,0.0,3.99
2021-11-23,390.85,390.85,390.85,390.85,10.0,3.72
2021-11-24,399.9,399.9,399.9,399.9,10.0,2.32
2021-11-25,384.0,384.0,384.0,384.0,390.0,-3.98
2021-11-26,399.35,399.35,399.35,399.35,0.0,4.0
2021-12-02,383.4,383.4,383.4,383.4,190.0,-3.99
2021-12-03,390.0,390.0,390.0,390.0,370.0,1.72
2021-12-06,404.95,404.95,404.95,404.95,10.0,3.83
2021-12-07,390.0,390.0,390.0,390.0,280.0,-3.69
2021-12-08,391.1,391.1,391.1,391.1,380.0,0.28
2021-12-09,391.15,391.15,391.15,391.15,210.0,0.01
2021-12-13,393.5,393.5,393.5,393.5,160.0,0.6
2021-12-15,404.95,404.95,404.95,404.95,0.0,2.91
2021-12-20,395.0,395.0,395.0,395.0,70.0,-2.46
2021-12-21,395.0,395.0,395.0,395.0,0.0,0.0
2021-12-22,395.0,395.0,395.0,395.0,0.0,0.0
2021-12-23,395.0,395.0,395.0,395.0,0.0,0.0
2021-12-24,395.0,395.0,395.0,395.0,10.0,0.0
2021-12-27,395.0,395.0,395.0,395.0,0.0,0.0
2021-12-28,404.0,404.0,404.0,404.0,10.0,2.28
2021-12-30,404.0,404.0,404.0,404.0,10.0,0.0
2022-01-03,390.5,390.5,390.5,390.5,0.0,-3.34
2022-01-04,390.5,390.5,390.5,390.5,10.0,0.0
2022-01-06,403.0,403.0,403.0,403.0,10.0,3.2
2022-01-12,403.0,403.0,403.0,403.0,10.0,0.0
2022-01-14,403.0,403.0,403.0,403.0,20.0,0.0
2022-01-19,410.0,410.0,410.0,410.0,10.0,1.74
2022-01-28,410.0,410.0,410.0,410.0,660.0,0.0
2022-01-31,410.0,410.0,410.0,410.0,0.0,0.0
2022-02-01,410.0,410.0,410.0,410.0,0.0,0.0
2022-02-04,410.0,410.0,410.0,410.0,190.0,0.0
2022-02-07,410.0,410.0,410.0,410.0,320.0,0.0
2022-02-09,419.0,419.0,419.0,419.0,30.0,2.2
2022-02-10,420.0,420.0,420.0,420.0,30.0,0.24
2022-02-11,426.0,426.0,426.0,426.0,10.0,1.43
2022-02-14,430.95,430.95,430.95,430.95,0.0,1.16
2022-02-15,421.0,421.0,421.0,421.0,10.0,-2.31
2022-02-16,420.0,420.0,420.0,420.0,80.0,-0.24
2022-02-17,426.0,426.0,426.0,426.0,0.0,1.43
2022-02-22,420.0,420.0,420.0,420.0,0.0,-1.41
2022-02-24,425.95,425.95,425.95,425.95,10.0,1.42
2022-02-25,426.0,426.0,426.0,426.0,0.0,0.01
2022-03-02,421.0,421.0,421.0,421.0,20.0,-1.17
2022-03-03,420.0,420.0,420.0,420.0,20.0,-0.24
2022-03-04,420.0,420.0,420.0,420.0,0.0,0.0
2022-03-10,405.0,405.0,405.0,405.0,10.0,-3.57
2022-03-16,388.85,388.85,388.85,388.85,10.0,-3.99
2022-03-21,373.3,373.3,373.3,373.3,10.0,-4.0
2022-03-28,365.0,365.0,365.0,365.0,10.0,-2.22
2022-03-29,360.5,360.5,360.5,360.5,10.0,-1.23
2022-04-04,346.1,346.1,346.1,346.1,10.0,-3.99
2022-04-05,332.3,332.3,332.3,332.3,80.0,-3.99
2022-04-06,332.3,332.3,332.3,332.3,50.0,0.0
2022-04-12,333.1,333.1,333.1,333.1,10.0,0.24
2022-04-15,320.0,320.0,320.0,320.0,60.0,-3.93
2022-04-18,320.0,320.0,320.0,320.0,10.0,0.0
2022-04-29,320.5,320.5,320.5,320.5,10.0,0.16
2022-05-20,329.15,329.15,329.15,329.15,10.0,2.7
2022-05-25,320.0,320.0,320.0,320.0,10.0,-2.78
2022-05-26,320.1,320.1,320.1,320.1,10.0,0.03
2022-06-02,320.0,320.0,320.0,320.0,200.0,-0.03
2022-06-08,327.75,327.75,327.75,327.75,100.0,2.42
2022-06-10,327.8,327.8,327.8,327.8,100.0,0.02
2022-06-13,327.85,327.85,327.85,327.85,10.0,0.02
2022-07-26,327.85,327.85,327.85,327.85,10.0,0.0
2022-08-03,327.95,327.95,327.95,327.95,10.0,0.03
2022-08-10,327.95,327.95,327.95,327.95,0.0,0.0
2022-08-16,327.95,327.95,327.95,327.95,140.0,0.0
2022-08-19,320.0,320.0,320.0,320.0,0.0,-2.42
2022-08-22,320.0,320.0,320.0,320.0,50.0,0.0
2022-08-24,320.0,320.0,320.0,320.0,250.0,0.0
2022-08-26,320.0,320.0,320.0,320.0,20.0,0.0
2022-08-29,308.0,308.0,308.0,308.0,100.0,-3.75
2022-08-30,309.0,309.0,309.0,309.0,20.0,0.32
2022-08-31,296.65,296.65,296.65,296.65,10.0,-4.0
2022-09-02,297.0,297.0,297.0,297.0,10.0,0.12
2022-09-06,308.85,308.85,308.85,308.85,20.0,3.99
2022-09-07,314.95,314.95,314.95,314.95,20.0,1.98
2022-09-12,314.8,314.8,314.8,314.8,120.0,-0.05
2022-09-13,314.95,314.95,314.95,314.95,20.0,0.05
2022-09-14,314.95,314.95,314.95,314.95,80.0,0.0
2022-09-15,327.5,327.5,327.5,327.5,10.0,3.98
2022-09-19,340.0,340.0,340.0,340.0,10.0,3.82
2022-09-22,348.0,348.0,348.0,348.0,20.0,2.35
2022-09-23,334.1,334.1,334.1,334.1,10.0,-3.99
2022-09-26,335.0,335.0,335.0,335.0,330.0,0.27
2022-09-27,348.35,348.35,348.35,348.35,20.0,3.99
2022-09-30,348.35,348.35,348.35,348.35,10.0,0.0
2022-10-04,350.0,350.0,350.0,350.0,20.0,0.47
2022-10-06,350.0,350.0,350.0,350.0,10.0,0.0
2022-10-07,340.0,340.0,340.0,340.0,40.0,-2.86
2022-10-11,353.55,353.55,353.55,353.55,20.0,3.99
2022-10-12,340.1,340.1,340.1,340.1,10.0,-3.8
2022-10-14,353.7,353.7,353.7,353.7,10.0,4.0
2022-10-18,350.0,350.0,350.0,350.0,0.0,-1.05
2022-10-27,337.0,337.0,337.0,337.0,60.0,-3.71
2022-10-28,349.9,349.9,349.9,349.9,10.0,3.83
2022-11-07,349.8,349.8,349.8,349.8,10.0,-0.03
2022-11-08,336.0,336.0,336.0,336.0,10.0,-3.95
2022-11-14,330.0,330.0,330.0,330.0,0.0,-1.79
2022-11-16,316.85,316.85,316.85,316.85,10.0,-3.98
2022-11-17,305.3,305.3,305.3,305.3,20.0,-3.65
2022-11-22,304.9,304.9,304.9,304.9,10.0,-0.13
2022-11-24,302.8,302.8,302.8,302.8,10.0,-0.69
2022-11-28,291.0,291.0,291.0,291.0,10.0,-3.9
2022-11-29,290.0,290.0,290.0,290.0,10.0,-0.34
2022-12-05,293.0,293.0,293.0,293.0,10.0,1.03
2022-12-06,300.0,300.0,300.0,300.0,0.0,2.39
2022-12-09,300.0,300.0,300.0,300.0,0.0,0.0
2022-12-12,300.0,300.0,300.0,300.0,10.0,0.0
2022-12-15,300.0,300.0,300.0,300.0,30.0,0.0
2022-12-19,300.0,300.0,300.0,300.0,0.0,0.0
2022-12-26,288.05,288.05,288.05,288.05,10.0,-3.98
2022-12-27,276.55,276.55,276.55,276.55,40.0,-3.99
2022-12-28,265.5,265.5,265.5,265.5,160.0,-4.0
2022-12-29,254.9,254.9,254.9,254.9,30.0,-3.99
2022-12-30,244.75,244.75,244.75,244.75,70.0,-3.98
2023-01-02,244.75,244.75,244.75,244.75,10.0,0.0
2023-01-03,235.5,235.5,235.5,235.5,180.0,-3.78
2023-01-04,226.1,226.1,226.1,226.1,10.0,-3.99
2023-01-05,226.1,226.1,226.1,226.1,0.0,0.0
2023-01-09,217.1,217.1,217.1,217.1,10.0,-3.98
2023-01-10,208.45,208.45,208.45,208.45,160.0,-3.98
2023-01-12,216.75,216.75,216.75,216.75,40.0,3.98
2023-01-13,225.4,225.4,225.4,225.4,20.0,3.99
2023-01-16,234.4,234.4,234.4,234.4,10.0,3.99
2023-01-18,243.75,243.75,243.75,243.75,10.0,3.99
2023-01-19,253.4,253.4,253.4,253.4,10.0,3.96
2023-01-20,263.5,263.5,263.5,263.5,20.0,3.99
2023-02-03,272.9,272.9,272.9,272.9,0.0,3.57
2023-02-06,262.0,262.0,262.0,262.0,50.0,-3.99
2023-02-07,251.6,251.6,251.6,251.6,10.0,-3.97
2023-02-08,242.0,242.0,242.0,242.0,30.0,-3.82
2023-02-09,233.0,233.0,233.0,233.0,20.0,-3.72
2023-02-13,242.0,242.0,242.0,242.0,10.0,3.86
2023-02-14,251.0,251.0,251.0,251.0,10.0,3.72
2023-02-15,255.0,255.0,255.0,255.0,10.0,1.59
2023-02-16,261.0,261.0,261.0,261.0,0.0,2.35
2023-02-17,271.4,271.4,271.4,271.4,20.0,3.98
2023-02-21,280.0,280.0,280.0,280.0,10.0,3.17
2023-02-24,268.9,268.9,268.9,268.9,20.0,-3.96
2023-02-28,279.65,279.65,279.65,279.65,10.0,4.0
2023-03-06,274.0,274.0,274.0,274.0,0.0,-2.02
2023-03-09,263.1,263.1,263.1,263.1,30.0,-3.98
2023-03-14,272.0,272.0,272.0,272.0,10.0,3.38
2023-05-08,260.0,260.0,260.0,260.0,0.0,-4.41
2023-05-09,260.0,260.0,260.0,260.0,20.0,0.0
2023-05-22,249.65,249.65,249.65,249.65,0.0,-3.98
2023-05-23,239.8,239.8,239.8,239.8,0.0,-3.95
2023-05-24,230.25,230.25,230.25,230.25,10.0,-3.98
2023-05-29,222.0,222.0,222.0,222.0,10.0,-3.58
2023-05-30,213.15,213.15,213.15,213.15,30.0,-3.99
2023-05-31,204.8,204.8,204.8,204.8,120.0,-3.92
2023-06-01,200.0,200.0,200.0,200.0,180.0,-2.34
2023-06-02,192.05,192.05,192.05,192.05,190.0,-3.97
2023-06-05,184.4,184.4,184.4,184.4,1340.0,-3.98
2023-06-06,191.75,191.75,191.75,191.75,60.0,3.99
2023-06-07,186.0,186.0,186.0,186.0,80.0,-3.0
2023-06-08,193.4,193.4,193.4,193.4,100.0,3.98
2023-06-09,201.1,201.1,201.1,201.1,160.0,3.98
2023-06-12,209.0,209.0,209.0,209.0,20.0,3.93
2023-06-14,217.35,217.35,217.35,217.35,30.0,4.0
2023-06-15,225.0,225.0,225.0,225.0,20.0,3.52
2023-06-20,216.1,216.1,216.1,216.1,10.0,-3.96
2023-06-21,209.0,209.0,209.0,209.0,60.0,-3.29
2023-06-22,200.65,200.65,200.65,200.65,50.0,-4.0
2023-06-23,208.65,208.65,208.65,208.65,0.0,3.99
2023-06-26,210.0,210.0,210.0,210.0,10.0,0.65
2023-06-28,216.9,216.9,216.9,216.9,0.0,3.29
2023-07-03,208.25,208.25,208.25,208.25,130.0,-3.99
2023-07-04,210.0,210.0,210.0,210.0,10.0,0.84
2023-07-05,215.0,215.0,215.0,215.0,20.0,2.38
2023-07-06,223.55,223.55,223.55,223.55,50.0,3.98
2023-07-07,223.0,223.0,223.0,223.0,0.0,-0.25
2023-07-11,224.95,224.95,224.95,224.95,10.0,0.87
2023-07-12,216.0,216.0,216.0,216.0,10.0,-3.98
2023-07-13,217.0,217.0,217.0,217.0,100.0,0.46
2023-07-14,216.0,216.0,216.0,216.0,200.0,-0.46
2023-07-17,208.0,208.0,208.0,208.0,10.0,-3.7
2023-07-18,216.3,216.3,216.3,216.3,100.0,3.99
2023-07-24,215.0,215.0,215.0,215.0,10.0,-0.6
2023-07-25,220.0,220.0,220.0,220.0,0.0,2.33
2023-07-26,212.0,212.0,212.0,212.0,30.0,-3.64
2023-07-27,220.0,220.0,220.0,220.0,100.0,3.77
2023-07-28,221.0,221.0,221.0,221.0,90.0,0.45
2023-07-31,229.8,229.8,229.8,229.8,210.0,3.98
2023-08-01,230.0,230.0,230.0,230.0,10.0,0.09
2023-08-02,230.0,230.0,230.0,230.0,20.0,0.0
2023-08-03,230.0,230.0,230.0,230.0,30.0,0.0
2023-08-07,237.0,237.0,237.0,237.0,10.0,3.04
2023-08-11,245.0,245.0,245.0,245.0,180.0,3.38
