Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-03-17,755.0,765.0,765.0,755.0,32580.0,0.67
2026-03-18,786.1,765.0,796.0,765.0,34590.0,4.12
2026-03-19,775.0,775.0,779.0,766.0,49590.0,-1.41
2026-03-24,775.0,783.0,791.0,775.0,17080.0,0.0
2026-03-25,805.0,794.0,805.0,790.5,4350.0,3.87
2026-03-26,780.2,795.0,825.0,780.2,11880.0,-3.08
2026-03-27,762.0,803.0,803.0,762.0,27110.0,-2.33
2026-03-30,776.0,777.0,788.0,776.0,1350.0,1.84
2026-03-31,764.9,780.0,780.0,760.0,3660.0,-1.43
2026-04-01,788.0,780.1,794.1,780.1,15560.0,3.02
2026-04-02,782.0,785.0,791.0,775.0,21030.0,-0.76
2026-04-03,775.0,787.0,790.0,775.0,51840.0,-0.9
2026-04-06,770.0,780.0,790.0,770.0,65239.99999999999,-0.65
2026-04-07,770.0,785.0,785.0,770.0,5220.0,0.0
2026-04-08,819.0,803.0,819.0,800.0,82510.0,6.36
2026-04-09,817.4,840.0,840.0,813.0,14560.0,-0.2
2026-04-10,832.0,815.0,832.0,815.0,34380.0,1.79
2026-04-13,815.0,800.0,819.0,800.0,21630.0,-2.04
2026-04-14,838.0,817.0,842.0,816.3,73390.0,2.82
2026-04-15,844.0,838.1,855.0,838.1,51670.0,0.72
2026-04-16,850.2,849.9,853.0,847.1,13240.0,0.73
2026-04-17,895.0,854.0,914.0,845.1,147640.0,5.27
