Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,219.0,219.0,219.0,219.0,450.0,0.46
2021-01-05,218.0,218.95,219.75,218.0,32240.000000000004,-0.46
2021-01-06,218.0,220.0,220.0,217.55,40.0,0.0
2021-01-07,218.0,219.95,219.95,216.0,5690.0,0.0
2021-01-08,217.5,217.5,217.5,217.5,10.0,-0.23
2021-01-12,216.0,219.0,219.0,215.5,120.0,-0.69
2021-01-13,215.05,217.95,218.0,215.05,440.0,-0.44
2021-01-14,218.0,218.0,218.0,218.0,0.0,1.37
2021-01-15,219.0,218.0,219.0,218.0,250.0,0.46
2021-01-18,220.0,218.0,220.0,218.0,11460.0,0.46
2021-01-19,219.0,219.0,219.0,219.0,10.0,-0.45
2021-01-20,217.0,217.0,217.0,215.0,5320.0,-0.91
2021-01-21,216.0,215.45,216.0,215.35,5780.0,-0.46
2021-01-22,219.0,216.1,219.0,216.05,27950.0,1.39
2021-01-25,220.2,220.0,221.0,216.1,10100.0,0.55
2021-01-26,226.0,220.0,226.15,220.0,12330.0,2.63
2021-01-27,224.5,226.15,227.0,222.5,1950.0,-0.66
2021-01-28,224.5,226.95,226.95,224.0,6620.0,0.0
2021-01-29,225.0,225.9,228.0,225.0,7530.0,0.22
2021-02-01,224.9,224.0,225.0,224.0,1680.0,-0.04
2021-02-02,218.55,224.9,224.9,218.55,620.0,-2.82
2021-02-03,223.3,218.5,223.95,218.5,400.0,2.17
2021-02-04,224.5,219.0,224.5,218.9,350.0,0.54
2021-02-08,223.95,219.2,223.95,219.2,10230.0,-0.24
2021-02-09,223.5,223.95,223.95,223.5,9660.0,-0.2
2021-02-10,223.0,221.05,223.0,221.05,160.0,-0.22
2021-02-11,218.0,222.95,222.95,218.0,2910.0,-2.24
2021-02-12,220.0,222.95,222.95,219.0,34410.0,0.92
2021-02-15,225.8,222.75,226.0,222.75,1360.0,2.64
2021-02-16,225.0,225.95,225.95,225.0,160.0,-0.35
2021-02-17,225.45,222.05,225.45,221.55,5100.0,0.2
2021-02-18,223.15,223.0,223.15,220.0,8370.0,-1.02
2021-02-19,226.0,225.9,229.0,224.0,15240.0,1.28
2021-02-22,222.25,226.0,226.0,222.0,5040.0,-1.66
2021-02-23,226.0,225.0,226.0,224.75,16000.0,1.69
2021-02-24,228.7,229.0,230.0,226.0,1850.0,1.19
2021-02-25,230.0,228.7,230.0,227.0,14400.0,0.57
2021-02-26,230.3,230.5,232.0,230.3,4960.0,0.13
2021-03-01,233.1,231.0,239.5,231.0,4180.0,1.22
2021-03-02,234.0,236.0,236.0,233.0,1430.0,0.39
2021-03-03,233.0,235.0,235.0,233.0,330.0,-0.43
2021-03-04,233.0,233.05,233.05,233.0,1040.0,0.0
2021-03-05,233.0,233.0,233.0,233.0,70.0,0.0
2021-03-08,234.0,233.0,234.0,232.0,60.0,0.43
2021-03-09,228.55,234.85,234.85,228.55,370.0,-2.33
2021-03-10,230.5,228.8,234.85,228.5,570.0,0.85
2021-03-11,230.2,234.9,234.9,230.2,30.0,-0.13
2021-03-12,235.0,233.5,235.0,233.5,34000.0,2.09
2021-03-15,231.05,234.95,234.95,230.5,1380.0,-1.68
2021-03-16,230.2,231.05,231.05,230.2,170.0,-0.37
2021-03-17,231.0,234.5,234.5,230.5,20.0,0.35
2021-03-19,237.0,230.2,237.0,230.0,54670.0,2.6
2021-03-22,239.0,236.0,240.0,236.0,1020.0,0.84
2021-03-23,240.05,237.0,245.0,237.0,25120.0,0.44
2021-03-24,244.8,244.9,244.9,244.0,1000.0,1.98
2021-03-25,242.0,244.45,245.0,241.0,9630.0,-1.14
2021-03-26,241.05,241.05,244.95,241.05,220.0,-0.39
2021-03-29,241.0,240.0,244.8,240.0,250.0,-0.02
2021-03-30,241.1,240.1,244.0,240.1,5500.0,0.04
2021-03-31,240.0,243.0,243.0,240.0,31140.0,-0.46
2021-04-01,243.0,244.4,244.4,242.0,37180.0,1.25
2021-04-02,240.0,243.0,243.0,239.3,1350.0,-1.23
2021-04-05,243.0,239.2,244.0,239.2,3460.0,1.25
2021-04-06,243.5,243.0,243.5,243.0,40.0,0.21
2021-04-07,244.0,243.0,245.0,243.0,1640.0,0.21
2021-04-08,244.0,244.0,244.0,244.0,410.0,0.0
2021-04-09,247.0,244.0,249.85,244.0,23390.0,1.23
2021-04-12,247.0,248.0,248.0,247.0,100.0,0.0
2021-04-13,246.0,249.3,249.3,245.15,60.0,-0.4
2021-04-14,242.2,242.15,242.2,242.15,2130.0,-1.54
2021-04-15,242.6,245.95,246.0,242.6,23790.0,0.17
2021-04-16,243.0,245.0,245.0,243.0,300.0,0.16
2021-04-19,245.0,246.8,246.8,245.0,200.0,0.82
