Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,928.96,924.78,928.97,922.3,,0.45
2021-01-05,919.52,925.99,926.79,919.52,,-1.02
2021-01-06,915.67,919.52,921.57,915.01,,-0.42
2021-01-07,921.52,915.67,924.79,915.67,,0.64
2021-01-08,919.6,921.52,924.31,918.9,,-0.21
2021-01-12,923.89,919.6,923.89,916.78,,0.47
2021-01-13,919.89,923.89,925.45,918.95,,-0.43
2021-01-14,926.07,919.89,926.43,919.89,,0.67
2021-01-15,934.83,926.07,937.34,924.86,,0.95
2021-01-18,938.69,934.83,938.69,932.57,,0.41
2021-01-19,939.74,938.69,940.13,933.78,,0.11
2021-01-20,942.47,939.74,943.38,939.52,,0.29
2021-01-21,941.8,942.47,944.21,940.61,,-0.07
2021-01-22,946.1,941.8,946.43,940.15,,0.46
2021-01-25,953.29,946.1,953.64,941.9,,0.76
2021-01-26,960.07,953.29,961.54,952.88,,0.71
2021-01-27,956.94,960.07,960.27,956.93,,-0.33
2021-01-28,953.49,956.94,957.49,952.85,,-0.36
2021-01-29,951.94,953.49,958.32,951.94,,-0.16
2021-02-01,951.41,951.94,952.41,947.88,,-0.06
2021-02-02,956.9,951.41,957.61,949.83,,0.58
2021-02-03,959.57,956.9,960.5,955.07,,0.28
2021-02-04,958.52,959.57,963.56,957.12,,-0.11
2021-02-05,955.53,958.52,962.11,955.53,,-0.31
2021-02-08,955.81,955.53,960.78,955.5,,0.03
2021-02-09,950.07,955.81,956.23,950.06,,-0.6
2021-02-10,942.47,950.07,951.5,939.72,,-0.8
2021-02-11,945.8,942.47,945.8,938.09,,0.35
2021-02-12,941.86,945.8,951.01,941.86,,-0.42
2021-02-15,939.65,941.86,945.02,938.62,,-0.23
2021-02-16,945.25,939.65,945.25,938.82,,0.6
2021-02-17,939.91,945.25,945.76,939.87,,-0.57
2021-02-18,944.01,939.91,945.75,939.91,,0.44
2021-02-19,934.98,944.01,945.15,934.16,,-0.96
2021-02-22,933.95,934.98,936.59,929.78,,-0.11
2021-02-23,927.4,933.95,934.59,926.98,,-0.7
2021-02-24,919.07,927.4,927.4,915.86,,-0.9
2021-02-25,925.81,919.07,925.81,913.4,,0.73
2021-02-26,926.27,925.81,934.14,925.71,,0.05
2021-03-01,925.4,926.27,927.34,923.62,,-0.09
2021-03-02,926.3,925.4,927.98,922.6,,0.1
2021-03-03,923.33,926.3,927.45,923.01,,-0.32
2021-03-04,924.58,923.33,924.76,921.07,,0.14
2021-03-05,925.39,924.58,925.61,922.02,,0.09
2021-03-08,923.87,925.39,926.1,923.43,,-0.16
2021-03-09,925.4,923.87,926.4,922.8,,0.17
2021-03-10,924.28,925.4,925.63,923.45,,-0.12
2021-03-11,924.72,924.28,925.87,922.43,,0.05
2021-03-12,930.25,924.72,930.99,922.95,,0.6
2021-03-15,930.21,930.25,933.04,929.62,,0.0
2021-03-16,936.16,930.21,936.16,928.87,,0.64
2021-03-17,943.09,936.16,945.41,935.65,,0.74
2021-03-18,936.92,943.09,943.16,936.85,,-0.65
2021-03-19,934.48,936.92,938.24,931.14,,-0.26
2021-03-22,931.91,934.48,934.48,928.34,,-0.28
2021-03-23,926.23,931.91,932.03,925.43,,-0.61
2021-03-24,931.73,926.23,931.89,924.96,,0.59
2021-03-25,937.86,931.73,937.86,931.46,,0.66
2021-03-26,938.41,937.86,938.41,935.26,,0.06
2021-03-29,936.47,938.41,940.08,934.34,,-0.21
2021-03-30,938.89,936.47,938.97,934.77,,0.26
2021-03-31,935.7,938.89,939.29,934.87,,-0.34
2021-04-01,942.39,935.7,942.39,935.16,,0.72
2021-04-02,943.61,942.39,944.14,939.45,,0.13
2021-04-05,940.39,943.61,943.61,936.72,,-0.34
2021-04-06,940.39,940.39,945.54,939.69,,0.0
2021-04-07,940.39,940.39,941.07,939.9,,0.0
2021-04-08,942.9,940.39,942.96,939.69,,0.27
2021-04-09,944.13,942.9,944.13,941.05,,0.13
2021-04-12,948.29,944.13,948.29,943.5,,0.44
2021-04-13,946.3,948.29,948.57,945.39,,-0.21
2021-04-14,947.32,946.3,947.32,944.96,,0.11
2021-04-15,948.77,947.32,949.6,944.36,,0.15
2021-04-16,951.37,948.77,952.65,948.14,,0.27
2021-04-19,950.77,951.37,952.77,949.57,,-0.06
2021-04-20,954.45,950.77,954.56,949.49,,0.39
2021-04-21,953.22,954.45,954.45,951.04,,-0.13
2021-04-22,956.03,953.22,956.03,952.97,,0.29
2021-04-23,957.66,956.03,957.77,953.04,,0.17
2021-04-26,956.58,957.66,958.88,955.2,,-0.11
2021-04-27,958.48,956.58,958.59,953.72,,0.2
2021-04-28,961.59,958.48,962.17,958.08,,0.32
2021-04-29,963.29,961.59,964.63,961.26,,0.18
2021-04-30,963.73,963.29,964.56,962.44,,0.05
2021-05-03,967.39,961.01,967.39,961.0,,0.38
2021-05-04,972.02,967.39,972.21,965.7,,0.48
2021-05-05,975.66,972.02,977.04,971.77,,0.38
2021-05-06,980.45,975.66,982.75,975.66,,0.49
2021-05-07,980.48,980.45,981.04,978.72,,0.0
2021-05-10,983.87,980.48,983.87,979.93,,0.35
2021-05-11,981.07,983.87,985.74,980.97,,-0.28
