Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,11340.86,11287.38,11340.97,11274.78,,0.47
2021-01-05,11253.7,11308.67,11327.53,11253.28,,-0.77
2021-01-06,11215.71,11253.7,11277.86,11210.15,,-0.34
2021-01-07,11271.23,11215.71,11303.69,11215.71,,0.5
2021-01-08,11249.14,11271.23,11298.06,11244.1,,-0.2
2021-01-12,11296.99,11249.14,11296.99,11225.06,,0.43
2021-01-13,11262.09,11296.99,11314.93,11249.53,,-0.31
2021-01-14,11326.79,11262.09,11331.13,11262.09,,0.57
2021-01-15,11416.19,11326.79,11442.59,11315.6,,0.79
2021-01-18,11465.25,11416.19,11465.25,11395.1,,0.43
2021-01-19,11482.26,11465.25,11484.03,11415.41,,0.15
2021-01-20,11516.01,11482.26,11528.87,11482.26,,0.29
2021-01-21,11514.99,11516.01,11541.56,11504.05,,-0.01
2021-01-22,11563.73,11514.99,11567.93,11499.44,,0.42
2021-01-25,11637.35,11563.73,11653.64,11520.85,,0.64
2021-01-26,11716.7,11637.35,11729.34,11637.35,,0.68
2021-01-27,11695.96,11716.7,11718.28,11695.86,,-0.18
2021-01-28,11657.63,11695.96,11701.97,11650.7,,-0.33
2021-01-29,11630.01,11657.63,11711.26,11630.01,,-0.24
2021-02-01,11637.51,11630.01,11639.89,11592.62,,0.06
2021-02-02,11709.26,11637.51,11718.4,11637.51,,0.62
2021-02-03,11751.1,11709.26,11758.61,11693.9,,0.36
2021-02-04,11742.17,11751.1,11794.76,11727.85,,-0.08
2021-02-05,11713.5,11742.17,11778.18,11713.5,,-0.24
2021-02-08,11704.75,11713.5,11770.24,11700.53,,-0.07
2021-02-09,11651.23,11704.75,11710.66,11651.08,,-0.46
2021-02-10,11564.29,11651.23,11665.88,11536.64,,-0.75
2021-02-11,11592.37,11564.29,11601.86,11522.45,,0.24
2021-02-12,11556.59,11592.37,11645.38,11556.59,,-0.31
2021-02-15,11528.24,11556.59,11588.81,11524.25,,-0.25
2021-02-16,11580.51,11528.24,11580.51,11516.22,,0.45
2021-02-17,11521.02,11580.51,11581.05,11520.63,,-0.51
2021-02-18,11568.05,11521.02,11580.48,11521.02,,0.41
2021-02-19,11467.04,11568.05,11578.37,11459.8,,-0.87
2021-02-22,11453.6,11467.04,11485.99,11398.09,,-0.12
2021-02-23,11381.91,11453.6,11460.88,11378.09,,-0.63
2021-02-24,11286.26,11381.91,11381.91,11251.65,,-0.84
2021-02-25,11353.53,11286.26,11353.53,11224.0,,0.6
2021-02-26,11358.17,11353.53,11437.21,11352.88,,0.04
2021-03-01,11352.03,11358.17,11370.5,11333.27,,-0.05
2021-03-02,11370.21,11352.03,11384.82,11332.51,,0.16
2021-03-03,11338.98,11370.21,11380.04,11335.2,,-0.27
2021-03-04,11350.41,11338.98,11352.41,11313.14,,0.1
2021-03-05,11350.12,11350.41,11351.0,11309.91,,0.0
2021-03-08,11332.02,11350.12,11357.81,11326.84,,-0.16
2021-03-09,11365.19,11332.02,11371.13,11332.02,,0.29
2021-03-10,11353.95,11365.19,11365.99,11342.22,,-0.1
2021-03-11,11350.96,11353.95,11366.46,11331.71,,-0.03
2021-03-12,11415.05,11350.96,11422.95,11336.0,,0.56
2021-03-15,11417.87,11415.05,11442.43,11407.7,,0.02
2021-03-16,11487.27,11417.87,11487.27,11403.83,,0.61
2021-03-17,11560.84,11487.27,11583.28,11482.51,,0.64
2021-03-18,11497.07,11560.84,11561.46,11496.2,,-0.55
2021-03-19,11465.21,11497.07,11513.15,11434.97,,-0.28
2021-03-22,11442.78,11465.21,11465.21,11401.98,,-0.2
2021-03-23,11382.52,11442.78,11442.78,11374.6,,-0.53
2021-03-24,11433.99,11382.52,11438.21,11367.62,,0.45
2021-03-25,11492.7,11433.99,11492.7,11431.22,,0.51
2021-03-26,11499.38,11492.7,11503.98,11468.57,,0.06
2021-03-29,11483.02,11499.38,11517.23,11461.21,,-0.14
2021-03-30,11517.92,11483.02,11518.86,11471.31,,0.3
2021-03-31,11483.65,11517.92,11524.16,11477.23,,-0.3
2021-04-01,11552.78,11483.65,11557.16,11474.19,,0.6
2021-04-02,11572.95,11552.78,11575.44,11521.15,,0.17
2021-04-05,11533.11,11572.95,11572.95,11502.07,,-0.34
2021-04-06,11538.06,11533.11,11597.72,11528.77,,0.04
2021-04-07,11526.42,11529.92,11535.22,11520.92,,-0.1
2021-04-08,11556.42,11526.37,11557.42,11517.38,,0.26
2021-04-09,11579.84,11556.42,11580.56,11536.67,,0.2
2021-04-12,11617.16,11579.84,11618.16,11567.31,,0.32
2021-04-13,11607.26,11617.16,11622.88,11591.68,,-0.09
2021-04-14,11619.35,11607.26,11619.35,11595.04,,0.1
2021-04-15,11634.57,11619.35,11645.73,11589.81,,0.13
2021-04-16,11669.34,11634.57,11681.71,11625.12,,0.3
2021-04-19,11663.55,11669.34,11687.01,11649.41,,-0.05
2021-04-20,11701.36,11663.55,11701.54,11652.21,,0.32
2021-04-21,11682.67,11701.36,11701.36,11663.18,,-0.16
2021-04-22,11714.26,11682.67,11714.26,11682.67,,0.27
2021-04-23,11739.44,11714.26,11740.81,11684.28,,0.21
2021-04-26,11729.18,11739.44,11751.21,11711.43,,-0.09
2021-04-27,11746.34,11729.18,11747.41,11690.87,,0.15
2021-04-28,11782.54,11746.34,11788.93,11741.8,,0.31
2021-04-29,11799.46,11782.54,11815.43,11779.33,,0.14
2021-04-30,11811.23,11799.46,11811.59,11791.97,,0.1
2021-05-03,11855.49,11784.62,11855.49,11784.62,,0.37
2021-05-04,11910.59,11855.49,11911.13,11838.92,,0.46
