Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-02-15,2024.0,2024.0,2024.0,2024.0,10.0,1.96
2021-02-16,2064.0,2064.0,2064.0,2064.0,0.0,1.98
2021-06-07,2023.0,2023.0,2023.0,2023.0,10.0,-1.99
2021-06-21,2002.0,2002.0,2002.0,2002.0,0.0,-1.04
2021-08-24,1980.0,1980.0,1980.0,1980.0,10.0,-1.1
2021-10-11,1941.0,1941.0,1941.0,1941.0,10.0,-1.97
2022-01-07,1941.0,1941.0,1941.0,1941.0,1300.0,0.0
2022-01-14,1920.0,1920.0,1920.0,1920.0,40.0,-1.08
2022-01-17,1941.0,1941.0,1941.0,1941.0,430.0,1.09
2022-01-18,1870.0,1870.0,1870.0,1870.0,0.0,-3.66
2022-03-09,1944.0,1944.0,1944.0,1944.0,10.0,3.96
2022-03-11,1867.0,1867.0,1867.0,1867.0,0.0,-3.96
2022-03-16,1860.0,1860.0,1860.0,1860.0,0.0,-0.37
2022-03-28,1934.0,1934.0,1934.0,1934.0,0.0,3.98
2022-03-31,1999.0,1999.0,1999.0,1999.0,300.0,3.36
2022-04-14,2075.0,2075.0,2075.0,2075.0,60.0,3.8
2022-04-28,1995.0,1995.0,1995.0,1995.0,0.0,-3.86
2022-05-05,1920.0,1920.0,1920.0,1920.0,0.0,-3.76
2022-05-06,1902.0,1902.0,1902.0,1902.0,0.0,-0.94
2022-05-16,1978.0,1978.0,1978.0,1978.0,0.0,4.0
2022-09-06,1817.0,1817.0,1817.0,1817.0,10.0,-8.14
2023-09-15,1750.0,1750.0,1750.0,1750.0,1870.0,-3.69
2023-10-10,1854.0,1854.0,1854.0,1854.0,0.0,5.94
2023-10-13,1965.0,1965.0,1965.0,1965.0,0.0,5.99
2023-10-19,2082.0,2082.0,2082.0,2082.0,0.0,5.95
2023-10-23,2206.0,2206.0,2206.0,2206.0,10.0,5.96
2023-11-24,2206.0,2206.0,2206.0,2206.0,10.0,0.0
2023-12-06,2295.0,2295.0,2295.0,2295.0,0.0,4.03
2023-12-07,2200.0,2200.0,2200.0,2200.0,0.0,-4.14
2023-12-20,2331.0,2331.0,2331.0,2331.0,0.0,5.95
2023-12-21,2470.0,2470.0,2470.0,2470.0,10.0,5.96
2023-12-26,2470.0,2470.0,2470.0,2470.0,10.0,0.0
2024-01-08,2323.0,2323.0,2323.0,2323.0,60.0,-5.95
2024-01-09,2325.0,2325.0,2325.0,2325.0,10.0,0.09
2024-01-10,2320.0,2320.0,2320.0,2320.0,20.0,-0.22
2024-01-18,2300.0,2300.0,2300.0,2300.0,0.0,-0.86
2024-03-11,2166.0,2166.0,2166.0,2166.0,10.0,-5.83
2024-04-04,2039.0,2039.0,2039.0,2039.0,10.0,-5.86
2024-04-15,2039.0,2039.0,2039.0,2039.0,0.0,0.0
2024-06-21,1951.0,1951.0,1951.0,1951.0,0.0,-4.32
2024-07-09,2068.0,2068.0,2068.0,2068.0,10.0,6.0
2024-12-10,2068.0,2068.0,2068.0,2068.0,40.0,0.0
2025-02-24,2068.0,2068.0,2068.0,2068.0,,0.0
2025-06-04,2064.0,2064.0,2064.0,2064.0,20.0,-0.19
2025-07-23,2187.0,2187.0,2187.0,2187.0,0.0,5.96
2025-09-25,2318.0,2318.0,2318.0,2318.0,0.0,5.99
2025-09-26,2457.0,2457.0,2457.0,2457.0,0.0,6.0
2025-09-29,2604.0,2604.0,2604.0,2604.0,0.0,5.98
2025-09-30,2760.0,2760.0,2760.0,2760.0,10.0,5.99
2025-10-01,2925.0,2925.0,2925.0,2925.0,0.0,5.98
2025-10-02,3100.0,3100.0,3100.0,3100.0,0.0,5.98
2025-10-03,3285.0,3285.0,3285.0,3285.0,0.0,5.97
2025-10-09,3482.0,3482.0,3482.0,3482.0,0.0,6.0
2025-10-10,3680.0,3680.0,3680.0,3680.0,0.0,5.69
2025-10-14,3900.0,3900.0,3900.0,3900.0,0.0,5.98
2025-10-15,3672.0,3672.0,3672.0,3672.0,0.0,-5.85
2025-10-16,3890.0,3890.0,3890.0,3890.0,0.0,5.94
2025-10-17,4122.0,4122.0,4122.0,4122.0,10.0,5.96
2025-10-21,4360.0,4360.0,4360.0,4360.0,0.0,5.77
2025-10-22,4600.0,4600.0,4600.0,4600.0,0.0,5.5
2025-10-23,4601.0,4601.0,4601.0,4601.0,0.0,0.02
2025-10-29,4870.0,4870.0,4870.0,4870.0,0.0,5.85
2025-10-30,5150.0,5150.0,5150.0,5150.0,0.0,5.75
2025-10-31,4850.0,4850.0,4850.0,4850.0,0.0,-5.83
2025-11-05,4600.0,4600.0,4600.0,4600.0,10.0,-5.15
2025-11-07,4875.0,4875.0,4875.0,4875.0,0.0,5.98
2025-11-12,4685.0,4685.0,4685.0,4685.0,10.0,-3.9
2025-11-13,4700.0,4700.0,4700.0,4700.0,0.0,0.32
2025-11-17,4421.0,4421.0,4421.0,4421.0,10.0,-5.94
2025-11-21,4400.0,4400.0,4400.0,4400.0,0.0,-0.48
2025-12-04,4206.0,4206.0,4206.0,4206.0,0.0,-4.41
2025-12-05,4300.0,4300.0,4300.0,4300.0,0.0,2.23
2025-12-09,4500.0,4500.0,4500.0,4500.0,0.0,4.65
2025-12-10,4500.0,4500.0,4500.0,4500.0,0.0,0.0
2025-12-15,4600.0,4600.0,4600.0,4600.0,10.0,2.22
2025-12-17,4600.0,4600.0,4600.0,4600.0,10.0,0.0
2025-12-23,4326.0,4326.0,4326.0,4326.0,0.0,-5.96
2026-01-15,4326.0,4326.0,4326.0,4326.0,0.0,0.0
2026-02-25,4585.0,4585.0,4585.0,4585.0,0.0,5.99
2026-03-13,4585.0,4585.0,4585.0,4585.0,0.0,0.0
2026-04-13,4310.0,4310.0,4310.0,4310.0,0.0,-6.0
2026-04-14,4310.0,4310.0,4310.0,4310.0,0.0,0.0
