Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,111.45,112.0,115.5,111.05,1400.0,-2.24
2021-01-05,112.55,112.0,114.95,109.5,1880.0,0.99
2021-01-06,111.5,110.5,111.5,110.5,330.0,-0.93
2021-01-07,110.5,111.5,115.0,109.15,920.0,-0.9
2021-01-08,111.0,114.0,114.0,110.7,90.0,0.45
2021-01-12,111.0,111.0,111.0,111.0,100.0,0.0
2021-01-13,112.95,112.9,113.0,112.9,490.0,1.76
2021-01-14,111.0,111.0,111.0,111.0,20.0,-1.73
2021-01-15,112.95,112.95,112.95,111.0,360.0,1.76
2021-01-18,112.5,110.75,112.5,110.75,100.0,-0.4
2021-01-19,113.6,112.0,113.6,110.8,1000.0,0.98
2021-01-20,111.5,113.95,113.95,111.4,560.0,-1.85
2021-01-21,111.0,110.9,111.05,110.85,250.0,-0.45
2021-01-22,111.0,110.85,111.0,110.0,1540.0,0.0
2021-01-25,110.0,110.0,110.0,110.0,500.0,-0.9
2021-01-26,112.5,112.5,112.5,112.5,10.0,2.27
2021-01-27,112.5,112.4,112.5,110.0,1460.0,0.0
2021-01-28,111.95,110.0,111.95,109.65,1100.0,-0.49
2021-01-29,113.5,111.1,113.5,111.1,1100.0,1.38
2021-02-01,109.8,109.8,109.8,109.8,40.0,-3.26
2021-02-02,113.0,112.95,113.0,112.95,10.0,2.91
2021-02-04,109.85,109.85,109.85,109.85,10.0,-2.79
2021-02-05,109.0,110.0,110.0,108.0,1180.0,-0.77
2021-02-08,113.3,108.05,113.3,105.0,2070.0,3.94
2021-02-09,113.3,113.3,113.3,113.3,40.0,0.0
2021-02-11,110.0,110.0,110.0,110.0,20.0,-2.91
2021-02-15,112.45,112.45,112.45,112.45,20.0,2.23
2021-02-16,108.0,110.25,110.25,108.0,200.0,-3.96
2021-02-17,110.8,111.65,111.65,110.8,20.0,2.59
2021-02-18,111.5,110.8,111.5,110.8,710.0,0.63
2021-02-19,111.85,108.15,111.85,108.15,20.0,0.31
2021-02-23,109.0,108.25,109.0,108.25,110.0,-2.55
2021-02-24,108.0,109.0,109.0,108.0,750.0,-0.92
2021-02-25,108.05,108.1,108.1,108.05,100.0,0.05
2021-02-26,112.35,112.35,112.35,112.35,60.0,3.98
2021-03-01,108.0,108.0,108.0,108.0,11910.0,-3.87
2021-03-02,108.0,108.0,108.0,108.0,8930.0,0.0
2021-03-04,107.1,108.0,108.0,107.1,50.0,-0.83
2021-03-08,109.1,109.2,109.2,109.0,50.0,1.87
2021-03-09,105.0,109.9,110.0,105.0,320.0,-3.76
2021-03-11,107.1,108.0,108.0,107.1,330.0,2.0
2021-03-12,107.5,107.5,107.5,107.5,1190.0,0.37
2021-03-15,107.0,107.05,107.05,105.0,2590.0,-0.47
2021-03-16,108.5,108.5,108.5,108.5,60.0,1.4
2021-03-17,105.0,105.15,105.2,104.95,1480.0,-3.23
2021-03-18,104.75,105.0,105.0,104.75,260.0,-0.24
2021-03-19,101.5,104.75,104.75,101.0,1390.0,-3.1
2021-03-22,100.0,101.6,102.5,100.0,9750.0,-1.48
2021-03-23,103.95,103.95,103.95,103.95,1000.0,3.95
2021-03-24,104.75,104.7,104.75,104.7,50.0,0.77
2021-03-26,104.7,104.7,104.7,104.7,10.0,-0.05
2021-03-29,103.0,104.0,104.0,101.2,270.0,-1.62
2021-03-31,103.0,101.0,103.0,99.0,2190.0,0.0
2021-04-01,101.0,102.9,102.9,99.0,680.0,-1.94
2021-04-02,102.9,99.2,102.9,99.0,2190.0,1.88
2021-04-05,102.8,98.8,102.8,98.8,50.0,-0.1
2021-04-06,102.75,100.75,102.75,98.7,510.0,-0.05
2021-04-08,98.65,98.68,99.0,98.65,1230.0,-3.99
2021-04-12,100.0,100.0,100.0,100.0,0.0,1.37
