Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,162.0,162.0,162.0,162.0,6000.0,1.25
2021-01-06,166.0,166.0,166.0,166.0,0.0,2.47
2021-01-08,166.0,166.0,166.0,166.0,20.0,0.0
2021-01-12,162.0,162.0,162.0,162.0,20.0,-2.41
2021-01-15,162.5,163.0,163.0,162.0,260.0,0.31
2021-01-18,166.0,163.0,166.0,163.0,610.0,2.15
2021-01-19,166.0,166.0,166.0,163.0,60.0,0.0
2021-01-20,164.15,166.0,166.0,164.05,50.0,-1.11
2021-01-21,169.0,165.0,169.0,165.0,30.0,2.95
2021-01-22,175.0,169.0,175.0,169.0,80.0,3.55
2021-01-26,174.95,174.95,174.95,174.95,0.0,-0.03
2021-01-27,173.0,169.35,173.0,169.35,40.0,-1.11
2021-02-02,173.0,173.0,173.0,173.0,10.0,0.0
2021-02-03,170.0,170.0,170.0,170.0,0.0,-1.73
2021-02-04,172.0,172.0,172.0,172.0,0.0,1.18
2021-02-08,168.0,170.0,170.0,168.0,50.0,-2.33
2021-02-09,168.0,168.0,168.0,168.0,10.0,0.0
2021-02-15,172.0,172.0,172.0,171.5,60.0,2.38
2021-02-19,173.0,172.0,173.0,172.0,100.0,0.58
2021-02-24,172.0,172.0,172.0,172.0,550.0,-0.58
2021-03-01,172.95,172.95,172.95,172.95,40.0,0.55
2021-03-10,170.0,170.0,170.0,170.0,10.0,-1.71
2021-03-12,171.9,172.0,172.0,163.25,160.0,1.12
2021-03-16,170.0,170.0,170.0,170.0,110.0,-1.11
2021-03-22,170.0,170.0,170.0,170.0,30.0,0.0
2021-03-24,169.0,169.0,169.0,169.0,10.0,-0.59
2021-03-25,163.0,165.0,165.1,162.25,630.0,-3.55
2021-03-26,163.0,163.0,163.0,163.0,330.0,0.0
2021-04-07,169.25,165.0,169.25,164.0,3070.0,3.83
2021-04-08,166.0,166.0,166.0,166.0,3010.0,-1.92
2021-04-09,172.5,172.5,172.5,172.5,0.0,3.92
2021-04-12,170.0,172.0,172.0,169.0,20.0,-1.45
2021-04-13,167.55,167.55,167.55,167.55,0.0,-1.44
2021-04-23,164.2,166.0,166.0,161.0,3010.0,-2.0
2021-04-26,161.0,164.25,164.25,161.0,17000.0,-1.95
2021-04-29,162.0,162.0,162.0,162.0,150.0,0.62
2021-05-06,168.45,167.4,168.45,167.4,6700.0,3.98
2021-05-10,171.55,175.0,175.0,171.55,10.0,1.84
2021-05-11,176.0,175.0,176.0,175.0,50.0,2.59
2021-05-12,182.0,178.95,182.0,178.95,210.0,3.41
2021-05-17,189.25,187.7,189.25,182.6,160.0,3.98
2021-05-18,196.8,183.15,196.8,183.15,2890.0,3.99
2021-05-19,204.65,200.0,204.65,200.0,730.0,3.99
2021-05-20,212.8,208.0,212.8,208.0,510.0,3.98
2021-05-21,221.3,221.3,221.3,221.3,130.0,3.99
2021-05-24,230.15,230.15,230.15,230.15,470.0,4.0
2021-05-25,222.0,221.05,232.0,221.05,1130.0,-3.54
2021-05-26,224.7,230.85,230.85,215.0,910.0,1.22
2021-05-28,220.0,220.0,220.0,220.0,10.0,-2.09
2021-05-31,218.95,218.0,218.95,214.0,80.0,-0.48
2021-06-01,214.05,214.6,214.6,214.0,320.0,-2.24
2021-06-02,215.0,214.0,215.0,214.0,240.0,0.44
2021-06-03,214.0,214.0,214.1,214.0,250.0,-0.47
2021-06-04,214.5,214.0,214.5,214.0,30.0,0.23
2021-06-07,211.5,214.0,214.5,210.0,400.0,-1.4
2021-06-08,215.0,213.0,215.0,213.0,220.0,1.65
2021-06-09,217.0,211.2,217.0,211.2,410.0,0.93
