Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,500.0,500.0,500.0,500.0,80.0,3.95
2021-01-05,515.0,514.9,515.0,514.9,5570.0,3.0
2021-01-06,519.9,515.3,524.0,515.0,720.0,0.95
2021-01-13,515.0,519.4,519.4,499.25,80.0,-0.94
2021-01-14,526.7,515.0,526.7,515.0,100.0,2.27
2021-01-15,520.0,520.0,520.0,520.0,10.0,-1.27
2021-01-18,530.1,520.0,537.0,520.0,190.0,1.94
2021-01-19,538.5,530.0,539.5,530.0,110.0,1.58
2021-01-20,540.0,538.0,540.0,538.0,110.0,0.28
2021-01-21,549.0,540.0,549.0,540.0,170.0,1.67
2021-01-22,558.0,545.0,558.0,545.0,6470.0,1.64
2021-01-26,564.0,558.0,569.1,558.0,1040.0,1.08
2021-01-27,562.0,542.1,562.0,542.1,10.0,-0.35
2021-01-28,545.1,550.0,550.0,545.0,660.0,-3.01
2021-01-29,545.0,545.1,545.2,544.9,480.0,-0.02
2021-02-01,558.9,559.9,559.9,545.0,30.0,2.55
2021-02-03,558.9,555.0,558.9,555.0,20.0,0.0
2021-02-04,560.0,560.0,560.0,560.0,150.0,0.2
2021-02-08,540.5,540.5,540.5,540.5,1010.0,-3.48
2021-02-09,540.5,540.5,540.5,540.5,50.0,0.0
2021-02-16,538.1,538.1,538.2,538.1,10.0,-0.44
2021-02-19,540.0,540.0,540.0,540.0,60.0,0.35
2021-02-22,540.0,540.0,540.0,540.0,40.0,0.0
2021-02-23,538.1,538.1,538.1,538.1,20.0,-0.35
2021-02-25,521.0,521.0,521.0,521.0,10.0,-3.18
2021-02-26,510.0,507.0,510.0,507.0,60.0,-2.11
2021-03-02,511.0,511.0,511.0,511.0,10.0,0.2
2021-03-04,520.0,520.0,520.0,520.0,0.0,1.76
2021-03-08,521.0,520.1,521.0,520.0,590.0,0.19
2021-03-09,520.0,520.0,520.0,520.0,50.0,-0.19
2021-03-11,520.0,520.1,520.1,520.0,20.0,0.0
2021-03-12,540.7,540.0,540.7,540.0,60.0,3.98
2021-03-17,540.5,540.5,540.5,540.5,20.0,-0.04
2021-03-18,550.0,545.0,550.0,545.0,2590.0,1.76
2021-03-19,551.0,551.0,551.0,550.0,1700.0,0.18
2021-03-22,557.5,557.5,557.5,557.5,20.0,1.18
2021-03-23,550.0,550.5,550.5,550.0,40.0,-1.35
2021-03-25,550.0,550.0,550.0,550.0,160.0,0.0
2021-03-26,570.0,560.0,570.0,560.0,1520.0,3.64
2021-03-29,551.2,570.0,570.0,551.2,20.0,-3.3
2021-03-30,561.0,561.0,561.0,561.0,20.0,1.78
2021-03-31,549.8,550.0,550.0,549.8,58090.0,-2.0
2021-04-16,549.9,549.9,549.9,549.9,5000.0,0.02
2021-04-20,549.0,549.0,549.0,549.0,2500.0,-0.16
2021-04-23,528.0,528.0,528.0,528.0,0.0,-3.83
2021-04-28,530.0,530.0,530.0,530.0,10.0,0.38
2021-04-29,530.0,530.1,530.1,530.0,70.0,0.0
2021-04-30,530.0,530.0,530.0,530.0,10.0,0.0
2021-05-03,530.0,530.0,530.0,530.0,30.0,0.0
2021-05-04,528.0,528.0,528.0,528.0,10.0,-0.38
2021-05-05,528.0,528.0,528.0,528.0,0.0,0.0
2021-05-06,520.0,520.0,520.0,520.0,10.0,-1.52
2021-05-07,540.7,521.3,540.7,521.3,4000.0,3.98
2021-05-10,549.0,549.0,549.0,549.0,10.0,1.54
2021-05-11,545.0,545.0,547.0,545.0,8260.0,-0.73
2021-05-12,545.1,545.0,549.0,545.0,10120.0,0.02
