Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,2000.0,1965.0,2012.0,1965.0,80.0,3.36
2021-01-05,2020.0,2000.0,2020.0,2000.0,320.0,1.0
2021-01-06,2050.0,2025.0,2070.0,2022.0,330.0,1.49
2021-01-07,2040.0,2012.0,2040.0,2012.0,20.0,-0.49
2021-01-08,2020.0,2005.0,2020.0,2000.0,40.0,-0.98
2021-01-12,2020.0,2020.0,2020.0,2020.0,0.0,0.0
2021-01-13,2039.0,2039.0,2039.0,2039.0,0.0,0.94
2021-01-14,2000.0,2039.0,2039.0,2000.0,0.0,-1.91
2021-01-15,2000.0,2000.0,2000.0,2000.0,10.0,0.0
2021-01-18,1980.0,1980.0,1981.0,1950.0,210.0,-1.0
2021-01-19,1930.0,1980.0,1981.0,1930.0,210.0,-2.53
2021-01-20,1913.0,1980.0,1980.0,1900.0,230.0,-0.88
2021-01-21,1915.0,1949.0,1950.0,1915.0,470.0,0.1
2021-01-22,1933.0,1916.0,1933.0,1900.0,120.0,0.94
2021-01-25,1913.0,1910.0,1913.0,1910.0,10.0,-1.03
2021-01-26,1930.0,1949.0,1970.0,1930.0,770.0,0.89
2021-01-27,1950.0,1931.0,1950.0,1930.0,190.0,1.04
2021-01-28,1900.0,1931.0,1938.0,1898.0,1340.0,-2.56
2021-01-29,1930.0,1950.0,1950.0,1900.0,3810.0,1.58
2021-02-01,2007.0,1993.0,2007.0,1992.0,3850.0,3.99
2021-02-02,2020.0,2000.0,2039.0,1993.0,6190.0,0.65
2021-02-03,2029.0,2019.0,2029.0,2019.0,110.0,0.45
2021-02-04,1990.0,2017.0,2019.0,1990.0,260.0,-1.92
2021-02-05,2015.0,1982.0,2015.0,1982.0,130.0,1.26
2021-02-08,2048.0,2010.0,2048.0,2005.0,650.0,1.64
2021-02-09,2040.0,2010.0,2121.0,2000.0,950.0,-0.39
2021-02-10,2050.0,2032.0,2050.0,1986.0,850.0,0.49
2021-02-11,2050.0,2085.0,2085.0,2050.0,80.0,0.0
2021-02-12,2050.0,2016.0,2094.0,2016.0,230.0,0.0
2021-02-15,2069.0,2052.0,2069.0,2051.0,70.0,0.93
2021-02-16,2045.0,2051.0,2051.0,2045.0,170.0,-1.16
2021-02-17,2042.0,2045.0,2045.0,2002.0,70.0,-0.15
2021-02-18,2050.0,2010.0,2050.0,2010.0,30.0,0.39
2021-02-19,2049.0,2020.0,2049.0,2020.0,70.0,-0.05
2021-02-22,2040.0,2049.0,2049.0,2040.0,0.0,-0.44
2021-02-23,2040.0,2049.0,2079.0,2040.0,2650.0,0.0
2021-02-24,2060.0,2040.0,2060.0,2040.0,30.0,0.98
2021-02-25,2040.0,2040.0,2040.0,2011.0,20.0,-0.97
2021-02-26,2040.0,2017.0,2040.0,1991.0,370.0,0.0
2021-03-01,2040.0,2040.0,2040.0,2040.0,50.0,0.0
2021-03-02,2054.0,2005.0,2054.0,2001.0,1680.0,0.69
2021-03-03,2054.0,2054.0,2054.0,2054.0,0.0,0.0
2021-03-04,2044.0,2021.0,2044.0,2020.0,30.0,-0.49
2021-03-05,2061.0,2021.0,2061.0,2003.0,620.0,0.83
2021-03-08,1981.0,2093.0,2093.0,1979.0,9520.0,-3.88
2021-03-09,1985.0,1988.0,1998.0,1978.0,2730.0,0.2
2021-03-10,2025.0,2027.0,2027.0,2025.0,0.0,2.02
2021-03-11,2026.0,2028.0,2028.0,2026.0,0.0,0.05
2021-03-12,2033.0,1986.0,2033.0,1986.0,110.0,0.35
2021-03-15,2005.0,1985.0,2005.0,1985.0,30.0,-1.38
2021-03-16,2008.0,2009.0,2010.0,1985.0,680.0,0.15
2021-03-17,2000.0,1990.0,2000.0,1972.0,660.0,-0.4
2021-03-18,1998.0,1991.0,2030.0,1991.0,10.0,-0.1
2021-03-19,2003.0,1987.0,2003.0,1987.0,120.0,0.25
2021-03-22,1986.0,1986.0,1989.0,1985.0,100.0,-0.85
2021-03-23,1980.0,1985.0,1986.0,1980.0,10.0,-0.3
2021-03-24,1978.0,1955.0,1997.0,1951.0,80.0,-0.1
2021-03-25,1940.0,1950.0,1950.0,1940.0,40.0,-1.92
2021-03-26,1950.0,1946.0,1950.0,1945.0,40.0,0.52
2021-03-29,1945.0,1946.0,1946.0,1945.0,130.0,-0.26
2021-03-30,1950.0,1952.0,1952.0,1950.0,870.0,0.26
2021-03-31,1953.0,1953.0,1953.0,1953.0,10.0,0.15
2021-04-01,1956.0,1955.0,1990.0,1951.0,40.0,0.15
2021-04-02,1962.0,1985.0,1985.0,1962.0,10.0,0.31
2021-04-05,1960.0,1959.0,1960.0,1958.0,30.0,-0.1
2021-04-06,1980.0,1961.0,1980.0,1961.0,20.0,1.02
2021-04-07,1980.0,1962.0,1980.0,1962.0,40.0,0.0
2021-04-08,1983.0,1982.0,1983.0,1981.0,10.0,0.15
2021-04-09,1995.0,1990.0,1995.0,1990.0,0.0,0.61
2021-04-12,1981.0,1982.0,1982.0,1980.0,20.0,-0.7
2021-04-13,2039.0,1981.0,2039.0,1981.0,80.0,2.93
2021-04-14,2037.0,1986.0,2037.0,1986.0,10.0,-0.1
2021-04-15,2037.0,2034.0,2037.0,2034.0,60.0,0.0
2021-04-16,2034.0,2037.0,2040.0,2034.0,30.0,-0.15
2021-04-19,2082.0,2031.0,2110.0,2031.0,580.0,2.36
2021-04-20,2113.0,2084.0,2113.0,2083.0,160.0,1.49
2021-04-21,2138.0,2133.0,2138.0,2133.0,240.0,1.18
2021-04-22,2100.0,2140.0,2140.0,2100.0,220.0,-1.78
2021-04-23,2110.0,2110.0,2110.0,2110.0,30.0,0.48
2021-04-26,2180.0,2135.0,2180.0,2101.0,1400.0,3.32
2021-04-27,2180.0,2177.0,2180.0,2177.0,60.0,0.0
2021-04-28,2150.0,2179.0,2179.0,2150.0,110.0,-1.38
2021-04-29,2135.0,2136.0,2136.0,2120.0,110.0,-0.7
2021-04-30,2150.0,2135.0,2150.0,2134.0,220.0,0.7
2021-05-03,2194.0,2166.0,2195.0,2150.0,280.0,2.05
2021-05-04,2200.0,2268.0,2268.0,2170.0,540.0,0.27
2021-05-05,2206.0,2257.0,2257.0,2205.0,110.0,0.27
2021-05-06,2235.0,2206.0,2235.0,2206.0,20.0,1.31
2021-05-07,2279.0,2250.0,2285.0,2250.0,350.0,1.97
2021-05-10,2250.0,2245.0,2283.0,2245.0,100.0,-1.27
2021-05-11,2314.0,2260.0,2314.0,2260.0,170.0,2.84
2021-05-12,2320.0,2319.0,2328.0,2319.0,100.0,0.26
2021-05-17,2345.0,2325.0,2345.0,2321.0,300.0,1.08
2021-05-18,2419.0,2370.0,2430.0,2370.0,340.0,3.16
2021-05-19,2398.0,2420.0,2420.0,2380.0,180.0,-0.87
2021-05-20,2341.0,2397.0,2397.0,2341.0,160.0,-2.38
2021-05-21,2351.0,2260.0,2370.0,2260.0,2230.0,0.43
2021-05-24,2257.0,2257.0,2257.0,2257.0,0.0,-4.0
2021-05-25,2167.0,2167.0,2167.0,2167.0,40.0,-3.99
2021-05-26,2081.0,2081.0,2099.0,2081.0,5400.0,-3.97
