Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,10.31,10.62,10.62,10.31,350.0,-0.29
2021-01-05,10.62,9.9,10.62,9.9,7640.0,3.01
2021-01-06,10.26,11.04,11.04,10.26,7530.0,-3.39
2021-01-07,10.65,10.65,10.65,10.65,20.0,3.8
2021-01-08,11.0,11.0,11.0,11.0,120.0,3.29
2021-01-12,11.0,11.0,11.0,11.0,540.0,0.0
2021-01-13,10.99,10.95,10.99,10.57,260.0,-0.09
2021-01-14,10.61,10.99,10.99,10.61,590.0,-3.46
2021-01-15,10.94,10.95,10.95,10.58,340.0,3.11
2021-01-18,10.92,10.92,10.92,10.92,70.0,-0.18
2021-01-19,11.03,11.03,11.03,11.03,250.0,1.01
2021-01-21,10.97,11.0,11.0,10.6,550.0,-0.54
2021-01-22,11.02,11.02,11.02,10.61,350.0,0.46
2021-01-25,11.19,11.19,11.19,11.19,80.0,1.54
2021-01-26,11.3,11.29,11.3,11.02,1990.0,0.98
2021-01-27,11.4,11.7,11.7,11.2,990.0,0.88
2021-01-28,11.79,11.83,11.83,11.79,100.0,3.42
2021-01-29,11.78,11.82,11.82,11.78,130.0,-0.08
2021-02-01,11.33,11.82,11.82,11.31,490.0,-3.82
2021-02-02,11.33,11.33,11.33,11.33,300.0,0.0
2021-02-03,10.9,11.33,11.33,10.9,680.0,-3.8
2021-02-04,11.33,11.33,11.33,11.33,620.0,3.94
2021-02-05,11.5,11.5,11.5,11.5,70.0,1.5
2021-02-08,11.69,11.81,11.81,11.69,80.0,1.65
2021-02-09,11.54,11.76,11.76,11.53,130.0,-1.28
2021-02-10,11.71,11.72,11.72,11.15,140.0,1.47
2021-02-11,11.65,11.71,11.71,11.65,390.0,-0.51
2021-02-12,11.71,11.71,11.71,11.71,70.0,0.52
2021-02-15,11.68,11.68,11.68,11.68,70.0,-0.26
2021-02-16,11.5,11.31,11.5,11.31,970.0,-1.54
2021-02-17,11.64,11.64,11.64,11.64,70.0,1.22
2021-02-19,11.65,11.64,11.65,11.64,430.0,0.09
2021-02-22,11.69,11.69,11.69,11.62,950.0,0.34
2021-02-23,11.86,11.8,11.86,11.63,250.0,1.45
2021-02-24,11.86,11.86,11.86,11.86,70.0,0.0
2021-02-25,11.5,11.85,11.85,11.5,3030.0,-3.04
2021-02-26,11.81,11.75,11.81,11.75,280.0,2.7
2021-03-01,11.82,11.82,11.82,11.82,200.0,0.08
2021-03-04,11.8,11.52,11.8,11.52,60.0,-0.17
2021-03-05,11.5,11.5,11.55,11.5,1920.0,-2.54
