Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-29,134.6,134.6,134.6,134.6,10.0,1.97
2021-02-04,137.25,137.25,137.25,137.25,10.0,1.97
2021-02-05,138.5,138.5,138.5,138.5,40.0,0.91
2021-02-09,141.25,141.25,141.25,141.25,10.0,1.99
2021-02-11,144.05,144.05,144.05,144.05,10.0,1.98
2021-02-12,146.9,146.9,146.9,146.9,10.0,1.98
2021-02-15,148.95,148.95,148.95,148.95,10.0,1.4
2021-02-16,148.95,148.95,148.95,148.95,60.0,0.0
2021-02-17,149.95,149.95,149.95,149.95,0.0,0.67
2021-02-22,149.9,149.9,149.9,149.9,10.0,-0.03
2021-03-16,149.0,149.0,149.0,149.0,10.0,-0.6
2021-04-21,150.0,150.0,150.0,150.0,90.0,0.67
2021-04-22,150.0,150.0,150.0,150.0,0.0,0.0
2021-04-23,150.0,150.0,150.0,150.0,100.0,0.0
2021-04-26,152.95,152.95,152.95,152.95,0.0,1.97
2021-04-27,156.0,156.0,156.0,156.0,0.0,1.99
2021-05-12,153.0,153.0,153.0,153.0,0.0,-1.92
2021-05-17,150.0,150.0,150.0,150.0,60.0,-1.96
2021-05-18,150.0,150.0,150.0,150.0,100.0,0.0
2021-05-20,150.0,150.0,150.0,150.0,130.0,0.0
2021-05-21,150.0,150.0,150.0,150.0,0.0,0.0
2021-05-25,150.0,150.0,150.0,150.0,10.0,0.0
2021-06-03,150.0,150.0,150.0,150.0,100.0,0.0
2021-06-10,150.0,150.0,150.0,150.0,50.0,0.0
2021-06-11,150.0,150.0,150.0,150.0,480.0,0.0
2021-06-14,150.0,150.0,150.0,150.0,100.0,0.0
2021-06-15,147.1,147.1,147.1,147.1,70.0,-1.93
2021-06-17,149.9,149.9,149.9,149.9,10.0,1.9
2021-06-21,146.95,146.95,146.95,146.95,0.0,-1.97
2021-06-22,146.0,146.0,146.0,146.0,130.0,-0.65
2021-06-24,144.0,144.0,144.0,144.0,50.0,-1.37
2021-06-25,144.9,144.9,144.9,144.9,0.0,0.62
2021-06-28,145.95,145.95,145.95,145.95,10.0,0.72
2021-06-29,145.95,145.95,145.95,145.95,0.0,0.0
2021-06-30,148.8,148.8,148.8,148.8,0.0,1.95
2021-07-01,148.8,148.8,148.8,148.8,0.0,0.0
2021-07-05,149.95,149.95,149.95,149.95,150.0,0.77
2021-07-06,150.5,150.5,150.5,150.5,0.0,0.37
2021-07-07,150.0,150.0,150.0,150.0,10.0,-0.33
2021-07-08,150.0,150.0,150.0,150.0,0.0,0.0
2021-07-12,152.95,152.95,152.95,152.95,10.0,1.97
2021-07-13,153.45,153.45,153.45,153.45,0.0,0.33
2021-07-15,153.5,153.5,153.5,153.5,50.0,0.03
2021-07-16,155.0,155.0,155.0,155.0,10.0,0.98
2021-07-19,156.3,156.3,156.3,156.3,50.0,0.84
2021-07-23,156.0,156.0,156.0,156.0,3700.0,-0.19
2021-08-02,159.1,159.1,159.1,159.1,0.0,1.99
2021-08-05,159.5,159.5,159.5,159.5,10.0,0.25
2021-08-06,160.0,160.0,160.0,160.0,0.0,0.31
2021-08-23,156.85,156.85,156.85,156.85,0.0,-1.97
2021-08-24,155.1,155.1,155.1,155.1,70.0,-1.12
2021-08-26,155.1,155.1,155.1,155.1,20.0,0.0
2021-08-27,154.0,154.0,154.0,154.0,40.0,-0.71
2021-08-30,154.0,154.0,154.0,154.0,0.0,0.0
2021-08-31,153.0,153.0,153.0,153.0,50.0,-0.65
2021-09-07,155.1,155.1,155.1,155.1,0.0,1.37
2021-09-13,152.95,152.95,152.95,152.95,30.0,-1.39
2021-09-14,149.9,149.9,149.9,149.9,20.0,-1.99
2021-09-15,147.0,147.0,147.0,147.0,410.0,-1.93
2021-09-16,147.0,147.0,147.0,147.0,490.0,0.0
2021-09-17,149.9,149.9,149.9,149.9,10.0,1.97
2021-09-21,149.9,149.9,149.9,149.9,100.0,0.0
2021-09-22,150.1,150.1,150.1,150.1,20.0,0.13
2021-09-24,148.0,148.0,148.0,148.0,200.0,-1.4
2021-09-27,147.1,147.1,147.1,147.1,0.0,-0.61
2021-10-01,147.0,147.0,147.0,147.0,40.0,-0.07
2021-10-04,149.0,149.0,149.0,149.0,10.0,1.36
2021-10-05,151.0,151.0,151.0,151.0,10.0,1.34
2021-10-12,149.0,149.0,149.0,149.0,80.0,-1.32
2021-10-21,149.0,149.0,149.0,149.0,30.0,0.0
2021-10-22,143.05,143.05,143.05,143.05,10.0,-3.99
2021-10-26,137.35,137.35,137.35,137.35,360.0,-3.98
2021-10-27,136.0,136.0,136.0,136.0,330.0,-0.98
2021-10-28,141.4,141.4,141.4,141.4,110.0,3.97
2021-10-29,147.0,147.0,147.0,147.0,20.0,3.96
2021-11-01,141.4,141.4,141.4,141.4,90.0,-3.81
2021-11-02,147.0,147.0,147.0,147.0,30.0,3.96
2021-11-03,152.85,152.85,152.85,152.85,20.0,3.98
2021-11-04,158.9,158.9,158.9,158.9,30.0,3.96
2021-11-08,159.8,159.8,159.8,159.8,60.0,0.57
2021-11-10,158.85,158.85,158.85,158.85,0.0,-0.59
2021-11-16,157.0,157.0,157.0,157.0,10.0,-1.16
2021-11-19,154.0,154.0,154.0,154.0,10.0,-1.91
2021-11-24,151.15,151.15,151.15,151.15,10.0,-1.85
2021-11-25,151.15,151.15,151.15,151.15,10.0,0.0
2021-11-26,150.0,150.0,150.0,150.0,20.0,-0.76
2021-12-03,150.0,150.0,150.0,150.0,10.0,0.0
2021-12-20,148.0,148.0,148.0,148.0,0.0,-1.33
2021-12-28,146.0,146.0,146.0,146.0,30.0,-1.35
2021-12-29,146.0,146.0,146.0,146.0,60.0,0.0
2021-12-30,147.0,147.0,147.0,147.0,10.0,0.68
2021-12-31,151.45,151.45,151.45,151.45,0.0,3.03
