Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-12-17,164.5,164.5,164.5,164.5,482210.0,10.0
2021-12-20,165.5,180.9,180.9,164.5,1530000.0,0.61
2021-12-21,163.05,164.0,165.0,160.0,312720.0,-1.48
2021-12-22,168.05,164.0,171.0,163.2,317590.0,3.07
2021-12-23,168.0,166.1,168.0,165.5,75410.0,-0.03
2021-12-24,168.0,167.0,169.1,166.55,69480.0,0.0
2021-12-27,168.0,166.5,168.0,166.35,54440.0,0.0
2021-12-28,168.3,167.2,168.95,167.2,93270.0,0.18
2021-12-29,170.1,168.3,171.0,168.3,188060.0,1.07
2021-12-30,170.35,170.2,171.0,170.2,80460.0,0.15
2021-12-31,170.4,170.1,171.7,170.1,64970.0,0.03
2022-01-03,170.1,170.05,170.5,170.05,44050.0,-0.18
2022-01-04,170.15,170.05,170.5,170.05,34320.0,0.03
2022-01-05,168.5,170.1,170.15,168.0,56590.0,-0.97
2022-01-06,168.0,168.2,169.9,168.0,37750.0,-0.3
2022-01-07,169.9,167.05,170.1,166.0,125290.0,1.13
2022-01-10,171.0,169.0,171.0,168.7,85980.0,0.65
2022-01-12,177.0,171.5,177.0,171.25,116150.0,3.51
2022-01-13,178.1,176.5,180.75,176.5,119780.0,0.62
2022-01-14,180.0,178.1,181.0,178.1,117600.0,1.07
2022-01-17,180.2,179.0,180.9,178.5,48880.0,0.11
2022-01-18,182.0,180.45,182.95,180.45,96440.0,1.0
2022-01-19,187.05,183.0,189.0,183.0,105420.0,2.77
2022-01-20,189.0,188.0,191.95,187.5,61650.0,1.04
2022-01-21,186.05,188.0,189.0,186.05,26680.0,-1.56
2022-01-24,185.0,184.6,186.0,184.5,26510.0,-0.56
2022-01-25,179.05,184.65,184.65,178.0,15420.0,-3.22
2022-01-26,181.15,179.0,183.9,179.0,6620.0,1.17
2022-01-27,183.0,181.5,183.5,181.5,11680.0,1.02
2022-01-28,183.0,184.0,184.9,180.75,9740.0,0.0
2022-01-31,180.0,183.0,183.0,180.0,5190.0,-1.64
2022-02-01,181.1,180.0,181.85,180.0,17350.0,0.61
2022-02-02,183.65,180.65,185.5,180.4,63870.0,1.41
2022-02-03,185.0,185.9,185.9,180.6,34410.0,0.74
2022-02-04,182.7,183.15,185.9,182.7,24390.0,-1.24
2022-02-07,190.0,182.7,191.0,181.5,133240.0,4.0
2022-02-08,188.5,190.0,190.0,186.05,21550.0,-0.79
2022-02-09,188.0,188.5,188.5,186.25,16210.0,-0.27
2022-02-10,190.05,188.5,190.9,186.65,59400.0,1.09
2022-02-11,189.0,189.1,190.7,188.2,18670.0,-0.55
2022-02-14,184.05,187.25,187.9,184.05,26300.0,-2.62
2022-02-15,185.5,184.0,185.5,184.0,7510.0,0.79
2022-02-16,185.0,185.0,185.6,184.55,8680.0,-0.27
2022-02-17,186.05,184.5,187.0,184.5,21210.0,0.57
2022-02-18,186.0,185.5,186.05,185.05,28770.0,-0.03
2022-02-21,184.0,184.75,185.5,184.0,11610.0,-1.08
2022-02-22,179.0,183.85,183.85,178.1,40130.0,-2.72
2022-02-23,181.0,178.1,182.0,178.0,5000.0,1.12
2022-02-24,170.15,180.0,182.0,170.15,53800.0,-5.99
2022-02-25,178.0,170.0,178.95,170.0,37050.0,4.61
2022-02-28,175.0,178.5,178.5,175.0,8520.0,-1.69
2022-03-01,171.0,173.1,174.9,171.0,22170.0,-2.29
2022-03-02,168.0,171.0,172.0,166.85,13440.0,-1.75
2022-03-03,165.0,165.0,167.0,160.1,22390.0,-1.79
2022-03-04,160.1,161.0,165.0,160.05,48390.0,-2.97
2022-03-07,159.0,160.0,160.0,150.5,54570.0,-0.69
2022-03-08,168.5,160.0,168.5,160.0,56760.0,5.97
2022-03-09,168.5,169.0,174.0,168.5,28710.0,0.0
2022-03-10,165.0,169.0,172.0,165.0,13450.0,-2.08
2022-03-11,164.5,167.9,168.0,158.0,29920.0,-0.3
2022-03-14,162.15,161.0,166.9,161.0,5980.0,-1.43
2022-03-15,167.0,162.05,167.9,162.05,5400.0,2.99
2022-03-16,167.35,165.0,167.5,165.0,4160.0,0.21
2022-03-17,172.0,167.0,172.5,166.0,50050.0,2.78
2022-03-18,169.5,168.6,171.9,168.3,28220.0,-1.45
2022-03-21,170.8,169.6,171.0,169.0,880.0,0.77
2022-03-22,166.15,169.0,170.0,166.15,14800.0,-2.72
2022-03-23,158.9,167.0,167.0,158.9,16370.000000000002,-4.36
2022-03-24,157.0,159.0,159.95,157.0,11090.0,-1.2
2022-03-25,158.1,155.1,159.9,155.1,33460.0,0.7
2022-03-28,161.5,160.0,162.0,158.0,6030.0,2.15
2022-03-29,162.0,159.2,162.0,158.3,5260.0,0.31
2022-03-30,162.0,162.0,162.0,159.0,10330.0,0.0
2022-03-31,159.25,161.9,161.9,158.7,3910.0,-1.7
2022-04-01,160.0,159.25,161.0,159.25,5850.0,0.47
2022-04-04,158.5,158.15,160.0,158.15,1410.0,-0.94
2022-04-05,160.0,158.15,160.0,158.15,1100.0,0.95
2022-04-06,162.0,160.0,162.0,158.25,4010.0,1.25
2022-04-07,162.0,160.25,162.5,160.25,21940.0,0.0
2022-04-08,162.9,162.1,162.9,162.1,1130.0,0.56
2022-04-11,163.0,162.55,164.0,162.55,5620.0,0.06
2022-04-12,171.95,163.5,172.75,163.5,16079.999999999998,5.49
2022-04-13,169.85,171.95,171.95,167.0,3590.0,-1.22
2022-04-14,169.95,169.0,170.0,165.2,23320.0,0.06
2022-04-15,167.5,167.15,168.3,165.6,4290.0,-1.44
2022-04-18,165.0,166.0,170.0,165.0,21630.0,-1.49
2022-04-19,165.0,166.0,166.0,165.0,2400.0,0.0
2022-04-20,163.95,165.0,165.9,163.95,7820.0,-0.64
2022-04-21,163.0,165.0,165.95,163.0,11540.0,-0.58
2022-04-22,161.95,162.5,162.5,160.5,10280.0,-0.64
2022-04-25,161.95,161.0,161.95,160.0,6680.0,0.0
2022-04-26,160.0,161.0,161.8,160.0,5730.0,-1.2
2022-04-27,163.0,160.0,163.0,160.0,17880.0,1.88
2022-04-28,162.0,162.0,162.95,160.5,7820.0,-0.61
2022-04-29,160.0,161.85,162.0,159.25,5660.0,-1.23
2022-05-04,160.0,160.0,161.9,159.0,5460.0,0.0
2022-05-05,160.0,159.05,161.0,159.0,5520.0,0.0
2022-05-06,160.0,159.0,160.0,158.5,2610.0,0.0
2022-05-09,161.0,160.0,161.85,158.4,1760.0,0.63
2022-05-10,159.9,160.0,160.0,157.0,9080.0,-0.68
2022-05-11,158.25,154.5,159.7,154.5,10850.0,-1.03
2022-05-12,156.45,158.3,158.5,156.45,5200.0,-1.14
2022-05-13,159.65,156.0,159.8,156.0,13750.0,2.05
2022-05-16,157.5,155.5,159.0,155.5,2260.0,-1.35
2022-05-17,157.0,157.5,158.0,156.0,3360.0,-0.32
2022-05-18,156.0,156.1,158.0,156.0,2400.0,-0.64
2022-05-19,156.0,156.0,158.95,155.6,25520.0,0.0
2022-05-20,155.0,155.2,156.95,155.0,5530.0,-0.64
2022-05-23,154.95,155.0,156.4,153.05,2100.0,-0.03
2022-05-24,150.0,153.2,154.0,145.7,18000.0,-3.19
2022-05-25,149.0,149.0,149.0,146.0,10150.0,-0.67
2022-05-26,146.6,146.15,148.95,146.15,10100.0,-1.61
2022-05-27,142.1,146.7,147.5,141.5,17570.0,-3.07
2022-05-30,143.0,143.0,145.75,141.05,10500.0,0.63
2022-05-31,146.0,142.9,151.55,142.0,33140.0,2.1
2022-06-01,148.5,145.55,151.85,145.5,5930.0,1.71
2022-06-02,145.7,147.0,148.5,145.0,4400.0,-1.89
2022-06-03,146.95,147.5,147.5,145.7,9540.0,0.86
2022-06-06,148.9,147.0,148.95,146.65,3410.0,1.33
2022-06-07,148.0,148.0,150.0,147.0,2820.0,-0.6
2022-06-08,147.0,148.0,150.0,147.0,18010.0,-0.68
2022-06-09,145.0,147.0,148.95,142.5,108880.0,-1.36
2022-06-10,143.05,144.05,144.35,143.05,3480.0,-1.34
2022-06-13,143.0,145.0,145.0,142.7,4510.0,-0.03
2022-06-14,138.1,143.0,144.95,138.1,13640.0,-3.43
2022-06-15,140.0,138.0,142.0,136.1,11040.0,1.38
2022-06-16,140.0,138.05,140.0,138.05,1350.0,0.0
2022-06-17,138.0,138.05,141.0,138.0,20210.0,-1.43
2022-06-20,138.0,137.1,141.75,137.1,4340.0,0.0
2022-06-21,140.0,138.5,145.0,137.0,17090.0,1.45
2022-06-22,138.0,139.5,140.0,138.0,3210.0,-1.43
2022-06-23,137.0,138.0,138.2,137.0,2490.0,-0.72
2022-06-24,139.0,136.25,139.0,134.0,13160.0,1.46
2022-06-27,133.1,138.0,138.95,131.0,9010.0,-4.24
2022-06-28,138.0,133.1,138.0,133.0,2070.0,3.68
2022-06-29,136.0,133.1,137.0,133.1,4390.0,-1.45
2022-06-30,133.0,136.0,136.0,133.0,4220.0,-2.21
2022-07-01,126.2,133.1,133.1,126.2,11720.0,-5.11
2022-07-04,124.95,124.05,127.35,122.0,4300.0,-0.99
2022-07-05,129.7,124.1,129.95,124.1,3350.0,3.8
2022-07-06,128.0,124.0,128.0,124.0,2860.0,-1.31
2022-07-07,126.2,124.6,128.0,124.6,9080.0,-1.41
2022-07-08,128.0,127.9,128.4,125.05,930.0,1.43
2022-07-12,128.35,128.4,128.4,126.0,250.0,0.27
2022-07-13,129.95,128.35,130.0,127.5,1110.0,1.25
2022-07-14,128.0,127.5,130.0,127.5,940.0,-1.5
2022-07-15,129.95,128.0,129.95,127.6,270.0,1.52
2022-07-18,135.0,129.9,135.0,129.9,2610.0,3.89
2022-07-19,139.9,132.1,140.0,132.1,8020.0,3.63
2022-07-20,138.95,140.0,140.0,137.0,2870.0,-0.68
2022-07-21,135.0,135.0,139.0,135.0,1840.0,-2.84
2022-07-22,132.0,132.05,137.8,132.0,6100.0,-2.22
2022-07-25,135.0,137.5,138.0,133.0,840.0,2.27
2022-07-26,138.7,135.0,138.8,132.15,1620.0,2.74
2022-07-27,138.0,138.0,138.0,137.95,260.0,-0.5
