Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,1220.0,1200.0,1239.0,1200.0,120.0,1.67
2021-01-05,1220.0,1236.0,1236.0,1220.0,0.0,0.0
2021-01-06,1230.0,1220.0,1230.0,1215.0,1110.0,0.82
2021-01-07,1215.0,1215.0,1215.0,1215.0,0.0,-1.22
2021-01-08,1218.0,1230.0,1232.0,1218.0,20.0,0.25
2021-01-12,1211.0,1235.0,1235.0,1211.0,30.0,-0.57
2021-01-13,1234.0,1235.0,1235.0,1234.0,30.0,1.9
2021-01-14,1235.0,1233.0,1238.0,1233.0,130.0,0.08
2021-01-15,1227.0,1235.0,1237.0,1226.0,90.0,-0.65
2021-01-18,1237.0,1226.0,1237.0,1205.0,20.0,0.81
2021-01-19,1242.0,1213.0,1244.0,1213.0,3290.0,0.4
2021-01-20,1230.0,1230.0,1230.0,1230.0,10.0,-0.97
2021-01-21,1235.0,1217.0,1235.0,1216.0,1200.0,0.41
2021-01-22,1250.0,1239.0,1250.0,1223.0,10200.0,1.21
2021-01-25,1230.0,1222.0,1230.0,1222.0,80.0,-1.6
2021-01-26,1260.0,1252.0,1265.0,1231.0,150.0,2.44
2021-01-27,1236.0,1260.0,1260.0,1236.0,50.0,-1.9
2021-01-28,1250.0,1250.0,1259.0,1227.0,70.0,1.13
2021-01-29,1250.0,1240.0,1250.0,1240.0,320.0,0.0
2021-02-02,1250.0,1250.0,1260.0,1250.0,70.0,0.0
2021-02-03,1260.0,1260.0,1260.0,1260.0,1040.0,0.8
2021-02-04,1295.0,1260.0,1295.0,1260.0,4580.0,2.78
2021-02-05,1270.0,1285.0,1285.0,1270.0,90.0,-1.93
2021-02-08,1295.0,1295.0,1295.0,1287.0,5730.0,1.97
2021-02-09,1295.0,1290.0,1295.0,1290.0,2580.0,0.0
2021-02-10,1280.0,1280.0,1280.0,1244.0,3700.0,-1.16
2021-02-11,1274.0,1279.0,1279.0,1270.0,690.0,-0.47
2021-02-12,1280.0,1280.0,1280.0,1280.0,3340.0,0.47
2021-02-15,1280.0,1280.0,1280.0,1280.0,10.0,0.0
2021-02-17,1255.0,1280.0,1280.0,1255.0,30.0,-1.95
2021-02-18,1256.0,1256.0,1260.0,1256.0,30.0,0.08
2021-02-19,1270.0,1282.0,1282.0,1270.0,400.0,1.11
2021-02-22,1278.0,1259.0,1280.0,1240.0,390.0,0.63
2021-02-23,1254.0,1278.0,1278.0,1254.0,10.0,-1.88
