Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-03-17,1820.0,1760.0,1820.0,1760.0,30.0,3.41
2026-03-18,1795.0,1875.0,1875.0,1795.0,990.0,-1.37
2026-03-19,1835.0,1794.0,1849.0,1771.0,70180.0,2.23
2026-03-24,1870.0,1870.0,1885.0,1853.0,150.0,1.91
2026-03-25,1867.0,1870.0,1870.0,1810.0,1580.0,-0.16
2026-03-26,1864.0,1870.0,1870.0,1820.0,170.0,-0.16
2026-03-27,1770.0,1870.0,1870.0,1770.0,7570.0,-5.04
2026-03-30,1800.0,1770.0,1820.0,1770.0,50.0,1.69
2026-03-31,1750.0,1818.0,1818.0,1750.0,1810.0,-2.78
2026-04-01,1850.0,1810.0,1850.0,1800.0,650.0,5.71
2026-04-02,1847.0,1800.0,1850.0,1800.0,220.0,-0.16
2026-04-03,1800.0,1847.0,1847.0,1770.0,31240.0,-2.54
2026-04-06,1770.0,1834.0,1855.0,1770.0,14430.0,-1.67
2026-04-07,1755.0,1799.0,1799.0,1755.0,5300.0,-0.85
2026-04-08,1800.0,1850.0,1854.0,1800.0,1420.0,2.56
2026-04-09,1800.0,1830.0,1842.0,1800.0,1880.0,0.0
2026-04-10,1864.0,1830.0,1864.0,1830.0,1300.0,3.56
2026-04-13,1870.0,1850.0,1940.0,1820.0,2860.0,0.32
2026-04-14,1859.0,1900.0,1945.0,1859.0,4590.0,-0.59
2026-04-15,1886.0,1929.0,1940.0,1873.0,11230.0,1.45
2026-04-16,1870.0,1899.0,1899.0,1870.0,2080.0,-0.85
2026-04-17,1880.0,1855.0,1921.0,1850.0,11050.0,0.53
