Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-21,161.0,161.0,161.0,161.0,0.0,0.0
2021-04-02,161.0,161.0,161.0,161.0,5100.0,0.0
2021-04-19,160.0,160.0,160.0,160.0,20.0,-0.62
2021-05-07,160.0,160.0,160.0,160.0,10.0,0.0
2021-06-14,157.0,157.0,157.0,157.0,60.0,-1.88
2021-06-15,157.0,157.0,157.0,157.0,0.0,0.0
2021-06-16,154.0,154.0,154.0,154.0,50.0,-1.91
2021-06-21,150.95,150.95,150.95,150.95,50.0,-1.98
2021-06-22,147.95,147.95,147.95,147.95,110.0,-1.99
2021-06-23,145.0,145.0,145.0,145.0,60.0,-1.99
2021-06-25,145.0,145.0,145.0,145.0,30020.0,0.0
2021-06-29,142.15,142.15,142.15,142.15,50.0,-1.97
2021-06-30,139.35,139.35,139.35,139.35,440.0,-1.97
2021-07-01,136.6,136.6,136.6,136.6,10.0,-1.97
2021-07-02,133.9,133.9,133.9,133.9,10.0,-1.98
2021-07-05,131.25,131.25,131.25,131.25,10.0,-1.98
2021-07-06,130.0,130.0,130.0,130.0,110.0,-0.95
2021-07-08,130.0,130.0,130.0,130.0,10.0,0.0
2021-08-12,132.5,132.5,132.5,132.5,10.0,1.92
2021-08-27,130.0,130.0,130.0,130.0,10.0,-1.89
2021-08-30,130.0,130.0,130.0,130.0,0.0,0.0
2021-09-06,129.0,129.0,129.0,129.0,990.0,-0.77
2021-09-08,129.0,129.0,129.0,129.0,150.0,0.0
2021-09-09,129.0,129.0,129.0,129.0,10.0,0.0
2021-09-10,129.0,129.0,129.0,129.0,190.0,0.0
2021-09-13,129.0,129.0,129.0,129.0,220.0,0.0
2021-09-14,129.0,129.0,129.0,129.0,30.0,0.0
2021-09-15,129.0,129.0,129.0,129.0,200.0,0.0
2021-09-16,129.0,129.0,129.0,129.0,20.0,0.0
2021-10-04,127.0,127.0,127.0,127.0,10.0,-1.55
2021-11-01,127.0,127.0,127.0,127.0,130.0,0.0
2021-11-10,132.05,132.05,132.05,132.05,10.0,3.98
2021-11-11,132.05,132.05,132.05,132.05,10.0,0.0
2021-11-16,136.0,136.0,136.0,136.0,400.0,2.99
2021-11-19,141.4,141.4,141.4,141.4,10.0,3.97
2021-11-29,141.4,141.4,141.4,141.4,10.0,0.0
2022-01-28,140.7,140.7,140.7,140.7,400.0,-0.5
2022-02-01,141.0,141.0,141.0,141.0,20.0,0.21
2022-02-21,146.0,146.0,146.0,146.0,10.0,3.55
2022-02-22,146.0,146.0,146.0,146.0,170.0,0.0
2022-02-23,146.0,146.0,146.0,146.0,60.0,0.0
2022-02-24,146.0,146.0,146.0,146.0,210.0,0.0
2022-05-27,149.0,149.0,149.0,149.0,0.0,2.05
2022-05-31,149.0,149.0,149.0,149.0,10.0,0.0
2022-06-30,154.9,154.9,154.9,154.9,20.0,3.96
2022-08-01,149.0,149.0,149.0,149.0,0.0,-3.81
2022-09-23,154.95,154.95,154.95,154.95,0.0,3.99
2022-10-24,158.0,158.0,158.0,158.0,0.0,1.97
2022-12-01,164.3,164.3,164.3,164.3,210.0,3.99
2022-12-02,165.0,165.0,165.0,165.0,0.0,0.43
2022-12-06,158.45,158.45,158.45,158.45,30.0,-3.97
2022-12-07,152.15,152.15,152.15,152.15,20.0,-3.98
2022-12-08,146.1,146.1,146.1,146.1,100.0,-3.98
2022-12-09,151.9,151.9,151.9,151.9,0.0,3.97
2022-12-16,157.95,157.95,157.95,157.95,180.0,3.98
2023-02-09,159.0,159.0,159.0,159.0,10.0,0.66
2023-02-10,159.0,159.0,159.0,159.0,0.0,0.0
2023-02-13,152.7,152.7,152.7,152.7,40.0,-3.96
2023-02-14,158.8,158.8,158.8,158.8,10.0,3.99
2023-02-21,152.45,152.45,152.45,152.45,10.0,-4.0
2023-02-22,146.4,146.4,146.4,146.4,0.0,-3.97
2023-02-23,140.55,140.55,140.55,140.55,310.0,-4.0
2023-02-24,146.0,146.0,146.0,146.0,100.0,3.88
2023-02-28,151.0,151.0,151.0,151.0,100.0,3.42
2023-03-01,156.9,156.9,156.9,156.9,100.0,3.91
2023-04-28,156.0,156.0,156.0,156.0,0.0,-0.57
2023-05-31,159.9,159.9,159.9,159.9,10.0,2.5
2023-06-13,159.9,159.9,159.9,159.9,10.0,0.0
2023-07-04,155.0,155.0,155.0,155.0,0.0,-3.06
2023-07-07,160.0,160.0,160.0,160.0,200.0,3.23
2023-07-25,158.0,158.0,158.0,158.0,10.0,-1.25
2023-07-31,158.0,158.0,158.0,158.0,0.0,0.0
2023-08-03,158.0,158.0,158.0,158.0,10.0,0.0
2023-08-07,155.0,155.0,155.0,155.0,10.0,-1.9
2023-08-16,159.0,159.0,159.0,159.0,30.0,2.58
2023-10-09,157.5,157.5,157.5,157.5,20.0,-0.94
2023-10-18,157.8,157.8,157.8,157.8,200.0,0.19
2023-10-20,157.8,157.8,157.8,157.8,60.0,0.0
2023-11-02,157.8,157.8,157.8,157.8,70.0,0.0
2023-11-09,157.8,157.8,157.8,157.8,150.0,0.0
2023-11-15,158.5,158.5,158.5,158.5,20.0,0.44
2023-11-20,159.8,159.8,159.8,159.8,0.0,0.82
2023-12-05,150.25,150.25,150.25,150.25,10.0,-5.98
2023-12-06,159.0,159.0,159.0,159.0,160.0,5.82
2023-12-07,159.0,159.0,159.0,159.0,400.0,0.0
2023-12-12,159.9,159.9,159.9,159.9,60.0,0.57
2023-12-15,165.4,165.4,165.4,165.4,470.0,3.44
2023-12-18,169.0,169.0,169.0,169.0,10.0,2.18
2023-12-21,172.0,172.0,172.0,172.0,50.0,1.78
2023-12-29,177.0,177.0,177.0,177.0,50.0,2.91
2024-01-23,176.0,176.0,176.0,176.0,0.0,-0.56
2024-01-26,178.0,178.0,178.0,178.0,10.0,1.14
2024-02-07,167.4,167.4,167.4,167.4,10.0,-5.96
2024-02-12,174.9,174.9,174.9,174.9,40.0,4.48
2024-02-13,178.0,178.0,178.0,178.0,30.0,1.77
2024-04-15,177.7,177.7,177.7,177.7,12870.0,-0.17
2024-05-14,177.2,177.2,177.2,177.2,0.0,-0.28
2024-06-06,177.0,177.0,177.0,177.0,10.0,-0.11
2024-07-05,177.0,177.0,177.0,177.0,10.0,0.0
2024-07-12,177.0,177.0,177.0,177.0,0.0,0.0
2024-07-18,176.9,176.9,176.9,176.9,20.0,-0.06
