Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-13,3870.0,3870.0,3870.0,3870.0,100.0,0.0
2021-01-15,3870.0,3870.0,3870.0,3870.0,210.0,0.0
2021-01-21,3870.0,3870.0,3870.0,3870.0,820.0,0.0
2021-01-22,3880.0,3870.0,3881.0,3870.0,1590.0,0.26
2021-01-29,3832.0,3833.0,3833.0,3832.0,650.0,-1.24
2021-02-03,3980.0,3980.0,3980.0,3980.0,0.0,3.86
2021-02-04,4129.0,3975.0,4129.0,3975.0,10.0,3.74
2021-02-05,4119.0,4119.0,4119.0,4119.0,100.0,-0.24
2021-02-08,4110.0,4110.0,4110.0,4110.0,590.0,-0.22
2021-02-11,4119.0,4110.0,4119.0,4110.0,20.0,0.22
2021-02-22,3955.0,3955.0,3955.0,3955.0,0.0,-3.98
2021-02-26,3990.0,4000.0,4000.0,3990.0,540.0,0.88
2021-03-01,3990.0,3990.0,3990.0,3990.0,530.0,0.0
2021-03-05,3851.0,3851.0,3851.0,3851.0,10.0,-3.48
2021-03-09,3990.0,3990.0,3990.0,3990.0,0.0,3.61
2021-03-11,3989.0,3989.0,3989.0,3989.0,0.0,-0.03
2021-03-12,3988.0,3988.0,3988.0,3988.0,360.0,-0.03
2021-03-18,3890.0,3890.0,3890.0,3890.0,270.0,-2.46
2021-03-22,3890.0,3890.0,3890.0,3890.0,780.0,0.0
2021-03-23,3851.0,3900.0,3900.0,3851.0,1060.0,-1.0
2021-03-26,3800.0,3890.0,3890.0,3800.0,500.0,-1.32
2021-03-29,3851.0,3851.0,3851.0,3851.0,10.0,1.34
2021-03-30,3890.0,3890.0,3890.0,3890.0,1210.0,1.01
2021-04-01,3805.0,3874.0,3875.0,3805.0,70.0,-2.19
2021-04-07,3806.0,3806.0,3806.0,3806.0,0.0,0.03
2021-04-16,3890.0,3880.0,3890.0,3880.0,1260.0,2.21
2021-04-21,3890.0,3890.0,3890.0,3890.0,2460.0,0.0
2021-04-22,3890.0,3890.0,3890.0,3890.0,1000.0,0.0
2021-04-23,3930.0,3890.0,3930.0,3890.0,1090.0,1.03
2021-04-26,3900.0,3900.0,3900.0,3900.0,10.0,-0.76
2021-04-29,3950.0,3950.0,3950.0,3950.0,2000.0,1.28
2021-04-30,3950.0,3950.0,3950.0,3950.0,650.0,0.0
2021-05-03,3955.0,3950.0,3955.0,3950.0,770.0,0.13
2021-05-04,3955.0,3955.0,3975.0,3955.0,2440.0,0.0
2021-05-05,3960.0,3960.0,3960.0,3960.0,2020.0,0.13
2021-05-06,3960.0,3960.0,3960.0,3960.0,1970.0,0.0
2021-05-07,3900.0,3900.0,3900.0,3900.0,10.0,-1.52
2021-05-10,3950.0,3851.0,3950.0,3851.0,1460.0,1.28
2021-05-12,3900.0,3861.0,3960.0,3861.0,1020.0,-1.27
2021-05-17,3861.0,3866.0,3866.0,3861.0,0.0,-1.0
2021-05-18,3950.0,3950.0,3950.0,3950.0,2000.0,2.31
2021-05-19,3950.0,3950.0,3950.0,3950.0,2500.0,0.0
2021-05-20,3950.0,3950.0,3950.0,3950.0,1510.0,0.0
2021-05-21,3900.0,3900.0,3900.0,3900.0,30.0,-1.27
2021-05-24,3960.0,3950.0,3960.0,3950.0,1620.0,1.54
2021-05-25,3980.0,3960.0,3980.0,3960.0,520.0,0.51
2021-05-28,3979.0,3858.0,3980.0,3858.0,4230.0,-0.03
2021-06-01,3980.0,3980.0,3980.0,3980.0,1000.0,0.03
2021-06-02,4000.0,3999.0,4000.0,3990.0,1270.0,0.5
2021-06-03,4075.0,4050.0,4075.0,4050.0,300.0,1.88
2021-06-04,4070.0,4070.0,4070.0,4070.0,0.0,-0.12
2021-06-07,4149.0,4080.0,4149.0,4080.0,10.0,1.94
2021-06-08,3991.0,3991.0,3991.0,3991.0,20.0,-3.81
2021-06-09,4105.0,3912.0,4105.0,3912.0,45000.0,2.86
2021-06-10,3970.0,3970.0,3982.0,3970.0,45080.0,-3.29
2021-06-11,4000.0,3970.0,4000.0,3970.0,2470.0,0.76
2021-06-14,4100.0,4000.0,4100.0,4000.0,1550.0,2.5
2021-06-15,4050.0,4145.0,4145.0,4030.0,1070.0,-1.22
2021-06-16,4100.0,4050.0,4100.0,4050.0,2190.0,1.23
2021-06-17,4110.0,4110.0,4110.0,4110.0,4000.0,0.24
2021-06-18,4190.0,4190.0,4190.0,4190.0,380.0,1.95
2021-06-21,4249.0,4249.0,4249.0,4249.0,0.0,1.41
2021-06-22,4131.0,4131.0,4131.0,4131.0,1480.0,-2.78
2021-06-23,4290.0,4131.0,4290.0,4131.0,20.0,3.85
2021-06-24,4249.0,4249.0,4249.0,4249.0,60.0,-0.96
2021-06-25,4280.0,4280.0,4280.0,4280.0,350.0,0.73
2021-06-28,4274.0,4274.0,4274.0,4274.0,0.0,-0.14
2021-06-30,4264.0,4264.0,4264.0,4264.0,200.0,-0.23
2021-07-01,4279.0,4273.0,4280.0,4273.0,520.0,0.35
2021-07-02,4278.0,4278.0,4278.0,4278.0,200.0,-0.02
2021-07-05,4278.0,4277.0,4278.0,4277.0,220.0,0.0
2021-07-06,4275.0,4275.0,4275.0,4275.0,10.0,-0.07
2021-07-16,4265.0,4170.0,4265.0,4170.0,3490.0,-0.23
2021-07-23,4270.0,4270.0,4270.0,4270.0,20.0,0.12
2021-07-26,4200.0,4200.0,4200.0,4200.0,5030.0,-1.64
2021-07-27,4250.0,4128.0,4250.0,4128.0,0.0,1.19
2021-08-02,4200.0,4200.0,4200.0,4200.0,2000.0,-1.18
2021-08-04,4200.0,4200.0,4200.0,4200.0,180.0,0.0
2021-08-06,4250.0,4249.0,4250.0,4200.0,560.0,1.19
2021-08-09,4235.0,4235.0,4235.0,4130.0,370.0,-0.35
2021-08-11,4250.0,4250.0,4250.0,4249.0,440.0,0.35
2021-08-12,4250.0,4250.0,4250.0,4250.0,10.0,0.0
