Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,74.0,74.0,74.0,74.0,50.0,0.0
2021-01-06,74.0,74.0,74.0,74.0,70.0,0.0
2021-01-15,75.25,75.25,75.25,75.25,0.0,1.69
2021-01-20,76.5,76.5,76.5,76.5,330.0,1.66
2021-01-29,78.02,78.02,78.02,78.02,0.0,1.99
2021-02-09,79.58,79.58,79.58,79.58,0.0,2.0
2021-02-11,81.0,81.0,81.0,81.0,0.0,1.78
2021-02-12,82.5,82.5,82.5,82.5,0.0,1.85
2021-02-17,82.8,82.8,82.8,82.8,30.0,0.36
2021-02-19,81.15,81.15,81.15,81.15,0.0,-1.99
2021-02-26,80.0,80.0,80.0,80.0,0.0,-1.42
2021-03-10,78.41,78.41,78.41,78.41,10.0,-1.99
2021-03-15,79.95,79.95,79.95,79.95,50.0,1.96
2021-03-17,78.36,78.36,78.36,78.36,0.0,-1.99
2021-04-01,76.8,76.8,76.8,76.8,0.0,-1.99
2021-04-06,78.33,78.33,78.33,78.33,10.0,1.99
2021-04-07,79.89,79.89,79.89,79.89,0.0,1.99
2021-04-16,80.0,80.0,80.0,80.0,10.0,0.14
2021-05-05,81.0,81.0,81.0,81.0,230.0,1.25
2021-05-11,80.99,80.99,80.99,80.99,10.0,-0.01
2021-05-12,79.38,79.38,79.38,79.38,0.0,-1.99
2021-05-19,77.8,77.8,77.8,77.8,0.0,-1.99
2021-06-02,76.25,76.25,76.25,76.25,0.0,-1.99
2021-06-03,74.74,74.74,74.74,74.74,0.0,-1.98
2021-06-09,75.0,75.0,75.0,75.0,80.0,0.35
2021-06-11,75.0,75.0,75.0,75.0,70.0,0.0
2021-06-14,76.49,76.49,76.49,76.49,80.0,1.99
2021-06-15,78.01,78.01,78.01,78.01,0.0,1.99
2021-06-16,79.57,79.57,79.57,79.57,0.0,2.0
2021-06-18,80.0,80.0,80.0,80.0,0.0,0.54
2021-06-23,81.0,81.0,81.0,81.0,0.0,1.25
2021-07-02,82.6,82.6,82.6,82.6,0.0,1.98
2021-07-05,84.2,84.2,84.2,84.2,0.0,1.94
2021-07-06,85.88,85.88,85.88,85.88,0.0,2.0
2021-07-07,86.0,86.0,86.0,86.0,0.0,0.14
2021-07-09,84.3,84.3,84.3,84.3,10.0,-1.98
2021-07-12,85.95,85.95,85.95,85.95,0.0,1.96
2021-07-13,86.8,86.8,86.8,86.8,0.0,0.99
2021-07-19,87.45,87.45,87.45,87.45,0.0,0.75
2021-07-20,86.0,86.0,86.0,86.0,10.0,-1.66
2021-07-26,85.0,85.0,85.0,85.0,10.0,-1.16
2021-07-27,86.65,86.65,86.65,86.65,0.0,1.94
2021-07-28,88.35,88.35,88.35,88.35,0.0,1.96
2021-07-29,89.0,89.0,89.0,89.0,80.0,0.74
2021-08-02,90.77,90.77,90.77,90.77,80.0,1.99
2021-08-04,90.01,90.01,90.01,90.01,0.0,-0.84
2021-08-05,91.8,91.8,91.8,91.8,10.0,1.99
2021-08-06,93.6,93.6,93.6,93.6,0.0,1.96
2021-08-11,95.0,95.0,95.0,95.0,90.0,1.5
2021-08-19,93.11,93.11,93.11,93.11,0.0,-1.99
2021-08-23,91.25,91.25,91.25,91.25,0.0,-2.0
2021-08-25,89.43,89.43,89.43,89.43,0.0,-1.99
2021-08-26,87.65,87.65,87.65,87.65,10.0,-1.99
2021-08-27,85.9,85.9,85.9,85.9,30.0,-2.0
2021-08-31,84.2,84.2,84.2,84.2,10.0,-1.98
2021-09-01,82.52,82.52,82.52,82.52,80.0,-2.0
2021-09-02,84.1,84.1,84.1,84.1,20.0,1.91
2021-09-06,85.0,85.0,85.0,85.0,150.0,1.07
2021-09-07,85.0,85.0,85.0,85.0,350.0,0.0
2021-09-08,85.0,85.0,85.0,85.0,40.0,0.0
2021-09-14,83.31,83.31,83.31,83.31,20.0,-1.99
2021-09-22,84.97,84.97,84.97,84.97,0.0,1.99
2021-09-23,84.97,84.97,84.97,84.97,0.0,0.0
2021-09-27,84.97,84.97,84.97,84.97,0.0,0.0
2021-09-29,83.28,83.28,83.28,83.28,10.0,-1.99
2021-09-30,81.62,81.62,81.62,81.62,50.0,-1.99
2021-10-01,79.99,79.99,79.99,79.99,0.0,-2.0
2021-10-11,81.3,81.3,81.3,81.3,70.0,1.64
