company_name,secteur,ticker,siege_social
AFRIC INDUSTRIES SA,MASI Bâtiment et Matériaux de Construction,AFI,"Zone Industrielle, Route de Tétouan, Lot 107, BP 368"
AFRIQUIA GAZ,MASI Pétrole et Gaz,GAZ,Rue Ibnou El Ouennane. Aîn Sebaâ - Casablanca
AGMA,MASI Assurances,AGM,1. City Park Center. Rue Abderrahmane Sahraoui  . Casablanca
ALLIANCES DEVELOPPEMENT IMMOBILIER SA,MASI Participation et promotion immobilières,ADI,16. Rue Ali Abderrazak - Casablanca
ALUMINIUM DU  MAROC,MASI Bâtiment et Matériaux de Construction,ALM,Z.I de Moghogha. Route de Tétouan.  Tanger.
ATLANTASANAD,MASI Assurances,ATL,181. Boulevard d’Anfa - Casablanca
ATTIJARIWAFA BANK,MASI Banques,ATW,2. Bd Moulay Youssef BP: 11141 -  Casablanca  20 000.
AUTO NEJMA,MASI Distributeurs,NEJ,Km 10. Route d'El Jadida - Casablanca  20 230.
BALIMA,MASI Sociétés de placement immobilier,BAL,2  Zankat Tihama - Rabat
BANQUE CENTRALE POPULAIRE,MASI Banques,BCP,101. BD Zerktouni - BP : 10 622 - 21 100. Casablanca
BANK OF AFRICA,MASI Banques,BCE,140. Avenue Hassan II . Casablanca
BANQUE MAROCAINE POUR LE COMMERCE ET L'INDUSTRIE,MASI Banques,BCI,26. Place des Nations Unies. Casablanca
SOCIETE DES BOISSONS DU MAROC,MASI Boissons,SBM,"Boulevard Ain Ifrane, Sidi Moumen - Casablanca"
CARTIER SAADA,MASI Agroalimentaire / Production,CRS,285-291 Nouvelle Zone Industrielle Sidi Ghanem - Marrakech
CREDIT DU MAROC,MASI Banques,CDM,48-58 Boulevard Mohamed V. Casablanca
CREDIT IMMOBILIER ET HOTELIER,MASI Banques,CIH,"187, Avenue Hassan II, 20019 Casablanca Maroc"
CIMENTS DU MAROC,MASI Bâtiment et Matériaux de Construction,CMA,621. Boulevard Panoramique. 20150 Casablanca
COLORADO,MASI Bâtiment et Matériaux de Construction,COL,Route My Thami Km 15 Commune Rurale Oulad Azouz Dar Bouâzza. Casablanca
COSUMAR,MASI Agroalimentaire / Production,CSR,8. Rue El Mouatamid Ibnou Abbad. BP: 3098. Casablanca
COMPAGNIE DE TRANSPORT AU MAROC,MASI Transport,CTM,Km 13.5 Autoroute de Casa-Rabat. Sidi Bernoussi. Casablanca
DARI COUSPATE,MASI Agroalimentaire / Production,DRI,234 Parc Industriel Aviation - Salé 11000
DELATTRE LEVIVIER MAROC,MASI Ingénieries et Biens d'Equipement Industriels,DLM,Km 9 Route de Rabat 20 250 Aïn Sebaa Casablanca
DELTA HOLDING,MASI Sociétés de Portefeuilles - Holdings,DHO,Complexe de Skhirat - Angle Avenue Hassan II et Route de la plage - Skhirat
DISWAY,"MASI Matériels, Logiciels et Services Informatiques",DWY,8. Lotissement La Colline II - Sidi Maarouf - Casablanca
DOUJA PROMOTION GROUPE ADDOHA SA,MASI Participation et promotion immobilières,ADH,Km 7. Route de Rabat . Ain Sebâa. Casablanca
ENNAKL AUTOMOBILES,MASI Distributeurs,NKL,Z.I Chaguia II BP 129-1080 -Tunis- Tunisie
FENIE BROSSETTE,MASI Distributeurs,FBR,284. Boulevard Zerktouni - Casablanca
HIGHTECH PAYMENT SYSTEMS,"MASI Matériels, Logiciels et Services Informatiques",HPS,"Casablanca Nearshore Park - Shore 1, Secteur A - 1100 boulevard Al Qods - Sidi Maârouf, Casablanca 20270"
IB MAROC.COM SA,"MASI Matériels, Logiciels et Services Informatiques",IBC,"N°42, Boulevard Abdelmoumen Immeuble Walili Street - 7ème étage Plateau 49 Casablanca - Maroc"
INVOLYS,"MASI Matériels, Logiciels et Services Informatiques",INV,"88/90 rue Larbi Doghmi, 2ème étage, Casablanca"
ITISSALAT AL-MAGHRIB,MASI Télécommunications,IAM,Avenue Annakhil. Hay Riad. Rabat
JET CONTRACTORS,MASI Bâtiment et Matériaux de Construction,JET,"78, quartier industriel de Takaddoum"
LABEL VIE,MASI Distributeurs,LBV,Km 3.5 Route des Zaërs Souissi - Rabat
LAFARGEHOLCIM MAROC,MASI Bâtiment et Matériaux de Construction,LHM,6. Route de Mekka. Quartier Les Crêtes. BP: 7234 - Casablanca
LESIEUR CRISTAL,MASI Agroalimentaire / Production,LES,"Casa Business Towers, Tour Mainstreet, étages 20-21 & 22, boulevard Main Street, Casa Anfa, Casablanca, Maroc"
M2M GROUP,"MASI Matériels, Logiciels et Services Informatiques",M2M,"16, Rue Abdellah Ben Mehyou, Palmiers -20340 - Casablanca"
MAGHREB OXYGENE,MASI Chimie,MOX,Immeuble Tafraouti Km 7.5 Route de Rabat Aïn Sebaâ - Casablanca
MANAGEM,MASI Mines,MNG,"Twin Center, Tour A, angle Bd Zerktouni et Al Massira Al Khadra - BP: 5199 - Casablanca"
MED PAPER,MASI Sylviculture et Papier,MDP,Zone Industrielle Mghogha. Route de Tetuan - Allée n°1. Lot 19  -  (BP: n°400)  -  TANGER
MICRODATA,"MASI Matériels, Logiciels et Services Informatiques",MIC,"30, Bd Ibnou Sina, Hay Hassani, Casablanca."
SOCIETE LES EAUX MINERALES D'OULMES,MASI Boissons,OUL,Z.I Bouskoura 20 180. Casablanca
